name,address1,address2,city,state,zip,phone,type,url
"AB Pripps Bryggerier","Bryggerivagen 10 S-161 86","Bromma, Sweden",,,,"(468) 757-7000",,
"Carlsberg Sverige AB","Bryggerivagen 10","Stockholm, Sweden",,,,"(468) 757-7000",,
"Hogbergs Bryggeri Kollecktiv","c/o Charles Cassino CF Box 1419","Stockholm, Sweden",,,,,,
"Malmo Brygghus","Bergsgatan 33","Malmo, Sweden",,,,,,http://www.malmobrewing.com
"Monks Cafe","Wallingatan 38","Stockholm, Sweden",,,,46707757531,,http://www.monkscafe.se
"Nynashamns Angbryggeri AB","PO Box 186","Nynashamn, Sweden",,,,46852021213,,http://www.angbryggeri.se
"Oppigards Bryggeri","Smedjegatan 15","Hedemora, Sweden",,,,"46 (0)225 772134",,http://www.oppigards.com
"Poppels Bryggeri","Kanalstraket 5","Jonsered, Sweden",,,,,,http://www.poppels.se
"Sahlins Brygghus AB","Sveden 1","Borlange, Sweden",,,,,,http://www.sahlinsbrygghus.com
"The Nils Oscar Company AB","The Nils Oscar AB, Fruangsgatan Fruangsgatan 2","Nykoping, Sweden",,,,"(461) 557-7280",,http://wwww.nilsoscar.se
