name,address1,address2,city,state,zip,phone,type,url
"3 Bier","Büren 59","Gansingen, Switzerland",,,,,,
"3Bier GmbH","Buren 59","Gansingen, Switzerland",,,,"+41 62 874 08 26",micro,
"476 Faulensee","Interlakenstrasse 70","Faulensee, Switzerland",,,,,,
523,,", Switzerland",,,,,,
7Peaks,"Route De La Patinoire 15a","Morgins, Switzerland",,,,,,
"A. Egger AG","Brauereiweg 3","Worb, Switzerland",,,,"(031) 839-0357",,
AabachBier,"Bachstrasse 21","Lenzburg, Switzerland",,,,,,
"Aare Bier","Neuenburgstrasse 42","Bargen, Switzerland",,,,,,
Aathaler-Bräu,"Zürichstrasse 15","Aathal , Switzerland",,,,,,
Adler,"Hauptstrasse 34","Schwanden, Switzerland",,,,,,
"Adler AG","Hauptstrasse 34","Schwanden, Switzerland",,,,"058 81 11 08",,
"Aktienbrauerei Flims Surselva AG","Postfach 41","CH-7018 Flims Waldhaus, Switzerland",,,,,,
"Altes Tramdepot","Grosser Muristalden 6","Bern, Switzerland",,,,,,
"Amicale Des Brasseurs De Vollèges","Chemin De La Laiterie","Vollèges, Switzerland",,,,,,
Ängelbräu,"Pündtenweg 421","Schupfart, Switzerland",,,,,,
"Angler Bräu","Zollweidenstr. 15","Muenschenstein, Switzerland",,,,,,
Arlibrau,"Haupstrasse 15","Arlesheim, Switzerland",,,,,,
Baar,"Langgasse 41","Baar, Switzerland",,,,,,
"Baar AG","Langgasse 41","Baar, Switzerland",,,,"041 31 12 08",,
"Back and Brau",,"Thun, Switzerland",,,,"(052) 212-1212",,
Bahnhof,"Bahnhöfli GmbH Untere Bahnhofstrasse 10","Mettmenstetten, Switzerland",,,,,,
"Barbarus Bäri-Bier","Baumastrasse 2","Bäretswil, Switzerland",,,,,,
Bartis,"Rue Centrale 58","Conthey, Switzerland",,,,,,
"Baselbieter Bier","Hauptstrasse 30","Ziefen, Switzerland",,,,,,
Bäsibräu,"Wiesenweg 14","Besenbüren, Switzerland",,,,,,
"Basiliske Bier",,", Switzerland",,,,,,
Beerrificio,"Via Piotti 1","Vacallo, Switzerland",,,,,,
"Benedix Klosterbräu","Stygstrasse 15","Rheinau, Switzerland",,,,,,
Bertbier,Birkenweg,"Luthern, Switzerland",,,,,,
"BFM (Brasserie Des Franches-Montagnes)","Chemin Des Buissons 8","Saignelégier, Switzerland",,,,,,
Biberbräu,"Buhaldenstrasse 9","Biberstein, Switzerland",,,,,,
"Bier Factory Rapperswil","Schönbodenstr. 3","Rapperswil, Switzerland",,,,,,
"Bier Factory Rapperswil AG","Eichwiesstrasse 6 CH-8645","CH-8645, Switzerland",,,,,micro,http://www.bierfactory.ch
"Bier Von Vier (Mittwochsbräu)","Obfalken 16","Ebikon, Switzerland",,,,,,
"Biera Engiadinaisa","Flora Da Bütz","Tschlin, Switzerland",,,,,,
"Bierbräu Buob",Steinackerrin,"Hirschthal, Switzerland",,,,,,
"Bierbrauclub Chlepfimoos","Moosweg 2","Aeschi, Switzerland",,,,,,
"Bière Buse","Croix-du-Péage 1","Villars-Ste-Croix, Switzerland",,,,,,
"Bière De Posieux","Route De Fribourg 71","Posieux, Switzerland",,,,,,
"Bière Du Foudre","Rue Du Simplon 10","Paudex, Switzerland",,,,,,
"Bière Du Lac",,", Switzerland",,,,,,
"Bières De Neuch","Rue Des Prélets 26","Les Geneveys-sur-Coffrane, Switzerland",,,,,,
Bières&Co,,", Switzerland",,,,,,
Biergarage,"Sömmerlistrasse 37","St. Gallen, Switzerland",,,,,,
"BierVision Monstein","Hauptstrasse 36","Davos Monstein, Switzerland",,,,,,
"Bierzunft Wehntal","Wehntalerstrasse 26","Schöfflisdorf, Switzerland",,,,,,
Bigen,"Chemin De La Grande-Cour 8","Chancy, Switzerland",,,,,,
"Birra Bozz","Via Campisci 3","Gordola, Switzerland",,,,,,
"Birra Broggini","Soodring 34e","Adliswil, Switzerland",,,,,,
"Birra Schmid",,", Switzerland",,,,,,
"Birrificio Ticinese","Via Vite 5","Stabio, Switzerland",,,,,,
Bîrtel,"Flughafenstrasse 31","Basel, Switzerland",,,,,,
"Blanche Pierre",,", Switzerland",,,,,,
Bodensee,,", Switzerland",,,,,,
BoFo,,", Switzerland",,,,,,
Boxer,"Avenue Des Sports 11","Yverdon-les-Bains, Switzerland",,,,,,
