name,address,city,state,zip,phone,type,url
"Brewery - New Taipei City","5Fl., No.512, Yuanshan Rd., Zhonghe Dist",,,,886222219337,,
"Brewery In Planning - Jim & Dad's Brewing Co",,,,,,,
"Brewery In Planning - Taipei",,,,,,planning,
"Brewery In Planning - Taiwan","11F, No.237, Sec. 1, Datong Rd, Xizhi",,,,886226477899,brewpub,
"Gordon Biersch Brewery Restaurant - Taipei","No.95-12, Baozhong Rd Xindian City",,,,+886-2-29127588,micro,http://www.craftworksrestaurants.com
"Taihu Brewing","B3,335 Dunhua S. Rd. Sec.2,",,,,,micro,http://www.taihubrewing.com
"Taiwan Micro Brewing Co.","#22 Jin Lu St",,,,+886-7-871-8776,micro,http://www.tmbc.com.tw
"Taiwan Tobacco & Liquor Corporation","No. 4, Sec. 1, Nanchang Rd",,,,+886-2-23214567,,http://www.ttl.com.tw
"TaKao Brewing Company","#199 Pingse Rd",,,,,micro,http://placeholder
"Zhang Men Brewing Company","11F., No.237, Sec. 1, Datong Rd., Xizhi",,,,,micro,
