name,address1,address2,city,state,zip,phone,type,url
"Brewery - New Taipei City","5Fl., No.512, Yuanshan Rd., Zhonghe Dist","New Taipei City, Taiwan, Province of China",,,,886222219337,,
"Brewery In Planning - Jim & Dad's Brewing Co",,"Taipei, Taiwan, Province of China",,,,,,
"Brewery In Planning - Taiwan","11F, No.237, Sec. 1, Datong Rd, Xizhi","New Taipei City, Taiwan, Province of China",,,,886226477899,brewpub,
"Gordon Biersch Brewery Restaurant - Taipei","No.95-12, Baozhong Rd Xindian City","Taipei County 231, Taiwan, Province of China",,,,+886-2-29127588,micro,http://www.craftworksrestaurants.com
"King Car Food Industrial Co. Ltd",,"Taipei, Taiwan, Province of China",,,,"(886) 2-2365-6551",planning,http://www.kingcar.com.tw/en/index.aspx
"Taihu Brewing","B3,335 Dunhua S. Rd. Sec.2,","Taipei City, Taiwan, Province of China",,,,,contract,
"Taiwan Micro Brewing Co.","#22 Jin Lu St","Kaohsiving, Taiwan, Province of China",,,,+886-7-871-8776,micro,http://www.tmbc.com.tw
"Taiwan Tobacco & Liquor Corporation","No. 4, Sec. 1, Nanchang Rd","Taipei, Taiwan, Province of China",,,,+886-2-23214567,,http://www.ttl.com.tw
"TaKao Brewing Company","#199 Pingse Rd","Kao Ssiung, Taiwan, Province of China",,,,,micro,
"Zhang Men Brewing Company","11F., No.237, Sec. 1, Datong Rd., Xizhi","New Taipei City, Taiwan, Province of China",,,,886226477899,micro,http://www.zhangmenbrewing.com
