name,address,city,state,zip,phone,type,url
"Akhtyrskij Privovarennyj Zavod","Ul. Batyuka 23",,,,,,
"Aleksandrijskij Pivzavod","Ul. Geroev Stalingrada 2",,,,,,
"Arena Beer House","Ulitsa Basseynaya 2A",,,,,,
"Arena Entertainment: Beer House","2a, Basseynaya Street",,,,,micro,http://www.arena-kiev.com
"Brewery Nova Bavaria","Ul. Stanciyna 1",,,,,,
"Buskij Pivovarennyj Zavod","Ul. Lvovskaya 8",,,,,,
"Chernigivske Pivokombinat","Bulvar Bozhenka 87",,,,,,
"Darl Tov","Mykoly Voronogo Street 12",,,,,,
"Dimiors Brewery","Dzerjinskogo Ul. 289",,,,,,
"Fyeodosiyskij Beer-Bezakogolnyj Institute","Ul. Simferopolskoe Szosse 11",,,,,,
"Kolos Brewery","18, Kleparivska Str.",,,,"+380 322 33 31 00",large,
"Krym Brewery","Ul. Gieroyov Stalingrada 12",,,,,,
"Lugansk Brewery","Ul. Kirova 3",,,,,,
"L'vivska Brewery","Kleparivska St. 18",,,,,,
"Lvivska Pivovarnya","Bulvar Kleparivska St.",,,,,,
"Mikulineckij Brovar","Ul. Nabierzhnaya 33",,,,,,
"Monastyrskiy Kvas","5 Promyslova St.",,,,,,
"Mykulyntsi Beer Plant (BROVAR)","33, Naberezhna Str.",,,,"380 3551 514-42",regional,
"Opillia Ternopolskij Pivzavod","Ul. Bileckaya 33",,,,,,
"Persha Privatna","Dch. Vashingtona 5",,,,,,
"Pivnii Somel'e","Ul. Saksaganskogo 36D",,,,,,
"Pivnoy Sad Vinogradov","Gavennaja 6",,,,,,
Pivobar,"Frunze St. 3",,,,,,
"Pivzavod Azov","Ul. Dzierzinskogo 289",,,,,,
"Pivzavod Lutsk Zeman","Vynnychenka 69",,,,,,
"Pivzavod Yevpatoriiskii","Szosse Krasnoyarskoye 6",,,,,,
Poltavpivo,"160 Frunze St.",,,,,,
"Radomyshlskij Pivovarennyj Zavod","Ul. Mykgorod 71",,,,,,
"Radomyshyl Beer & Beverages Plant","29 A Elektrikov",,,,+38-044-537-39-01,large,http://www.ridnemarka.com.ua
"Ridna Marka","Bulvar Elektrikiv 29a",,,,,,
Rosinka,"Str. Eugene Pottier 6",,,,,,
"Rovenkovskij Pivzavod","Ul. Shevchenko 38",,,,,,
Sarmat,"Pr. Ilyicha 106",,,,,,
"Slavutich Brewery","3, Zapozhnik Str.",,,,"+380 612 41 2042",large,
"Slavutych Brewery","137 Chervonoprapopna St.",,,,,,
"SP Etrus","Lvivska 11",,,,,,
"SP Novoteh Ltd.","Mukachevskaya 196",,,,,,
Umanpivo,"Ul. Leninskoy Iskru 29",,,,,,
"VAT Berdichivskiy Pivzavod","Bulvar K. Libknechta 114",,,,,,
"Vat Pivobyezalkongolniy Kombinat Krim","Bulvar Geroyev Stalingrada 13",,,,,,
Vitiana,"27 PUSHKINSKA STR",,,,380442237973,micro,http://ru.vitiana.com/
"Yaltinskij Pivobezgolnyj Zavod","Ul. Dzerzinskogo 5",,,,,,
"Yantar Brewery","320 Yantarnaya St.",,,,,,
"Zat Sarmat","Propekt Ilicha 106",,,,,,
