name,address1,address2,city,state,zip,phone,type,url
"Akhtyrskij Privovarennyj Zavod","Ul. Batyuka 23","Akhtyrka, Ukraine",,,,,,
"Aleksandrijskij Pivzavod","Ul. Geroev Stalingrada 2","Aleksandrija, Ukraine",,,,,,
"Arena Beer House","Ulitsa Basseynaya 2A","Kyiv, Ukraine",,,,,,
"Arena Entertainment: Beer House","2a, Basseynaya Street","Kyiv , Ukraine",,,,,micro,http://www.arena-kiev.com
"Brewery Nova Bavaria","Ul. Stanciyna 1","Kharkov, Ukraine",,,,,,
"Buskij Pivovarennyj Zavod","Ul. Lvovskaya 8","Busk, Ukraine",,,,,,
"Chernigivske Pivokombinat","Bulvar Bozhenka 87","Kiev, Ukraine",,,,,,
"Darl Tov","Mykoly Voronogo Street 12","Odessa, Ukraine",,,,,,
"Dimiors Brewery","Dzerjinskogo Ul. 289","Melitopol, Ukraine",,,,,,
"Fyeodosiyskij Beer-Bezakogolnyj Institute","Ul. Simferopolskoe Szosse 11","Feodosiya, Ukraine",,,,,,
"Kolos Brewery","18, Kleparivska Str.","Lviv, 290007, Ukraine",,,,"+380 322 33 31 00",large,
"Krym Brewery","Ul. Gieroyov Stalingrada 12","Simferopole, Ukraine",,,,,,
"Lugansk Brewery","Ul. Kirova 3","Lugansk, Ukraine",,,,,,
"L'vivska Brewery","Kleparivska St. 18","Lviv, Ukraine",,,,,,
"Lvivska Pivovarnya","Bulvar Kleparivska St.","Lviv, Ukraine",,,,,,
"Mikulineckij Brovar","Ul. Nabierzhnaya 33","Mikulichin, Ukraine",,,,,,
"Monastyrskiy Kvas","5 Promyslova St.","Vyshneve Sity , Ukraine",,,,,,
"Mykulyntsi Beer Plant (BROVAR)","33, Naberezhna Str.","Mykulyntsi, Ukraine",,,,"380 3551 514-42",regional,
"Opillia Ternopolskij Pivzavod","Ul. Bileckaya 33","Ternopol, Ukraine",,,,,,
"Persha Privatna","Dch. Vashingtona 5","Lviv, Ukraine",,,,,,
"Pivnii Somel'e","Ul. Saksaganskogo 36D","Kiev, Ukraine",,,,,,
"Pivnoy Sad Vinogradov","Gavennaja 6","Odessa, Ukraine",,,,,,
Pivobar,"Frunze St. 3","Kharkiv, Ukraine",,,,,,
"Pivzavod Azov","Ul. Dzierzinskogo 289","Melitopol, Ukraine",,,,,,
"Pivzavod Lutsk Zeman","Vynnychenka 69","Luts'k, Ukraine",,,,,,
"Pivzavod Yevpatoriiskii","Szosse Krasnoyarskoye 6","Yevpatoriya, Ukraine",,,,,,
Poltavpivo,"160 Frunze St.","Poltava, Ukraine",,,,,,
"Radomyshlskij Pivovarennyj Zavod","Ul. Mykgorod 71","AdamsRadomyshl, Ukraine",,,,,,
"Radomyshyl Beer & Beverages Plant","29 A Elektrikov","Kiev, Ukraine",,,,+38-044-537-39-01,large,http://www.ridnemarka.com.ua
"Ridna Marka","Bulvar Elektrikiv 29a","Kiev, Ukraine",,,,,,
Rosinka,"Str. Eugene Pottier 6","Kiev, Ukraine",,,,,,
"Rovenkovskij Pivzavod","Ul. Shevchenko 38","Rovenki, Ukraine",,,,,,
Sarmat,"Pr. Ilyicha 106","Donetsk, Ukraine",,,,,,
"Slavutich Brewery","3, Zapozhnik Str.","330076 Zaporozhye, Ukraine",,,,"+380 612 41 2042",large,
"Slavutych Brewery","137 Chervonoprapopna St.","Kiev, Ukraine",,,,,,
"SP Etrus","Lvivska 11","Dubliany, Ukraine",,,,,,
"SP Novoteh Ltd.","Mukachevskaya 196","Beregovo, Ukraine",,,,,,
Umanpivo,"Ul. Leninskoy Iskru 29","Cherkasskaya Oblast, Ukraine",,,,,,
"Varvar Brewery","1 E, Staroselska","Kyiv, Ukraine",,,,"(067) 629-5111",micro,http://varvarbrew.com
"VAT Berdichivskiy Pivzavod","Bulvar K. Libknechta 114","Berdichiv, Ukraine",,,,,,
"Vat Pivobyezalkongolniy Kombinat Krim","Bulvar Geroyev Stalingrada 13","Simferopole, Ukraine",,,,,,
Vitiana,"27 PUSHKINSKA STR","KIEV, Ukraine",,,,380442237973,micro,http://ru.vitiana.com/
"Yaltinskij Pivobezgolnyj Zavod","Ul. Dzerzinskogo 5","Yalt, Ukraine",,,,,,
"Yantar Brewery","320 Yantarnaya St.","Nikolaev, Ukraine",,,,,,
"Zat Sarmat","Propekt Ilicha 106","Donetsk, Ukraine",,,,,,
