name,address,city,state,zip,phone,type,url
"1648 Brewing Co. Ltd.","Mill Lane East Hoathly",,,,,,
"Abbey Ales","Camden Row",,,,,,
"Abbey Ales LTD","2 Lansdown Rd",,,,"(122) 544-4437",,
"Abbeydale Brewery","Unit 8 Aizlewood Rd",,,,"(114) 281-2712",,
"Abraham Thompson's Brewing Company","Flass Lane Barrow-in-Furness",,,,,,
"Adnams PLC-Sole Bay Brewery","Sole Bay Brewery",,,,,regional,http://www.adnams.co.uk
"Adnams Southwold",Adnams,,,,,regional,
"Aid Pac","Eltric Rd",,,,"(090) 575-5666",,
"Alcazar Brewery/Fox & Crown Brewpub","11 Church Street",,,,"44 115 978 2282",micro,
"Allied Breweries Overseas","126 Station St",,,,,,
"Allied Leisure PLC","Charnwood Mill, Sileby Rd Barrow upon Soar",,,,"01509 414 422",,
"Allied-lyons Plc","24 Portland Pl",,,,"(071) 323-9000",large,
"Arbor Ales","181 Easton Rd",,,,,micro,
"Archers Ales LTD","Penzance Dr",,,,"(179) 387-9929",micro,
"Arkells Brewery Ltd",Kingsdown,,,,,,http://www.arkells.com
"Arran Brewery",Cladach,,,,"+44 (0177) 030-2353",,
"Art Brew Barn","Venn Lane Chideock",,,,,,
"Arundel Brewery","Ford Airfield Industrial Estate",,,,"(190) 373-3111",,
"Ash Vine Brewery","Unit F, Vallis Trading Estate Robins Ln",,,,"(137) 330-0041",,
"Aston Manor Brewery Co Ltd","173 Thimble Mill Lane Aston",,,,,,http://www.astonmanor.co.uk
Augusto,,,,,07470032979,planning,
"Aviemorw Brewery Co LTD","Unit 12 Dalfaber Industrial Estate",,,,"(147) 981-2060",,
"Avon Brewing Company","Russell Town Avenue",,,,,,
"B & T Brewery LTD","The Brewery",,,,"(146) 281-5080",,
"B&T Brewery","The Brewery Shefford",,,,,,
"Ballards Brewery LTD","Unit C, The Old Sawmill Nyewood",,,,"(173) 082-1362",,
"Baltic Beer Company Ltd","15 Buckingham Gate",,,,,,http://www.virubeer.com
"Baltic Fleet","33 Wapping",,,,,,
"Bank Top Brewery","68-70 Belmont Road",,,,"(120) 452-8865",,
