name,address1,address2,city,state,zip,phone,type,url
"12 Bar Brewing","Unit 7 Crest Industrial Estate Pattenden Lane","Marden, United Kingdom",,,,,micro,
"1648 Brewing Co. Ltd.","Mill Lane East Hoathly","Nr. Lewes, United Kingdom",,,,"+44 1825 840830",,
"360 Degree Brewing Company","Bluebell Business Estate Sheffield Park","Uckfield, United Kingdom",,,,"+44 1825 722375",micro,
"8 Sail Brewery","4 Hale Rd","Heckington, United Kingdom",,,,"+44 1529 469308",micro,
"Abbey Ales","The Abbey Brewery Camden Row","Bath, United Kingdom",,,,"01225 444437",,
"Abbey Ales LTD","The Abbey Brewery","Camden Row, United Kingdom",,,,"(122) 544-4437",,
"Abbeydale Brewery","Unit 8 Aizlewood Rd","Sheffield, United Kingdom",,,,"+44 114 281 2712",micro,http://www.abbeydalebrewery.co.uk/
"Acorn Brewery of Barnsley Ltd.","Unit 3 Mitchell Rd Wombwell","Barnsley, United Kingdom",,,,"+44 1226 270734",micro,http://acorn-brewery.co.uk/
"Acton Ales","2 Castle Island Way North Seaton","Northumberland, United Kingdom",,,,"077 0770 3182",micro,http://www.actonales.com
"Adnams PLC-Sole Bay Brewery","Sole Bay Brewery","Southwold, United Kingdom",,,,,regional,http://www.adnams.co.uk
"Adnams Southwold","Sole Bay Brewery E Green","Southwold, United Kingdom",,,,"+44 1502 727200",regional,
"Aid Pac","Eltric Rd","Worcester, United Kingdom",,,,"(090) 575-5666",,
"Ainsty Ales Brewery","Manor Farm Buildings Intake Lane","Acaster Malbis, United Kingdom",,,,"+44 7983 604989",micro,
"Alcazar Brewery/Fox & Crown Brewpub","33 Church St","Nottingham, United Kingdom",,,,"+44 115 942 2002",micro,
"Ales of Scilly","2B Porthmellon Business Park","St. Mary's, United Kingdom",,,,"+44 7737 721599",micro,
"Alfred's Brewery","5b Scylla Industrial Estate Winnall Valley Road","Winchester, United Kingdom",,,,"+44 1962 859999",micro,
"Allanwater Brewhouse","The Brew House, Queens Ln","Bridge of Allan, United Kingdom",,,," +44 1786 834555",,
"Allendale Brew Company Ltd.","Allen Mill Allendale","Hexham , United Kingdom",,,,"+44 1434 618686",micro,http://www.allendalebrewery.com/
"Allied Breweries Overseas","126 Station St","Burton-On-Trent, Staffs, United Kingdom",,,,,,
"Allied Leisure PLC","Charnwood Mill, Sileby Rd Barrow upon Soar","Leics, United Kingdom",,,,"01509 414 422",,
"Allied-lyons Plc","24 Portland Pl","London, United Kingdom",,,,"020 7323 9000",large,
"Amber Ales Ltd.","Unit 7 Benjamin Outram Business Centre Whiteley Road","Ripley, United Kingdom",,,,"44 01773 512 864",micro,http://www.amberales.co.uk/
"Ambridge Brewery","Priory Piece Piggery 2A Priory Farm Lane","Inkberrow, United Kingdom",,,,"+44 7500 046391",,
"Ampthill Brewery Limited","Unit D The Sidings Station Rd Industrial Estate","Ampthill, United Kingdom",,,,"+44 7508 305754",micro,
"Anarchy Brew Co.","Whitehouse Farm Centre Stannington","Northumberland, United Kingdom",,,,"44 01670 789 755",micro,http://anarchybrewco.com/
"Arbor Ales","181 Easton Rd","Bristol, United Kingdom",,,,"+44 117 329 2711",micro,
"Archers Ales LTD","Penzance Dr","Swindon, Wilts, United Kingdom",,,,"(179) 387-9929",micro,
"Arkells Brewery Ltd","Kingsdown Upper Stratton","Swindon, United Kingdom",,,," +44 1793 823026",,http://www.arkells.com
"Arran Brewery","Cladach Isle of Arran","Brodick, United Kingdom",,,,"+44 1770 302353",micro,http://www.arranbrewery.com
"Art Brew Barn","North End Farm Venn Lane","Chideock, United Kingdom",,,,"+44 7881 783626",,
"Arundel Brewery","Unit C7 Ford Airfield Industrial Estate Rollaston Park","Ford, United Kingdom",,,,"+44 1903 733111",,
"Ascot Ales Ltd","Unit 5 Compton Place Business Centre Surrey Avenue","Camberley, United Kingdom",,,,"+44 1276 686696",micro,
"Ash Vine Brewery","Unit F, Vallis Trading Estate Robins Ln","Frome, Somerset, United Kingdom",,,,"(137) 330-0041",,
"Ashleyhay Brewery","New Buildings Farm Lane End","Ashleyhay, United Kingdom",,,,,micro,https://www.facebook.com/ashleyhaybrewery.co.uk
"Ashover Brewery","Unit 1 Kershaw Buildings Derby Road Business Park","Clay Cross, United Kingdom",,,,"+44 1246 251859",micro,
"Aston Manor Brewery Co Ltd","173 Thimble Mill Lane","Birmingham, United Kingdom",,,,"+44 121 328 4336",,http://www.astonmanor.co.uk
"Atom Brewing Co.","Malmo Rd","Hull, United Kingdom",,,," +44 1482 820572",micro,http://www.atombeers.com/
"Aviemorw Brewery Co LTD","Unit 12 Dalfaber Industrial Estate","Aviemore, Scotland, United Kingdom",,,,"(147) 981-2060",,
"Avon Brewing Company","Unit 4 Russelltown Avenue Industrial Ce","Bristol, United Kingdom",,,,"+44 117 955 3353",,
"Axholme Brewing Company","7 Lakes Country Side Park Wharf Road","Scunthorpe, United Kingdom",,,,"+44 1724 781804",micro,
"B & T Brewery LTD","The Brewery","Shefford, United Kingdom",,,,"(146) 281-5080",,
"B&T Brewery","3e-3f St Francis Way Unit 2A","Shefford, United Kingdom",,,,"+44 1462 815080",,
"Baa Brewing Ltd.","Unit 4, Station Yard Industrial Estate","Chepstow, United Kingdom",,,,,micro,
"BAD Co. Brewing","3 Dishforth Airfield North Hill Road","Dishforth, United Kingdom",,,,"+44 1423 324005",micro,http://wearebad.co
"Bad Seed Brewery","7 Rye Close Malton","North Yorkshire, United Kingdom",,,,"01653 695 783",micro,http://www.badseedbrewery.com/
"Baildon Brewing Company","Unit D Tong Park Business Centre Otley Road","Baildon, United Kingdom",,,,"07914 025 148",micro,http://baildonbrewing.co.uk/
"Ballards Brewery LTD","Unit C The Old Sawmill Nyewood","Nyewood, United Kingdom",,,,"+44 1730 821362",,
"Baltic Fleet","33 Wapping","Liverpool, United Kingdom",,,,"+44 151 709 3116",,
"Bank Top Brewery","The Pavilion Ashworth Lane","Bolton, United Kingdom",,,,"+44 1204 595800",micro,
"Bar Box (Bass)","4th Ave, Centrum 100 Business Park Burton upon Trent",", United Kingdom",,,,"01283 492 677",,
"Barge and Barrel Brewery Co","10-20 Park Rd","Elland, United Kingdom",,,,"01422 254604",,
"Barham Brewery","2 Murray Street","Barham, United Kingdom",,,,,,
"Barney's Beer","1 Summerhall Place","Edinburgh, United Kingdom",,,,"+44 7512 253660",micro,http://barneysbeer.co.uk/
"Barngates Brewery-The Drunken Duck Inn",Barngates,"Ambleside, United Kingdom",,,," +44 15394 36347",micro,http://www.drunkenduckinn.co.uk
"Barnsley Brewing Co","Wath Rd, Elsecar","Barnsley, S Yorks, United Kingdom",,,,"(122) 674-1010",,
"Barracuda Group","Support Ctr., Henley Rd","Medmenham, United Kingdom",,,,"08453 452 258",,
"Barrell & Sellers","Spring Farm St Cross South Elmham","Harleston, United Kingdom",,,,"07788 561455",micro,
"Bartrams Brewery","Rougham Estate Ipswich Rd.","Rougham, Bury St. Edmunds, United Kingdom",,,,44(0)1449737655,,
"Barum Brewery","Reform St","Barnstaple, United Kingdom",,,," +44 1271 329994",micro,
"Bass Brewers","Manor Park","Alton, United Kingdom",,,,04520541177,regional,
"Bass Leisure Retail","PO Box 27 Cape Hill","Birmingham, United Kingdom",,,,"0121 558 1481",,
Bass/Interbrew,"Bass Brewers Manor Park, Turk St","Alton Hampshire, United Kingdom",,,,,,
"Batemans Brewery","Salem Bridge Brewery Wainfleet","Lincolnshire, United Kingdom",,,,,,
"Bath Ales","Hare House Southway Drive","Warmley, United Kingdom",,,,"+44 0117 947 4797",,
"Bath Ales LTD","Hare House Southway Drive","Warmley, United Kingdom",,,,"(117) 947-4797",,
"Battledown Brewing Co","London Road Dowdeswell","Charlton Kings, United Kingdom",,,,"+44 7734 834104",micro,http://www.battledownbrewery.com
"Battlefield Brewery Ltd","Harlescott Lane","Shrewsbury, United Kingdom",,,,"+44 1743 465000",micro,
"Bays Brewery","Aspen Way","Paignton, United Kingdom",,,,"+44 1803 555004",micro,
"BC Brewing & Pub Company Ltd","Six Bells Pub & Brewery Church Street","Shropshire, United Kingdom",,,,,,
"Beachy Head Brewing","Gilberts Dr East Dean","Eastbourne, United Kingdom",,,,"+44 1323 423313",,
"Beartown Brewery","Bromley House Spindle St.","Congleton, United Kingdom",,,,"+44 1260 299964",,
"Beartown Brewery","Bromley House Spindle Street","Congleton, United Kingdom",,,,"44 1260 299964",micro,
"Beat Ales","Old Coach House Church Road","North Curry, United Kingdom",,,,"+44(0)7821 132 297",micro,
"Beath Brewing Ltd.","54 Foulford Rd.","Cowdenbeath, United Kingdom",,,,"+44 7792 369678",micro,http://www.beathbrewing.com/
"Beavertown Brewery","2 Lockwood Industrial Park","Tottenham Hale, United Kingdom",,,,"+44 20 8525 9884",,
