name,address1,address2,city,state,zip,phone,type,url
"5 Rivers Brewing LLC",,,"Spanish Fort",AL,36527-3161,"(251) 689-7483",,http://5riversbrewing.com
"Avondale Brewing Co","201 41st St S",,Birmingham,AL,35222-1932,"(205) 777-5456",,http://www.avondalebrewing.com
"Back Forty Beer Co","200 N 6th St",,Gadsden,AL,35901-3361,"(256) 467-4912",,http://www.backfortybeer.com
"Band of Brothers Brewing Company","1605 23rd Ave",,Tuscaloosa,AL,35401-4653,"(205) 266-5137",,http://www.bandofbrosbrewing.com
"Below the Radar Brewing Co","220 Holmes Ave NE",,Huntsville,AL,35801-4837,"(256) 469-6617",,http://www.btrbrew.com
"Big Beach Brewing Company","300 E 24th Ave",,"Gulf Shores",AL,36542-3104,"(251) 948-2337",,http://www.bigbeachbrewing.com
"Birmingham District Brewing",,,Birmingham,AL,35242-5651,"(601) 938-0486",,
"Black Warrior Brewing Co.","2216 University Blvd",,Tuscaloosa,AL,35401-1542,,,http://www.blackwarriorbrewing.com
"Blue Pants Brewery","500 Lanier Rd, Bld 1 - Ste A",,Madison,AL,35758-8675,"(256) 679-6330",,http://www.bluepantsbrew.com
"Bluewater Brewing Co","318 S Royal Ave",,Florence,AL,35630-4810,"(256) 275-1221",,http://www.facebook.com/pg/bluewaterbrewingcompanyinc
"Brewery in Planning - Mobile",,,Mobile,AL,36606-1415,,,
"Brewpub In Planning - Birmingham",,,Huntsville,AL,35801-2714,"(256) 585-4531",,
"Cahaba Brewing Co","4500 5th Ave S Ste C",,Birmingham,AL,35222-2911,"(205) 966-9444",,http://www.cahababrewing.com
"Chandler's Ford Brewing LLC",,,Huntsville,AL,35802,"(256) 457-6999",,http://chandlersfordbrewing.com
"Chattahoochee Brewing Co","505 13th St Ste A",,"Phenix City",AL,36867-5128,"(334) 559-0663",,http://www.beerontheriver.com
"Cheaha Brewing Co","1208 Walnut Ave",,Anniston,AL,36201-4526,"(256) 770-7300",,http://www.cheahabrewingcompany.com
"Common Bond Brewers, LLC","424 Bibb Street Suite 150",,Montgomery,AL,36104,"(334) 676-2292",,http://www.commonbondbrewers.com
"Cross-Eyed Owl Brewing Co.","105 1st Ave NE",,Decatur,AL,35601-2301,"(256) 431-0931",,http://www.xeobrewing.com
"Druid City Brewing","607 14th St",,Tuscaloosa,AL,35401-3439,"(205) 886-8140",,http://www.druidcitybrewing.com
"Fairhope Brewing Co","914 Nichols Ave",,Fairhope,AL,36532-3684,"(251) 279-7517",,
"Ferus Artisan Ales",,,Trussville,AL,35173-1480,"(205) 368-0240",,
"Folklore Brewing","153 Mary Lou Ln",,Dothan,AL,36301-9521,"(334) 702-2337",,http://www.folklorebrewing.com
"Ghost Train Brewing Co","2616 3rd Ave S",,Birmingham,AL,35233-2619,"(205) 370-2487",,http://www.ghosttrainbrewing.com
"Goat Island Brewing","1618 Rose St NW",,Cullman,AL,35055-2343,"(256) 747-5556",,http://www.goatislandbrewing.com
"Good People Brewing Co","114 14th St S",,Birmingham,AL,35233-1415,"(615) 498-4165",,http://www.goodpeoplebrewing.com
"Green Bus Brewing","206 Eustis Ave SE",,Huntsville,AL,35801-4233,"(256) 990-2477",,http://www.greenbusbrewing.com
"Haint Blue Brewing Company","PO Box 40038",,Mobile,AL,36640-0038,,,http://haintbluebrew.com
"InnerSpace Brewing Company","2414 Clinton Ave W",,Huntsville,AL,35805-3014,"(256) 489-5599",,http://www.innerspacebrewing.com
"John Emerald Distilling Company",,,Opelika,AL,36801-4344,"(334) 737-5353",,http://www.johnemeralddistilling.com
