name,address1,address2,city,state,zip,phone,type,url
"49th State Brewing Co","248 Parks Hwy 5 Mile",,Healy,AK,99743,,brewpub,
"49th State Brewing Co - Anchorage","717 W 3rd Ave",,Anchorage,AK,99501-2104,"(907) 683-2739",brewpub,http://www.49statebrewing.com/
"Alaskan Brewing Co.","5429 Shaune Dr",,Juneau,AK,99801-9540,"(907) 780-5866",regional,http://www.alaskanbeer.com
"Anchorage Brewing Co","148 W 91st Ave",,Anchorage,AK,99515-1901,"(907) 360-5104",micro,http://www.anchoragebrewingcompany.com
"Arkose Brewery","650 E Steel Loop",,Palmer,AK,99645-6689,"(907) 746-2337",micro,http://www.arkosebrewery.com
"Baleen Brewing Co.",,,Ketchikan,AK,99901,"(907) 220-7492",planning,
"Baranof Island Brewing Co","1209 Sawmill Creek Rd Ste A",,Sitka,AK,99835-9759,"(907) 747-2739",micro,http://www.baranofislandbrewing.com
"Barnaby Brewing Company","206 N Franklin St",,Juneau,AK,99801-1225,"(907) 419-0916",micro,http://www.barnabybrew.com
"Bearpaw River Brewing Co","4605 E Palmer Wasilla Hwy",,Wasilla,AK,99654-7679,,micro,http://bearpawriverbrewing.com
"Black Spruce Brewing Company",,,Fairbanks,AK,99709,"(509) 209-6621",planning,
"Bleeding Heart Brewery","1150 S Colony Way Ste 3 Pmb 618",,Palmer,AK,99645-6972,"(760) 917-2417",micro,http://facebook.com/bleedingheartbrewery
"Broken Tooth Brewing Co","2021 Spar Ave",,Anchorage,AK,99501-1815,"(907) 278-4999",brewpub,
"Cooper Landing Brewing Company, LLC.",,,"Cooper Landing",AK,99572,"(907) 223-6101",micro,http://www.cooperlandingbrewing.com
"Cynosure Brewing","144 E Potter Dr Unit E",,Anchorage,AK,99518-1363,"(907) 563-2966",micro,
"Denali Brewing Company","37083 Talkeetna Spur Rd",,Talkeetna,AK,99676,"(907) 733-2536",micro,http://www.denalibrewing.com
"Devil's Club Brewing","100 N Franklin St",,Juneau,AK,99801-1223,"(907) 723-2337",brewpub,http://www.devilsclubbrewing.com
"Faults Brewing",,,Anchorage,AK,99509-0312,"(907) 301-9922",planning,
"Gakona Brewing Company","Mile 0.5 Tok Cutoff Hwy",,Gakona,AK,99586-0336,,micro,
"Girdwood Brewing Company","2700 Alyeska Highway",,Girdwood,AK,99587-0058,(907)-783-BREW,micro,http://www.girdwoodbrewing.com
