name,address,city,state,zip,phone,type,url
"1912 Brewing",,,,,,planning,
"8-Bit Brewery","1050 N Fairway Dr F - 101",Avondale,AZ,85323,"(623) 925-1650",micro,http://www.8-bitbrewery.com
"Arizona Wilderness Brewing","721 N Arizona Ave Ste 103",Gilbert,AZ,85233-3405,"(408) 284-9863",brewpub,http://www.azwbeer.com
"Bad Water Brewing","4216 N Brown Ave",Scottsdale,AZ,85251,,contract,http://www.badwaterbrewing.com
"Barley Brothers Brewery","1425 McCulloch Blvd N","Lake Havasu City",AZ,86403-6597,"(928) 505-7837",brewpub,http://www.barleybrothers.com
"Barnstar Brewing","PO Box 60","Skull Valley",AZ,86338-0060,"(928) 442-2337",micro,http://www.barnstarbrew.com
"Barrio Brewing Co","800 E 16th St",Tucson,AZ,85719-6603,"(520) 791-2739",micro,http://www.barriobrewing.com
"Beast Brewing Co","1326 W Hwy 92 #8",Bisbee,AZ,85603-1151,"(520) 284-5251",micro,http://www.beastbrewingcompany.com
"Beaver Street Brewery","11 S Beaver St Ste 1",Flagstaff,AZ,86001-5500,"(928) 779-0079",brewpub,http://www.beaverstreetbrewery.com
"Beer Research Institute, The","1641 S Stapley Dr",Mesa,AZ,85204,"(480) 892-2020",brewpub,http://www.thebeerresearchinstitute.com
"BJs Restaurant & Brewery - Chandler","3155 W Chandler Blvd",Chandler,AZ,85226-5175,"(480) 812-4781",brewpub,http://www.bjsrestaurants.com
"Black Bridge Brewery","421 E Beale St",Kingman,AZ,86401,"(928) 377-3618",micro,http://www.balckbridgebrewery.com
"Black Hole Beer Company","1590 Swenson St",Prescott,AZ,86305-1345,"(928) 237-9029",brewpub,http://www.blackholebeercompany.com
"Blasted Barley Beer Company","404 S Mill Ave Ste 101",Tempe,AZ,85281-2879,"(480) 967-5887",brewpub,http://www.blastedbarley.com
"Borderlands Brewing Co","119 E Toole Ave",Tucson,AZ,85701-1210,,micro,http://www.borderlandsbrewing.com
"Brewery In Planning - Chandler",,Chandler,AZ,85249,,planning,
"Brewery In Planning - Florence",,,,,,planning,
"Brewery In Planning - Phoenix",,Phoenix,AZ,85008,,planning,
"Brewery In Planning - Phoenix",,,,,,planning,
"Brewery In Planning - Scottsdale",,Scottsdale,AZ,85254,,planning,
"Brewery In Planning - Scottsdale",,Scottsdale,AZ,85251,,planning,
"Brewery In Planning - Scottsdale",,Scottsdale,AZ,85255,,planning,
"Brewery In Planning - Sedona",,Sedona,AZ,86336,,planning,
"Brewery In Planning- Mesa, AZ.",,,,,,planning,
"Brewery In Planning- Phoenix, AZ",,,,,,planning,
"Button Brew House, LLC",,Tucson,AZ,85710,,planning,http://www.buttonbrew.com
"Cartel Brewery","225 W University Dr Ste 103",Tempe,AZ,85281-3666,"(602) 561-2584",micro,http://www.cartelbrewery.com
"College Street Brewhouse and Pub","1940 College Dr","Lake Havasu City",AZ,86403-1981,"(928) 854-2739",brewpub,
"Copper Canyon Brewing Company","1519 Queens Bay","Lake Havasu City",AZ,86403-6579,,brewpub,http://www.coppercanyonbrewery.com
"Dark Sky Brewing Co.","117 N Beaver St. Suite A",Flagstaff,AZ,86001-5524,"(928) 440-5151",micro,http://www.darkskybrewing.com
"Desert Eagle Brewing Company","150 W Main St",Mesa,AZ,85201-7310,,micro,http://www.deserteaglebrewing.com
"Dragoon Brewing Co","1859 W Grant Rd Ste 111",Tucson,AZ,85745-1214,"(520) 329-3606",micro,http://www.dragoonbrewing.com
"Dubina Brewing Co.","17035 N 67th Ave #6",Glendale,AZ,85308-3655,"(623) 412-7770",brewpub,http://www.dubinabrew.com
"Fate Brewing Company","7337 E Shea Blvd Ste 105",Scottsdale,AZ,85260-6465,"(480) 994-1275",brewpub,http://www.fatebrewing.com
"Fate Brewing Company South",,Scottsdale,AZ,85257-3410,"(480) 994-1275",planning,http://www.fatebrewing.com
"Flagstaff Brewing Co","16 E Route 66",Flagstaff,AZ,86001-5792,"(928) 773-1442",brewpub,http://www.flagbrew.com
"Four Peaks Brewing Co","1340 E 8th St Ste 104",Tempe,AZ,85281-4396,"(480) 303-9967",regional,http://www.fourpeaks.com
"Four Peaks Brewing Company - Wilson Street","2401 S Wilson St",Tempe,AZ,85282-2054,"(480) 303-9967",micro,http://www.fourpeaks.com
"Freak'N Brewing Company","9299 W Olive Ave Ste 513",Peoria,AZ,85345-8385,"(602) 620-4466",micro,http://www.freaknbrew.com
"Goldwater Brewing Co","3608 N Scottsdale Rd.",Scottsdale,AZ,85251-5612,"(480) 350-7305",micro,http://www.goldwaterbrewing.com
"Gordon Biersch Brewery Restaurant - Glendale","6915 N 95th Ave",Glendale,AZ,85305-2488,"(623) 877-4300",brewpub,http://www.gordonbierschrestaurants.com
"Gordon Biersch Brewery Restaurant - Tempe","420 S Mill Ave Ste 201",Tempe,AZ,85281-2870,"(480) 736-0033",brewpub,http://www.gordonbierschrestaurants.com
"Grand Avenue Brewing Company",,Phoenix,AZ,85007-2348,"(602) 670-5465",planning,http://www.grandbrewing.com
"Grand Canyon Brewery","233 W Route 66",Williams,AZ,86046-2530,"(928) 635-2168",micro,http://www.grandcanyonbrewingco.com
"Granite Mountain Brewing","PO Box 1109 123 N Cortez St",Prescott,AZ,86302-1109,"(928) 778-5535",micro,http://www.granitemountainbrewing.com
"Green Feet Brewing - Brewery In Planning - Tucson",,Tucson,AZ,85713-6814,,planning,http://www.greenfeetbrewing.com
"Helton Brewing Company",,,,,,planning,http://www.heltonbrewingcompany.com
"Historic Brewing Company","4366 E Huntington Dr Bldg 2",Flagstaff,AZ,86004-9400,"(928) 707-0900",micro,http://www.historicbrewingcompany.com
"Huss Brewing","1520 W Mineral Rd Ste 102",Tempe,AZ,85283-4343,"(480) 264-7611",micro,
"Indigenous AleWorks",,Mesa,AZ,85206,,planning,
"Iron John's Brewing Company","246 S Plumer Ave #27",Tucson,AZ,85719-6343,"(520) 775-1727",micro,http://www.ironjohnsbrewing.com
"Lazy G Brewhouse",,,,,,planning,
"Lonesome Valley Brewing","3040 N Windsong Dr. Suite 101","Prescott Valley",AZ,86314-2250,"(928) 515-3541",brewpub,http://www.lonesomevalleybrewing.com
"Lumberyard Brewing Co Taproom and Grille","5 S San Francisco St",Flagstaff,AZ,86001-5736,"(928) 779-2739",brewpub,http://www.lumberyardbrewingcompany.com
"Mesquite River Brewing",,Phoenix,AZ,85050,"(602) 677-8220",planning,http://www.mesquiteriverbrewing.com
"Mother Bunch Brewing, Inc.","825 N 7th Street",Phoenix,AZ,85006-3793,,brewpub,http://www.motherbunchbrew.com
"Mother Road Brewing Co","7 S Mikes Pike",Flagstaff,AZ,86001-5589,"(928) 774-9139",micro,http://www.motherroadbeer.com
"Mudshark Brewing Co","210 Swanson Ave","Lake Havasu City",AZ,86403-0966,"(928) 453-2981",micro,http://www.mudsharkbrewingco.com
"Nimbus Brewing Co","3850 E 44th St Ste 138",Tucson,AZ,85713-5472,"(520) 745-9175",micro,http://www.nimbusbeer.com
