name,address1,address2,city,state,zip,phone,type,url
"12 West Brewing Company","3000 E Ray Rd Bldg 6",,Gilbert,AZ,85296-7832,"(602) 339-5014",micro,http://www.12westbrewing.com
"12 West Brewing Company - Production Facility",,,Mesa,AZ,85207,,micro,
"1912 Brewing","2045 N Forbes Blvd Ste 105",,Tucson,AZ,85745-1444,"(520) 256-4851",micro,http://www.1912brewing.com
"2nd Job Brewery, LLC",,,Mesa,AZ,85205-5206,"(480) 540-6096",planning,
"8-Bit Aleworks","1050 N Fairway Dr Ste F101",,Avondale,AZ,85323-5220,"(623) 925-1650",micro,http://www.8-bitaleworks.com
"Arizona Wilderness Brewing","721 N Arizona Ave",,Gilbert,AZ,85233-3405,"(480) 284-9863",brewpub,http://azwbeer.com
"Bad Water Brewing","4216 N Brown Ave",,Scottsdale,AZ,85251-3914,,contract,http://www.badwaterbrewing.com
"Barley Brothers Brewery","1425 McCulloch Blvd N",,"Lake Havasu City",AZ,86403-6597,"(928) 505-7837",brewpub,http://www.barleybrothers.com
"Barnstar Brewing","PO Box 60",,"Skull Valley",AZ,86338-0060,"(928) 442-2337",micro,http://www.barnstarbrew.com
"Barrio Brewing Co","800 E 16th St",,Tucson,AZ,85719-6603,"(520) 791-2739",micro,http://www.barriobrewing.com
"Beast Brewing Co","1326 W Hwy 92 Ste 8",,Bisbee,AZ,85603-1151,"(520) 284-5251",micro,http://www.beastbrewingcompany.com
"Beaver Street Brewery","11 S Beaver St Ste 1",,Flagstaff,AZ,86001-5500,"(928) 779-0079",brewpub,http://www.beaverstreetbrewery.com
"Beer Research Institute, The","1641 S Stateley Dr Ste 104",,Mesa,AZ,85204,"(480) 892-2020",brewpub,http://www.bri.beer
"BJs Restaurant & Brewery - Chandler","3155 W Chandler Blvd",,Chandler,AZ,85226-5175,"(480) 917-0631",brewpub,http://www.bjsrestaurants.com
"Black Bridge Brewery","421 E Beale St",,Kingman,AZ,86401-5833,"(928) 377-3618",micro,http://www.balckbridgebrewery.com
