name,address1,address2,city,state,zip,phone,type,url
"Norfork Brewing Company",,,Norfork,AR,72658-9630,"(918) 706-6082",,
"Apple Blossom Brewing Co","1550 E Zion Rd",,Fayetteville,AR,72703-5017,"(479) 287-4344",,http://www.appleblossombrewing.com
"Bentonville Brewing Co","1700 S 1st St",,Rogers,AR,72756-5923,"(479) 903-7330",,http://www.bentonvillebrewing.com
"Bike Rack Brewing Co","410 SW A St Ste 6",,Bentonville,AR,72712-5839,"(479) 268-6648",,http://www.bikerackbrewing.com
"Bike Rack Brewing Co - 8th Street Market","801 SE 8th St",,Bentonville,AR,72712-6409,"(479) 319-6593",,http://www.bikerackbrewing.com
"Blue Canoe Brewing Co","425 E 3rd St",,"Little Rock",AR,72201-1611,"(501) 492-9378",,http://www.bluecanoebrewco.com
"Brick Oven Pizza Co / Brick & Forge Brewing","2410 Linwood Dr",,Paragould,AR,72450-6122,"(870) 236-4200",,http://www.brickovenpizzacompany.com
"Brick Oven Pizza Co / Brick & Forge Brewing","814 US-62",,Harrison,AR,72601,"(870) 236-4200",,
"Bubba Brew's Brewing Company","8091 Airport Rd",,Bonnerdale,AR,71933-6648,"(870) 356-4001",,http://www.bubbabrewsbrewingco.com
"Buffalo Brewing Company The Water Buffalo","106 S Rodney Parham Rd",,"Little Rock",AR,72205,"(501) 725-5296",,http://www.thewaterbuffalo.com
"Columbus House Brewery","701 W North St",,Fayetteville,AR,72701-1865,"(479) 935-3752",,
"Core Brewing & Distilling Co","2470 N Lowell Rd Ste A3",,Springdale,AR,72764-1819,"(479) 306-8898",,http://www.corebeer.com
"Crisis Brewing LLC","210 S Archibald Yell Blvd",,Fayetteville,AR,72701-4459,"(479) 582-2337",,http://www.crisisbrew.com
"Damgoode Pies","500 President Clinton Ave",,"Little Rock",AR,72201-1756,"(501) 664-2239",,http://www.damgoodepies.com
"Dark Hills Brewery",,,Lowell,AR,72745-9294,"(479) 283-6365",,http://www.darkhillsbrew.com
"Diamond Bear Brewing Co","600 N Broadway St",,"North Little Rock",AR,72114-5381,"(501) 708-2739",,http://www.diamondbear.com
"Fayetteville Brewing Company",,,Fayetteville,AR,72704-7402,"(479) 263-1905",,http://www.fayettebrew.com
"Flyway Brewing Co","314 Maple St",,"North Little Rock",AR,72114-5334,"(501) 812-3192",,
"Fort Smith Brewing Company","7500 Fort Chaffee Blvd",,"Fort Smith",AR,72916-6086,"(479) 242-3722",,http://www.fsbrewco.com
"Fossil Cove Brewing Co","1946 N Birch Ave",,Fayetteville,AR,72703-2408,"(479) 644-4601",,http://www.fossilcovebrewing.com
"Foster's Pint & Plate","2001 S Bellview Rd # 2",,Rogers,AR,72758-4050,,,http://www.fosterspintandplate.com
"Gotahold Brewing Company",,,"Eureka Springs",AR,72632,"(802) 356-9163",,
"Gravity Brew Works","11512 Hwy 14 E",,"Big Flat",AR,72617,"(870) 448-2077",,http://www.gravitybrewworks.com
"Hawk Moth Brewing Co",,,rogers,AR,72756,"(479) 616-4800",,
"Hog Haus Brewing Co","430 W Dickson St",,Fayetteville,AR,72701-5107,"(479) 283-3516",,http://www.hoghaus.com
"Lost 40 brewing","510 McLean St",,"Little Rock",AR,72202-2660,"(501) 554-5557",,
"Lost Forty Brewing","501 Byrd St",,"Little Rock",AR,72202,"(501) 319-7275",,http://www.lost40brewing.com/
"New Province Brewing Company","1310 W Hudson Rd",,Rogers,AR,72756-2311,"(479) 531-3233",,http://newprovincebrewing.com
"Ozark Beer Company","109 N Arkansas St",,Rogers,AR,72756-6601,"(479) 636-2337",,http://www.ozarkbeercompany.com
"Prestonrose Farm and Brewing Co.","201 Saint Louis Valley Rd",,Paris,AR,72855-5853,"(707) 502-5544",,http://prestonrose.squarespace.com
"Puritan Brew Company","205 W Dickson St",,Fayetteville,AR,72701-5222,"(479) 301-2365",,http://www.puritanbrewcompany.com
"Rapp's Barren Brewing Company","1343 E 9th St",,"Mountain Home",AR,72653-5050,"(870) 424-7288",,http://www.rappsbarrenbrewing.com
"Rebel Kettle Brewing Company","822 E 6th St",,"Little Rock",AR,72202-2606,"(501) 374-2791",,http://www.rebelkettle.com
"Refined Ale Brewery","2221 S Cedar St",,"Little Rock",AR,72204-5452,"(501) 280-0556",,http://www.refinedale.com
"Rendezvous Junction Brewing Company","2001 S Bellview Rd Ste 2",,Rogers,AR,72758-4050,"(479) 381-7501",,http://www.rendezvousjunction.com
"Saddlebock Brewery","18244 Habberton Rd",,Springdale,AR,72764-7582,"(479) 422-1797",,http://www.saddlebock.com
"SQZBX Brewery","236 Ouachita Ave",,"Hot Springs ",AR,71901,"(501) 609-0609",,http://www.sqzbx.com
"Stone's Throw Brewing","402 E 9th St",,"Little Rock",AR,72202-3914,"(501) 244-9154",,http://www.stonesthrowbeer.com
"Superior Bathhouse Brewery","329 Central Ave",,"Hot Springs National Park",AR,71901-3525,"(501) 624-2337",,http://www.superiorbathhouse.com
"Tiny Tim's Pizza /West Mountain Brewery","21 W Mountain St",,Fayetteville,AR,72701-6086,"(479) 442-9090",,http://www.facebook.com/pg/tinytimspizza
"Vino's Pizza Pub Brewery","923 W 7th St",,"Little Rock",AR,72201-4005,"(501) 375-8466",,http://www.vinosbrewpub.com
