name,address1,address2,city,state,zip,phone,type,url
"???? Prodigy Brewing Company","1259 Linda Vista Dr",,"San Marcos",CA,92078-3827,,contract,http://www.prodigybrewingcompany.com
"10 Barrel Brewing Co","1501 E St",,"San Diego",CA,92101-6618,"(619) 578-2311",large,http://10barrel.com
"101 North Brewing Company","1304 Scott St Ste D",,Petaluma,CA,94954-7100,"(707) 753-4934",micro,http://www.101northbeer.com
"13 Point Brewing",,,"Lemon Grove",CA,91945,"(619) 724-2445",planning,http://www.13pointbrewing.com
"14 Cannons Brewing Company","31125 Via Colinas Ste 907",,"Westlake Village",CA,91362-3974,"(818) 699-6165",micro,http://14cannons.com
"1850 Brewing Company",,,Mariposa,CA,95338,,micro,http://www.1850restaurant.com
"2 Tread Brewing Co","1018 Santa Rosa Plz",,"Santa Rosa",CA,95401-6399,"(707) 327-2822",brewpub,http://www.2treadbrewing.com
"21st Amendment Brewery","2010 Williams St Unit A",,"San Leandro",CA,94577-2334,"(510) 595-2111",regional,http://www.21st-amendment.com
"21st Amendment Brewery Cafe","563 2nd St",,"San Francisco",CA,94107-1411,"(415) 369-0900",brewpub,http://www.21st-amendment.com
"2Kids Brewing Company","8680 Miralani Dr Ste 123",,"San Diego",CA,92126-6391,"(858) 480-5437",micro,http://www.2kidsbrewing.com
"3 Disciples Brewing",,,Sebastopol,CA,95472-5937,"(707) 228-7309",micro,http://www.3disciplesbrewing.com/home
"3 Iron Brewing Company","898 Via Lata Ste A",,Colton,CA,92324-3920,"(909) 533-4892",micro,http://www.3ironbrewingco.com
"32 North Brewing Co","8655 Production Ave Ste A",,"San Diego",CA,92121-2258,"(619) 363-2622",micro,
"411 Broadway Ales",,,Fresno,CA,93721-2801,"(541) 270-6076",planning,
"47 Hills Brewing Co","137 S Linden Ave",,"South San Francisco",CA,94080-6410,"(650) 867-8476",brewpub,http://47hillsbrewingcompany.com
"5150 Brewing At The Brass Tap Rocklin","5150 Commons Dr Ste 101",,Rocklin,CA,95677-3925,"(916) 246-2729",micro,http://www.brasstaprocklin.com
"559 Local Brewing","608 4th St",,Clovis,CA,93612-1183,"(559) 473-1875",micro,http://www.fresnobrewingcompany.com
"6th and La Brea","600 South La Brea Ave",,"Los Angeles",CA,90036,,brewpub,http://www.6thlabrea.com
"7 Sisters Brewing Co","181 Tank Farm Rd Ste 110",,"San Luis Obispo",CA,93401-7082,"(805) 868-7133",brewpub,http://www.7sistersbrewing.com
"8 Bit Brewing Company","26755 Jefferson Ave Ste F",,Murrieta,CA,92562-6941,"(951) 677-2322",brewpub,http://www.8bitbrewerycompany.com
"8one8 Brewing Company","8951 de Soto Ave",,"Canoga Park",CA,91304-5901,"(818) 835-2286",micro,http://www.818brewing.com
"927 Beer Company","821 Cornwall St",,Cambria,CA,93428-2434,"(805) 203-5265",micro,http://www.cambriabeerco.com
Abigaile,"1301 Manhattan Ave",,"Hermosa Beach",CA,90254-3666,"(310) 798-8227",brewpub,http://abigailrestaurant.com
"Abnormal Beer Company","16990 Via Tazon Ste 123",,"San Diego",CA,92127-1649,"(858) 618-2463",micro,http://abnormalbeer.co
"Absolution Brewing Co","2878 Columbia St",,Torrance,CA,90503-3808,"(310) 490-4860",micro,http://www.absolutionbrewingcompany.com
"Absolution By the Sea","7536 Fay Ave",,"La Jolla",CA,92037-4839,"(619) 202-4152",brewpub,
"Acoustic Ales Brewing Experiment",,,"San Diego",CA,92110-2006,"(619) 299-2537",planning,http://www.acousticales.com
"Adobe Creek Brewing Company","67 Galli Dr Ste E",,Novato,CA,94949-5718,"(415) 506-4565",micro,http://www.adobecreekbrewing.com
"Aftershock Brewing Co","28822 Old Town Front St Ste 107",,Temecula,CA,92590-2893,"(951) 972-2256",micro,http://www.aftershockbrewingco.com
"Alameda Island Brewing Company","1716 Park St",,Alameda,CA,94501-1416,"(510) 217-8885",micro,http://www.alamedaislandbrewingcompany.com
"Alaro Craft Brewery","2004 Capitol Ave",,Sacramento,CA,95811,"(916) 436-7711",brewpub,http://www.alarobrewing.com
"Ale House Brewing Co",,,"San Jose",CA,95118-1605,"(408) 390-7574",micro,
"Ale Industries","3096 E 10th St",,Oakland,CA,94601-2960,"(925) 470-5280",micro,http://www.aleindustries.com
"AleSmith Brewing Co","9990 Alesmith Ct",,"San Diego",CA,92126-4200,"(858) 549-9888",regional,http://www.alesmith.com
"Alibi Ale Works - Truckee","10069 Bridge St",,Truckee,CA,96161-6392,"(530) 536-5029",brewpub,
"Align Brewing Co","8680 Miralani Dr",,"San Diego",CA,92126-6300,,micro,http://www.facebook.com/alignbrewing
"All-American Ale Works","5120 E La Palma Ave Ste 103",,Anaheim,CA,92807-2082,"(951) 741-2771",micro,http://www.all-americanaleworks.com
"Almanac Beer Company","651B W Tower Ave",,Alameda,CA,94501-5047,"(415) 932-6531",micro,http://almanacbeer.com
"Alosta Brewing Co","692 Arrow Grand Cir",,Covina,CA,91722-2122,"(909) 455-8707",micro,http://www.alostabrewing.com
