name,address1,address2,city,state,zip,phone,type,url
"105 West Brewing Co","1043 Park St",,"Castle Rock",CO,80109-1585,,micro,
"12Degree Brewing","820 Main St",,Louisville,CO,80027-1865,"(303) 579-1004",brewpub,http://www.12degree.com
"14er Brewing Company","981 E 70th Ave Unit L",,Denver,CO,80229-6811,"(720) 773-1437",contract,http://www.14erbrewing.com
"1933 Brewing Company",,,"Fort Collins",CO,80525-5953,"(970) 377-4107",planning,http://www.1933brewing.com
"3 Freaks Brewing Co","7140 E County Line Rd",,"Highlands Ranch",CO,80126-3926,"(720) 299-0994",micro,http://www.3freaksbrewery.com
"300 Suns Brewing Company","335 1st Ave Unit C",,Longmont,CO,80501-5958,,micro,http://www.300sunsbrewing.com
"303 Brewing Company",,,Denver,CO,80220-8896,"(303) 720-7550",planning,http://www.303brewingcompany.com
"38 State Brewing","8071 S Broadway Ste A",,Littleton,CO,80122-2730,"(720) 638-3678",micro,http://www.38statebrew.com
"4 Noses Brewing Company","8855 W 116th Cir # SUITE4",,Broomfield,CO,80021-2522,"(720) 460-2797",micro,http://www.4nosesbrewing.com
"4B's Brewery","215 W Main St",,Cedaredge,CO,81413-3339,"(970) 856-7762",brewpub,http://www.4bsbrewery.com
"53 Peaks Brewing",,,Denver,CO,80210,,planning,http://www.53peaksbrewing.com
"7 Hermits Brewing Company","717 Sylvan Lake Rd #B-1",,Eagle,CO,81631,"(970) 328-6220",brewpub,http://www.7hermitsbrewing.com
"Acidulous Brewing Company","6712 S Independence St",,Littleton,CO,80128-4046,"(303) 995-2895",contract,
"Alpine Dog Brewing Co","1505 N Ogden St",,Denver,CO,80218-,"(720) 214-5170",micro,http://www.alpinedogbrewery.com
"Angry James Brewing Co",,,Frisco,CO,80443,,planning,
"Anheuser-Busch Inc - Fort Collins","2351 Busch Dr",,"Fort Collins",CO,80524-9400,"(970) 490-4500",large,
"Animas Brewing Co","1560 E 2nd Ave",,Durango,CO,81301-5186,"(970) 403-8850",brewpub,http://www.animasbrewing.com
"Asher Brewing Co","4699 Nautilus Ct S Ste 104",,Boulder,CO,80301-5306,"(303) 530-1381",micro,http://asherbrewing.com
"Aspen Brewing Company","404 Aspen Airport Business Ctr",,Aspen,CO,81611-3530,"(970) 920-2739",micro,http://www.aspenbrewingcompany.com
"Atom Brewing Company","654 Moffat St",,Erie,CO,80516-,"(863) 412-0917",micro,http://www.atombrewingcompany.com
"Avalanche Brewing Co","PO Box 377 1067 Blair St",,Silverton,CO,81433-0377,"(970) 387-5282",brewpub,http://www.avalanchebrewing.com
"Avery Brewing Co","4910 Nautilus Ct N",,Boulder,CO,80301-3242,"(303) 440-4324",regional,
