name,address1,address2,city,state,zip,phone,type,url
"The Beer'd Brewing Company","22 Bayview Ave Ste 15",,Stonington,CT,06378-1143,"(860) 213-9307",micro,http://www.beerdbrewing.com
"2nd Bridge Brewing Company","642 Hilliard St",,Manchester,CT,06042-2700,"(860) 783-8580",micro,http://www.2ndbridgebrewing.com
"30 Mile Brewing Co.","39 Ragged Rock Rd Unit 5",,"Old Saybrook",CT,06475-1518,"(860) 339-5238",micro,http://www.30milebrewingco.com
"Alvarium Beer Company","365 John Downey Dr Ste B",,"New Britain",CT,06051-2922,"(860) 357-2039",micro,http://www.alvariumbeer.com
"Armada Brewing","250 Bradley Street",,"East Haven",CT,06512,"(475) 441-3759",contract,http://www.armadabeer.com
"Aspetuck Brew Lab","3389 Fairfield Avenue",,Bridgeport,CT,06605,"(203) 253-9423",micro,http://www.aspetuckbrewlab.com
"Athletic Brewing Company",,,Stratford,CT,06615-7167,"(203) 273-0422",planning,http://www.athleticbrewing.com
"Back East Brewing","1296 Blue Hills Ave Ste A",,Bloomfield,CT,06002-5312,"(860) 242-1793",micro,http://www.backeastbrewing.com
"Bad Dream Brewing","116 Danbury Rd Ste 3",,"New Milford",CT,06776,"(860) 717-4546",micro,http://www.baddreambrewing.com
"BADSONS Beer Co","251 Roosevelt Dr",,Derby,CT,06418-1665,"(203) 308-2654",micro,http://www.badsoons.com
"Barley Head Brewery","12 Water St 1A",,Mystic,CT,06355,,micro,http://www.barleyheadbrewery.com
"Beaver Beer Co","307 Greens Farms Rd",,Westport,CT,06880-6227,,contract,http://www.beaverbeer.com
"Black Hog Brewing Co","115 Hurley Rd Bldg 9A",,Oxford,CT,06478-1047,"(203) 262-6075",micro,http://www.blackhogbrewing.com
"Black Pond Brews","21A Furnace St",,Danielson,CT,06239-3040,"(860) 207-5295",micro,http://www.blackpondbrews.com
"Blackrock Beer Co",,"Fairfield, Fairfield",,,,"(631) 482-3118",planning,http://www.blackrockbeerco.com
"Boondoggle Brewing","553 Maple St",,Wethersfield,CT,06109-3732,"(860) 336-7366",contract,http://www.boondogglebeers.com
"Brass Works Brewing Company LLC","2066 Thomaston Ave",,Waterbury,CT,06704-1038,"(203) 527-6223",micro,http://www.brassworksbrewing.com
"Brewery in Planning - Bristol",,,Bristol,CT,06010-7955,"(860) 305-9556",planning,http://www.hopculturefarms.com
"Brewery In Planning - CT",,,Mistic,CT,06355-2546,"(860) 315-2470",planning,
"Brewery in Planning - Newtown, CT",,,Newtown,CT,06470,"(203) 948-7449",planning,
"Brewery Legitimus","283 Main St",,"New Hartford",CT,06057-2750,"(860) 810-8894",micro,http://www.brewerylegitimus.com
"Brewport Brewing Co","225 S Frontage Rd",,Bridgeport,CT,06604-5031,"(203) 612-4438",brewpub,http://www.brewportct.com
"Broad Brook Brewing Company","915 South St",,Suffield,CT,06078,"(860) 623-1000",micro,http://www.broadbrookbrewing.com
"Broad Leaf Farm Brewery",,,"South Glastonbury",CT,06073-2017,"(215) 805-7228",planning,
"Broken Symmetry Gastro Brewery","5 Depot Pl",,Bethel,CT,06801-2507,"(203) 731-1735",brewpub,
"BruRm At Bar","254 Crown St",,"New Haven",CT,06511-6610,"(203) 495-8924",brewpub,http://www.barnightclub.com
"Cambridge House Brew Pub - Granby","357 Salmon Brook St",,Granby,CT,06035-0438,"(860) 653-2739",brewpub,http://www.cbh.beer
"Center Street Brewing Company",,,Wallingford,CT,06492,,planning,http://n/a
"Charter Oak Brewing Company LLC","39B Shelter Rock Rd",,Danbury,CT,06810-7043,"(203) 616-5268",micro,http://www.charteroakbrewing.com
"Church Owl Beer",,,Stratford,CT,06615-7320,,micro,http://www.churchowlbeer.com
"City Steam Brewery","942 Main St Lbby 3",,Hartford,CT,06103-1215,"(860) 525-1600",brewpub,http://www.citysteam.biz
"Cliffside Brewing","16B Center St",,Wallingford,CT,06492-4110,,micro,http://www.cliffsidebrewing.com
"Cold Creek Brewery","6 Industrial Dr",,Ellington,CT,06029-2632,"(860) 858-1900",micro,http://coldcreekbrewery.com
"Coles Road Brewing",,,Cromwell,CT,06416-1113,,planning,http://colesroadbrewing.com
"Connecticut Valley Brewing Company","765 Sullivan Ave",,"South Windsor",CT,06074-1945,"(860) 644-2707",micro,http://www.ctvalleybrewing.com
"Cottrell Brewing Co","100 Mechanic St",,Pawcatuck,CT,06379-2163,"(860) 599-8213",micro,http://www.cottrellbrewing.com
"Counterweight Brewing Company","23 Raccio Park Rd",,Hamden,CT,06514-1331,"(203) 821-7333",micro,http://www.counterweightbrewing.com
"Dockside Waterfront Biergarten and Brewery",,,Milford,CT,06460,,planning,
Donderwolk,"St Anthoniusplaats 14","Nijmegen, Netherlands",,,,,micro,http://www.facebook.com/donderwolkbrouwerij
"Duvig Brewing Co","59 School Ground Rd Ste 10",,Branford,CT,06405-2868,"(203) 208-2213",micro,http://www.duvig.com
"East Rock Brewing Company",,,"New Haven",CT,06511-2625,"(203) 530-3484",planning,http://www.eastrockbeer.com
"Epicure Brewing","40 Franklin St",,Norwich,CT,06360-,"(860) 377-0789",micro,http://www.epicurebrewing.com
"Fairfield Craft Ales","724 Honeyspot Rd",,Stratford,CT,06615-7109,"(203) 296-2530",micro,http://www.fairfieldcraftales.com
"Fat Orange Cat Brew Co",,,"East Hampton",CT,06424-1636,"(860) 881-8045",micro,http://www.fatorangecatbrewco.com
"Fifth Year Brewery",,,"West Haven",CT,06516-7515,,planning,
"Firefly Hollow Brewing Co.","139 Center St Ste 5005",,Bristol,CT,06010-5086,"(860) 845-8977",micro,http://www.fireflyhollowbrewing.com
"Five Churches Brewing","193 Arch St",,"New Britain",CT,06051-2516,"(860) 223-8080",brewpub,http://www.facebook.com/fivechurchesbrewing
"Forest City Brewing","180 Johnson St.",,Middlefield,CT,06455,"(860) 788-2138",micro,
"Fox Farm Brewery","62 Music Vale Rd",,Salem,CT,06420-3847,"(860) 287-0076",micro,http://foxfarmbeer.com
"Front Porch Brewing","226 N. Plains Industrial Rd Unit 4",,Wallingford,CT,06492-2397,"(203) 679-1096",micro,http://www.frontporchbrewing.org
"Great Falls Brewing Company",,,Canaan,CT,06018,"(860) 921-7843",planning,http://greatfallsbrews.com
"Great New London Brewing Co / Safe Harbor Brewing",,"New London, CT",,,,"(860) 599-8213",contract,http://www.safeharborbeer.com
"Half Full Brewery","43 Homestead Ave",,Stamford,CT,06902-7204,"(203) 274-8788",micro,http://www.halffullbrewery.com
