name,address1,address2,city,state,zip,phone,type,url
"16 Mile Brewing Co","413 S Bedford St",,Georgetown,DE,19947-1849,"(302) 253-8816",,http://www.16milebrewery.com
"38°-75° Brewing","2000 Coastal Highway STE 105",,"Rehoboth Beach",DE,19971,"(302) 227-8519",,
"3rd Wave Brewing Co","501 N Bi State Blvd",,Delmar,DE,19940-1106,"(302) 907-0423",,http://www.3rdwavebrewingco.com
"Argilla Brewing Co @ Pietro's Pizza","2667 Kirkwood Hwy",,Newark,DE,19711-7242,"(302) 731-8200",,http://www.argillabrewing.com
"Bellefonte Brewing Co","3605 Old Capitol Trl Unit C7/C8",,Wilmington,DE,19808-6043,"(302) 540-1055",,http://www.bellefontebrewingco.com
"Blue Earl Brewing Company","210 Artisan Dr",,Smyrna,DE,19977-3715,,,http://www.blueearlbrewing.com
"Brewery in Planning - REHOBOTH",,,"Rehoboth Beach",DE,19971-0049,"(352) 562-5449",,http://www.sodelconcepts.com
"Brick Works Brewing and Eats","230 S Dupont Blvd",,Smyrna,DE,19977-1573,"(302) 508-2523",,http://www.brickworksde.com
"Crooked Hammock Brewery","36707 Crooked Hammock Way",,Lewes,DE,19958-4877,,,
"Dew Point Brewing","2878 Creek Rd",,Yorklyn,DE,19736-,"(302) 518-3636",,http://www.dewpointbrewing.com
"Dewey Beer Co.","2100 Coastal Hwy",,"Dewey Beach",DE,19971-2317,"(302) 227-1182",,http://www.deweybeerco.com
"Dogfish Head Brewings & Eats","320 Rehoboth Ave",,"Rehoboth Beach",DE,19971-3108,"(302) 226-2739",,http://www.dogfish.com
"Dogfish Head Craft Brewery","6 Cannery Village Ctr",,Milton,DE,19968-1308,"(302) 684-1000",,http://www.dogfish.com
"Fins Big Oyster Brewery","19269 Coastal Hwy",,"Rehoboth Beach",DE,19971-6113,"(302) 290-2410",,http://bigoysterbrewery.com
"First State Brewing Company",,,Middletown,DE,19709-1482,"(302) 285-9535",,http://www.firststatebrewing.com
"Fordham and Old Dominion Brewing Company","1284 McD Dr",,Dover,DE,19901-4639,"(302) 678-4810",,http://www.fordhamanddominion.com
"Iron Hill Brewery & Restaurant - Newark","147 E Main St",,Newark,DE,19711-7313,"(302) 266-9000",,http://www.ironhillbrewery.com
"Iron Hill Brewery & Restaurant - Wilmington","710 Justison St",,Wilmington,DE,19801-5141,"(302) 658-8200",,http://www.ironhillbrewery.com
"Midnight Oil Brewing Company","674 Pencader Dr",,Newark,DE,19702-3348,"(302) 286-7641",,http://www.midnightoilbrewing.com
"Mispillion River Brewing","255 Mullet Run St",,Milford,DE,19963,"(302) 491-6623",,http://www.mispillionriverbrewing.com
"Pizza By Elizabeths","3801 Kennett Pike",,Greenville,DE,19807-2321,"(302) 654-4478",,http://www.pizzabyelizabeths.com
"Revelation Craft Brewing Co","19841 Central Ave",,"Rehoboth Beach",DE,19971-1112,"(302) 212-5674",,http://www.revbeer.com
"Stewart's Brewing Co","219 Governors Pl",,Bear,DE,19701-3026,"(302) 836-2739",,http://www.stewartsbrewingcompany.com
"Stitch House Brewery","829 North Market Street",,Wilmington,DE,19801,"(302) 250-4280",,http://www.stitchhousebrewery.com
"Twin Lakes Brewing Co","405 Marsh Ln Ste 7",,Wilmington,DE,19804-2445,"(302) 995-2337",,http://www.twinlakesbrewingcompany.com
"Volunteer Brewing Company","120 W Main St",,Middletown,DE,19709-1040,"(302) 464-0822",,http://www.volunteerbrewing.com
"Wilmington Brew Works",,,Wilmington,DE,19802-2542,"(302) 757-4971",,http://www.wilmingtonbrewworks.com
