name,address1,address2,city,state,zip,phone,type,url
"3 Stars Brewing Co","6400 Chillum Pl NW",,Washington,DC,20012,"(202) 498-7401",micro,http://www.3starsbrewing.com
"Artesanales Cervezarte C.A.","Av Oeste Altos De Manzanares B 16 B Manzanares - Baruta","Caracas, Venezuela",,,,582124289327,micro,http://www.cervezarte.com
"Atlas Brew Works",,,Washington,DC,20003,,planning,
"Atlas Brew Works","2052 W Virginia Ave NE Ste 102",,Washington,DC,20002-1832,"(202) 832-0420",micro,http://www.atlasbrewworks.com
"Bardo Brewpub","25 Potomac Ave SE",,Washington,DC,20003-3670,"(762) 233-7070",micro,http://www.bardo.beer
Bluejacket,"300 Tingey St SE",,Washington,DC,20003-4625,"(202) 524-4862",brewpub,http://www.bluejacketdc.com
"City-State Brewing Company",,,Washington,DC,20017-2518,"(202) 531-0481",planning,http://citystatebrewing.com
"DC Brau Brewing Company","3178 Bladensburg Rd NE Ste B",,Washington,DC,20018-2214,"(202) 621-8890",regional,http://www.dcbrau.com
"District ChopHouse and Brewery","509 7th St NW",,Washington,DC,20004-1600,"(202) 347-3434",brewpub,http://www.districtchophouse.com
"Gordon Biersch Brewery Restaurant - Navy Yard","100 M St SE",,Washington,DC,20003-3519,"(202) 484-2739",brewpub,http://www.gordonbiersch.com/locations/navy-yard?action=view
"Groovy Gallo Brewing Co.",,,Washington,DC,20024,"(571) 357-8413",planning,http://www.groovygallobrewing.com
"Hellbender Brewing Company","5788 2nd St NE",,Washington,DC,20011-2524,"(202) 827-8768",micro,http://www.hellbenderbeer.com
"Red Bear Brewing Co","203 M St NE",,Washington,DC,20002,"(510) 427-2480",micro,http://www.redbear.beer
"Right Proper Brewing Company","920 Girard St NE",,Washington,DC,20017-3424,"(202) 607-2337",micro,http://www.rightproperbrewing.com
"Right Proper Brewing Company","624 T St NW",,Washington,DC,20001-5119,"(202) 607-2337",brewpub,http://www.rightproperbrewery.com
"The Public Option","1601 Rhode Island Ave NE",,Washington,DC,20018-1841,"(202) 397-5129",brewpub,http://www.thepublicoptiondc.com
"Valor Brewpub","723 8th St SE",,Washington,DC,20003,"(202) 547-8459",brewpub,http://www.valorbrewpub.com
