name,address1,address2,city,state,zip,phone,type,url
"26 Degree Brewing Company","2600 E Atlantic Blvd",,"Pompano Beach",FL,33062-4940,,micro,http://www.26brewing.com
"3 Daughters Brewing","222 22nd St S Bldg 1",,"Saint Petersburg",FL,33712-1240,"(727) 495-6002",micro,http://www.3dbrewing.com
"3 Sons Brewing Co.","236 N. Federal Highway",,Dania,FL,33004-2851,"(954) 601-3833",contract,
"7venth Sun Brewery","1012 Broadway",,Dunedin,FL,34698-5762,"(727) 773-3013",micro,http://www.7venthsun.com
"98 Brewing Company",,,Navarre,FL,32566,"(843) 324-4006",planning,http://www.98brewingcompany.com
"A1A Ale Works","1 King St Ste 101",,"St Augustine",FL,32084-4461,"(904) 829-2977",brewpub,http://www.craftworksrestaurants.com
"Aardwolf Brewing Company","1461 Hendricks Ave",,Jacksonville,FL,32207-8622,"(904) 301-0755",micro,http://www.aardwolfbrewing.com
"Abbey Brewing Co","1115 16th St",,"Miami Beach",FL,33139-2441,"(305) 538-8110",contract,
"Accomplice Brewing","1023 N Florida Mango Rd",,"West Palm Beach",FL,33409,"(561) 568-7242",micro,http://www.accomplicebrewing.com
"Agua Clara Brewery Inc",,"Miami, FL",,,,,planning,
"Alligator Brewing / Tall Paul's Brewhouse","10 SE 2nd Ave",,Gainesville,FL,32601-6232,"(352) 505-0990",micro,
"Americana Brewery",,,"Fort Lauderdale",FL,33328-1606,"(954) 476-8762",planning,
"Ancient City Brewing Co.","3420 Agricultural Center Dr. Ste 8",,"Saint Augustine",FL,32092-0690,"(904) 429-9654",micro,http://www.ancientcitybrewing.com/home
"Angry Chair Brewing, LLC.","6401 N Florida Ave",,Tampa,FL,33604-6007,"(813) 892-1651",micro,http://www.angrychairbrewing.com
"Anheuser-Busch Inc – Jacksonville","111 Busch Dr",,Jacksonville,FL,32218-5546,"(904) 751-0700",large,
"Bangin' Banjo Brewing Company","3200 NW 23rd Ave Ste 500",,"Pompano Beach",FL,33069-5909,,micro,
"Barley Mow Brewing Co","518 West Bay Dr",,Largo,FL,33770-3327,"(727) 584-7772",micro,http://www.barleymowbrewingco.com
"Barley Mow Brewing Co","521 Commerce Dr",,Largo,FL,33770-1834,"(727) 584-7772",micro,http://www.barleymowbrewingco.com
"Barrel of Monks Brewing","1141 S Rogers Cir Ste 5",,"Boca Raton",FL,33487-2789,,micro,http://www.barrelofmonks.com
"Bastet Brewpub","15409 Stonecreek Ln",,Tampa,FL,33613-1254,,brewpub,http://www.bastetbrewpub.com
"Beachside Brew Pub",,,"Ormond Beach",FL,32176-3630,"(386) 846-5143",planning,http://www.beachsidebrewpub.com
"Beer Religion",,,"Winter Park",FL,32792-5111,"(407) 242-9812",planning,http://www.beerreligion.com
"Big Bear Brewing Co","1800 N University Dr",,"Coral Springs",FL,33071-6031,"(954) 341-5545",brewpub,http://www.bigbearbrewingco.com
"Big River Grille & Brewing Works - Disney","2101 Epcot Resorts Blvd",,"Lake Buena Vista",FL,32830-8442,"(407) 560-0253",brewpub,http://www.craftworksrestaurants.com
"Big Storm Brewing Co.","2438 Merchant Ave Ste 103",,Odessa,FL,33556-3489,"(727) 807-7998",micro,http://www.bigstormbrewery.com
"Big Top Brewing Company","6111 Porter Way",,Sarasota,FL,34232-6224,,micro,http://www.bigtopbrewing.com
"Biscayne Bay Brewing Co","8000 NW 25th St Ste 500",,Miami,FL,33122-1631,,micro,
"Bog Brewing Company","218 West King St",,"Saint Augustine",FL,32084,"(904) 679-3146",micro,http://www.bogbrewery.com
"Bold City Brewery","2670 Rosselle St Ste 7",,Jacksonville,FL,32204-3004,"(904) 379-6551",micro,http://www.boldcitybrewery.com
"Bone Island Brewing","1111 Eaton St",,"Key West",FL,33040-6926,"(305) 304-3472",brewpub,http://www.boneislandbrewing.com
"Bowigens Beer Company","1014 State Rd 436",,Casselberry,FL,32707,"(407) 960-7816",micro,http://www.bowigens.com
"Brevard Ale Works",,,Rockledge,FL,32955-4739,,planning,http://www.brevardaleworks.com
"Brew Bus Brewing","4101 N Florida Ave",,Tampa,FL,33603-3817,"(813) 374-2101",micro,http://www.floridaavenuebrewing.com
"Brew Bus Brewing","4101 N Florida Ave",,Tampa,FL,33603-3817,"(813) 990-7310",micro,http://www.brewbususa.com
"Brew Hub, LLC","3900 S Frontage Rd Bldg 700",,Lakeland,FL,33815,"(636) 532-2700",micro,http://www.brewhub.com
"Brewers Tasting Room","11270 4th St N Ste 202",,"Saint Petersburg",FL,33716-2937,"(727) 873-3900",brewpub,http://www.brewerstastingroom.com
"Brewery in Planning - Bartow",,,"Bartow ",FL,33830,"(863) 533-2241",planning,
"Brewery In Planning - Dania",,,Dania,FL,33004-3935,,planning,
"Brewery In Planning - Gainesville",,,Gainesville,FL,32605,,planning,
"Brewery In Planning - Gainesville",,,Gainesville,FL,32601,,planning,
"Brewery In Planning - Gainesville",,,Gainesville,FL,32605,,planning,
"Brewery In Planning - Jupiter",,,Jupiter,FL,33458,,planning,
"Brewery In Planning - Lakeland",,"Lakeland, FL",,,,,planning,
"Brewery in Planning - Merritt Island",,,"Merritt Island",FL,32953,"(321) 759-8099",planning,
"Brewery in Planning - MErritt Island",,,"MErritt Island",FL,32953,"(954) 451-7747",planning,
"Brewery in Planning - Miami",,,Miami,FL,33157,,planning,
"Brewery In Planning - Miami",,,Miami,FL,33178-4842,,planning,
"Brewery In Planning - Miami",,"Miami, FL",,,,,planning,
"Brewery In Planning - Miami",,,Miami,FL,33143-1911,"(305) 799-9260",planning,http://rbsilar@sweetmercybrewing.com
"Brewery In Planning - Miami FL",,,"Miami Beach",FL,33141-6703,,planning,
"Brewery in Planning - Milton",,,Milton,FL,32583,"(850) 623-1296",planning,
"Brewery in Planning - n/a",,,n/a,FL,32607,,planning,
"Brewery In Planning - Naples",,,Naples,FL,34105,,planning,
"Brewery in Planning - Oviedo",,,Oviedo,FL,32765,"(407) 587-5400",planning,
"Brewery in Planning - Oviedo",,,Oviedo,FL,32766,"(407) 489-3474",planning,
"Brewery In Planning - Palm Harbor",,,"Palm Harbor",FL,34682,,planning,
"Brewery In Planning - Palm Harbor",,,"Palm Harbor",FL,34683-5643,,planning,
"Brewery in Planning - PALMETTO BAY",,,"PALMETTO BAY",FL,33158,"(305) 496-6115",planning,http://www.calle8brewingco.com
"Brewery In Planning - Pensacola",,"Pensacola, FL",,,,,planning,
"Brewery in Planning - Saint Petersburg",,,"Saint Petersburg",FL,33701,"(443) 223-8213",planning,
"Brewery In Planning - Sorrento",,,Sorrento,FL,32776,,planning,
"Brewery in Planning - st johns",,,"st johns",FL,32259,"(904) 514-0458",planning,
"Brewery in Planning - Tampa",,,Tampa,FL,33606,,planning,
"Brewery in Planning - Tampa",,,Tampa,FL,33605,"(347) 453-4389",planning,
"Brewery in Planning - Tampa",,,Tampa,FL,33629,,planning,
"Brewery In Planning - Vero Beach FL",,,"Vero Beach",FL,32960-0669,,planning,
"Brewery In Planning - V-Twin Brewing",,,"Saint Petersburg",FL,33705,,planning,
"Brewery In Planning - West Palm Beach, FL.",,,"West Palm Beach",FL,33405-4126,,planning,
"Brewery In Planning - Winter Haven",,"Winter Haven, FL",,,,,planning,
"Brewery In Planning - Winter Park",,,"Winter Park",FL,32792,,planning,
"Brewery In Planning- Brandon, FL.",,,Brandon,FL,33510-2829,,planning,
"Brewery In Planning- Cape Coral, FL.",,"Cape Coral, FL",,,,,planning,
"Brewery In Planning- Fernandina Beach, FL.",,,"Fernanadina Beach",FL,32034-4109,,planning,
"Brewery In Planning- Jacksonville, FL.",,,Jacksonville,FL,32207-7233,,planning,
"Brewery In Planning- Naples, FL.",,,Naples,FL,34105-6304,,planning,
"Brewery In Planning- Port Saint Joe, FL.",,"Port Saint Joe, FL",,,,,planning,
"Brewery In Planning- Sanford, FL.",,,Sanford,FL,32771-3528,,planning,
