name,address,city,state,zip,phone,type,url
"10 Barrel Brewing Co","830 W Bannock St",Boise,ID,83702-5857,"(541) 678-5228",large,http://www.10barrel.com
"Barbarian Brewing","5270 Chinden Blvd","Garden City",ID,83703,,micro,http://www.barbarianbrewing.com
"Bear Island Brewing Company","3880 N Payson Ave",Boise,ID,83704-4016,"(208) 908-2496",micro,http://www.bearislandbrewing.com
"Bella Brewing","4340 Chinden Blvd","Garden City",ID,83714,"(208) 629-5623",micro,http://www.bellabrewing.com
"Bertrams Salmon Valley Brewery","101 S Andrews St",Salmon,ID,83467-4246,"(208) 756-3391",brewpub,http://www.bertramsbrewery.com
"Blackbird Brewing Co",,,,,"(830) 581-8140",planning,
"Boise Brewing","521 W Broad St",Boise,ID,83702-7642,"(208) 342-7655",micro,http://www.boisebrewing.com
"Brewery in Planning - Boise",,Boise,ID,83706,"(208) 949-1540",planning,
"Brewery in Planning - Lewiston",,Lewiston,ID,83501,"(208) 746-1330",planning,http://www.jonessupply.com
"Brewery In Planning - Nampa",,Nampa,ID,83686,,planning,
"Broken Horn Brewing Company","201 Mission St",McCall,ID,83638-5095,"(208) 315-5772",micro,http://www.brokenhornbrewing.com
"Clairvoyant Brewing",,Boise,ID,83702-4628,"(208) 890-1247",planning,http://www.clairvoyantbrewing.com
"Cloud 9 Brewery","1750 W State St",Boise,ID,83702-3923,"(208) 336-0681",brewpub,http://www.cloud9brewery.com
"County Line Brewing","9115 W Chinden Blvd Ste 107","Garden City",ID,83714,"(208) 830-2456",micro,http://www.countylinebrewing.com
"Crescent Brewery","1521 Front St",Nampa,ID,83651-4331,"(208) 968-1034",micro,http://www.crescentbeer.com
"Crooked Fence Brewery","5242 W Chinden Blvd","Garden City",ID,83714-1457,"(208) 901-2090",micro,http://www.cfbrewing.blogspot.com
"Daft Badger Brewing","1710 North 2nd St","Coeur D Alene",ID,83814,"(208) 665-9892",brewpub,
"Downdraft Brewing Co","418 W Seltice Wy","Post Falls",ID,83854-7623,"(208) 262-4233",micro,http://www.downdraftbrewing.com
"Edge Brewing Company","525 N Steelhead Way",Boise,ID,83704-8374,"(208) 995-2979",brewpub,http://www.edgebrew.com
"Grand Teton Brewing Co","430 Old Jackson Hwy",Victor,ID,83455-5500,"(208) 538-0068",micro,http://www.grandtetonbrewing.com
"Highlands Hollow Brewhouse","2455 N Highlands Holw",Boise,ID,83702-0962,"(208) 343-6820",brewpub,http://www.highlandshollow.com
"Hunga Dunga Brewing",,Moscow,ID,83843,,planning,
"Idaho Brewing Co","775 S Capital Ave","Idaho Falls",ID,83402-3965,"(208) 589-7233",micro,http://www.idahobrewing.com
"Knothead Brewing",,Boise,ID,83703,,planning,http://www.knotheadbrewing.com
"Kootenai River Brewing Co","6424 Riverside St","Bonners Ferry",ID,83805,"(208) 267-4677",brewpub,http://www.kootenairiverbrewingcompany.com
"Laughing Dog Brewing","PO Box 1829",Sandpoint,ID,83864-0903,"(208) 263-9222",micro,http://www.laughingdogbrewing.com
"Leaky Faucet Brewing","434 Virginia Blvd",McCall,ID,83638,"(208) 271-6128",micro,
"Lost Grove Brewing",,Boise,ID,83703,,planning,
"Mad Bomber Brewing Company","9265 N Government Way",Hayden,ID,83835-8278,"(208) 762-7343",micro,http://www.madbomberbrewing.com
"Mad Swede Brewing",,,,,,planning,
"Magic Valley Brewing",,Buhl,ID,83316,"(208) 420-5919",planning,http://www.magicvalleybrewing.com
"McCall Brewing Co","807 N 3rd St",McCall,ID,83638-3806,"(208) 634-3309",brewpub,http://www.mccallbrew.com
"MickDuff's Brewing Co","312 N 1st Ave",Sandpoint,ID,83864-1404,"(208) 255-4351",brewpub,http://www.mickduffs.com
"MJ Barleyhoppers Brewery & Sports Pub","621 21st St",Lewiston,ID,83501-3285,"(208) 748-1050",brewpub,http://www.redlionlewiston.com/mj_barleyhoppers.htm
"Moscow Brewing Co, The","630 N Almon St Ste 130",Moscow,ID,83843-9701,"(208) 883-4237",micro,http://www.moscowbrewing.com
"North Idaho Mountain Brew / City Limits Pub","108 Nine Mile Rd",Wallace,ID,83873-5021,"(208) 556-1120",brewpub,
"Paragon Brewing","5785 N Government Wy","Coeur D Alene",ID,83815-7329,"(208) 772-9292",proprietor,http://www.paragonbrewing.com
"Payette Brewing Co","111 W 33rd St",Boise,ID,83714-6618,"(208) 344-0011",micro,http://www.payettebrewing.com
"Portneuf Valley Brewing Co","615 S 1st Ave",Pocatello,ID,83201-6557,"(208) 232-1644",brewpub,http://www.portneufvalleybrewing.com
"Post Falls Brewing","112 N Spokane St","Post Falls",ID,83854-7700,"(208) 773-7301",micro,http://www.postfallsbrewing.com
"PostModern Brewers","705 W Fulton St",Boise,ID,83702-7126,"(208) 342-0944",brewpub,http://www.grindmodernburger.com
"Powderhaus Brewing","9719 W Chinden Blvd","Garden City",ID,83714-2008,"(208) 954-0901",micro,http://www.powderhausbrewing.com
"RAM/Big Horn Brewery - Boise","709 E Park Blvd",Boise,ID,83712-7715,"(208) 345-2929",brewpub,http://www.theram.com
"Rants And Raves Brewery","308 North Jackson",Moscow,ID,83843,"(763) 218-7085",brewpub,http://rrbrew.pub
"River Bend Brewing","PO Box 3791",Ketchum,ID,83340-3791,"(208) 788-8087",micro,
"River of No Return Brewing Co","2551 Hotsprings Rd",Challis,ID,83226-4959,"(208) 879-7667",brewpub,
"Salmon River Brewery","411 Railroad Ave",McCall,ID,83638-4132,"(208) 634-4772",brewpub,http://www.salmonriverbrewery.com
"Sawtooth Brewery","600 N Main St, Unit #A-120",Ketchum,ID,83340-4243,"(208) 450-9324",micro,http://www.sawtoothbrewery.com
"Selkirk Abbey Brewing","6180 E Seltice Way Ste 102","Post Falls",ID,83854-5052,"(208) 292-4901",micro,http://www.selkirkabbey.com
"Slanted Rock Brewing Co","2374 E Cinema Dr Ste 100",Meridian,ID,83642-5080,"(208) 288-2192",micro,http://www.slantedrock.com
"Slate Creek Brewing Co","1710 N 4th St Ste 115","Coeur D Alene",ID,83814-6000,"(208) 664-7727",micro,http://www.slatecreekbrewing.com
"Snow Eagle Brewing","455 River Pkwy","Idaho Falls",ID,83402-3314,"(208) 557-0455",micro,http://www.snoweaglebrewing.com
"Sockeye Brewing Co","3019 N Cole Rd",Boise,ID,83704-5919,"(208) 658-1533",micro,http://www.sockyebrew.com
"Sockeye Brewing Co","12542 W Fairview Ave",Boise,ID,83713-0026,"(208) 322-5200",brewpub,http://www.sockeyebrew.com
"Star Craft Brewing LLC",,Eagle,ID,83616,"(208) 794-9655",planning,http://www.starcraftbrewing.com
"Summit Ridge Brewing Company",,Boise,ID,83709,"(208) 572-0320",planning,http://www.summitridgebrewery.com
"Sun Valley Brewing Co","202 N Main St",Hailey,ID,83333-8413,"(208) 788-5777",brewpub,
"Trestle Brewing Company","413 Main St",Ferdinand,ID,83526,"(208) 962-7233",brewpub,http://www.trestlebrewing.com
"Trickster's Brewing Company","3850 N Schreiber Way","Coeur D Alene",ID,83815-8362,"(970) 764-7128",micro,http://www.trickstersbrewing.com
"Von Scheidt Brewing Co","157 2nd Ave","Twin Falls",ID,83301,"(208) 733-2131",brewpub,http://www.vonscheidtbrewing.com
"Wallace Brewing Co","610 Bank St",Wallace,ID,83873-2227,"(208) 660-3430",micro,http://www.wallacebrewing.com
"Warfield Distillery and Brewery","280 N. Main St. Box 2759",Ketchum,ID,83340-2759,"(208) 726-2739",micro,http://www.warfielddistillery.com
"Wildlife Brewing","PO Box 869",Victor,ID,83455-0869,"(208) 787-2623",brewpub,
"Wolftrack Brewing Company","505 King St",Cottonwood,ID,83522-5066,"(208) 507-1187",micro,
"Woodland Empire Ale Craft","1114 W Front St",Boise,ID,83702-6951,"(208) 602-9318",micro,http://www.woodlandempire.com
