name,address1,address2,city,state,zip,phone,type,url
"10 Barrel Brewing Co","830 W Bannock St",,Boise,ID,83702-5857,"(541) 678-5228",,http://www.10barrel.com
"2C Family Brewing Co.",,,Nampa,ID,83651-3957,"(208) 995-4802",,
"Barbarian Brewing","5270 W Chinden Blvd",,"Garden City",ID,83714-1457,"(208) 387-2739",,http://www.barbarianbrewing.com
"Bear Island Brewing Company","3880 N Payson Ave",,Boise,ID,83704-4016,"(208) 908-2496",,http://www.bearislandbrewing.com
"Bella Brewing","4340 W Chinden Blvd",,"Garden City",ID,83714-4866,"(208) 629-5623",,http://www.bellabrewing.com
"Bertrams Salmon Valley Brewery","101 S Andrews St",,Salmon,ID,83467-4246,"(208) 756-3391",,http://www.bertramsbrewery.com
"Boise Brewing","521 W Broad St",,Boise,ID,83702-7642,"(208) 342-7655",,http://www.boisebrewing.com
"Bombastic Brewing",,,Hayden,ID,83835,,,http://www.bombasticbrewing.com
"Brewery in Planning - Ketchum",,,Ketchum,ID,83340-2657,,,
"Brewery in Planning - Lewiston",,,Lewiston,ID,83501-1807,"(208) 746-1330",,http://www.jonessupply.com
"Broken Horn Brewing Company","201 Mission St",,McCall,ID,83638-,"(208) 315-5772",,http://www.brokenhornbrewing.com
"Clairvoyant Brewing","2800 W Idaho St",,Boise,ID,83702-4628,"(208) 996-0095",,http://www.clairvoyantbrewing.com
"Cloud 9 Brewery","1750 W State St",,Boise,ID,83702-3923,"(208) 336-0681",,http://www.cloud9brewery.com
"Coeur D\'Alene Racing",,,"Post Falls",ID,83854-6812,,,
"County Line Brewing","9115 W Chinden Blvd Ste 107",,"Garden City",ID,83714-1903,"(208) 830-2456",,http://www.countylinebrewing.com
"Crescent Brewery","1521 Front St",,Nampa,ID,83651-4331,"(208) 968-1034",,http://www.crescentbeer.com
"Crooked Fence Brewing","5220 N SAWYER AVE Suite A",,"GARDEN CITY",ID,83714,"(208) 949-6130",,http://www.crookedfencebrewing.com
"Daft Badger Brewing","1710 N 2nd St",,"Coeur D Alene",ID,83814-3403,"(208) 665-9892",,
"Downdraft Brewing Co","418 W Seltice Way",,"Post Falls",ID,83854-,"(208) 262-4233",,http://www.downdraftbrewing.com
"Edge Brewing Company","525 N Steelhead Way",,Boise,ID,83704-8374,"(208) 995-2979",,http://www.edgebrew.com
"Grand Teton Brewing Co","430 Old Jackson Hwy",,Victor,ID,83455-5500,,,
