name,address1,address2,city,state,zip,phone,type,url
"18th Street Brewery","5725 Miller Ave",,Gary,IN,46403-2871,,micro,http://www.18thstreetbrewery.com
"18th Street Brewery","5417 Oakley Ave",,Hammond,IN,46320-1817,,micro,
"450 North Brewing Company @ Simmons Winery","8111 E 450 N",,Columbus,IN,47203-8106,"(812) 546-0091",brewpub,http://www.450northbrewing.com
"Auburn Brewing Company",,,"Auburn ",IN,46706,"(260) 908-1074",planning,
"Back Alley Brewing Co","211 S Main St",,Goshen,IN,46526-3722,"(574) 370-4049",micro,
"Back Road Brewery","308 Perry St",,"La Porte",IN,46350-3216,"(219) 362-7623",micro,http://www.backroadbrewery.com
"Backstep Brewing Company","125 N Green St",,Crawfordsville,IN,47933-1708,"(765) 230-2337",micro,http://www.backstepbrewingcompany.com
"Bad Dad Brewery","407 W. Washington St. Ste. C",,Fairmount,IN,46928,"(765) 499-0941",micro,http://www.baddadbrewery.com
"Bare Hands Brewery","12801 Sandy Ct",,Granger,IN,46530-4309,"(574) 277-2258",micro,http://www.barehandsbrewbrewery.com
"Barley Island Brewing Co","639 Conner St",,Noblesville,IN,46060-2532,"(317) 770-5280",brewpub,http://www.barleyisland.com
"Basket Case Brewing Co","1340 Mill St",,Jasper,IN,47546-2310,"(812) 482-4345",brewpub,http://www.basketcasebeer.com
"Bier Brewery and Taproom","5133 E 65th St",,Indianapolis,IN,46220-4816,"(317) 696-0200",micro,http://www.bierbrewery.com
"Big Leaf Brewing","1320 Durkees Ferry Rd",,"West Terre Haute",IN,47885-9626,"(812) 281-2187",micro,
"Big Lug Canteen","1435 E 86th St",,Indianapolis,IN,46240-1911,,brewpub,
"Big Woods Brewery","PO Box 100",,Nashville,IN,47448-0100,"(813) 988-6000",brewpub,http://www.bigwoodsbeer.com
"Birdboy Brewing Co","210 E Collins Rd",,"Fort Wayne",IN,46825-5304,"(260) 579-5508",micro,http://www.birdboybrewing.com
"Black Acre Brewing Co","5632 E Washington St",,Indianapolis,IN,46219-6428,"(317) 797-3316",brewpub,http://www.blackacrebrewing.com
