name,address,city,state,zip,phone,type,url
"515 Brewing Co","7700 University Ave",Clive,IA,50325-1271,"(515) 999-0419",micro,http://www.515brewing.com
"Albia Brewing Co","11 Benton Ave E",Albia,IA,52531-2032,"(641) 932-4085",brewpub,http://www.albiabrewingcompany.blogspot.com
"Alluvial Brewing Company","3715 West 190th St",Ames,IA,50014-9316,"(515) 337-1182",micro,http://www.alluvialbrewing.com
"Angry Cedar Brewing Co","730 Technology Pl Ste C",Waverly,IA,50677-4387,"(319) 961-8162",micro,http://www.angrycedar.com
"Another Road Brewing","1175 8th Ave",Marion,IA,52302-3503,"(319) 212-8563",micro,http://www.anotherroadbrewing.com
"Appanoose Rapids Brewing Co","332 E Main St",Ottumwa,IA,52501-3041,"(641) 684-4008",brewpub,http://www.appanooserapidsbrewingcompany.com/
"Backpocket Brewing Co","903 Quarry Rd",Coralville,IA,52241-2208,"(319) 466-4444",micro,http://www.backpocketbrewing.com
"Beck's Sports Brewery","3295 University Ave",Waterloo,IA,50701-2003,"(319) 234-4333",brewpub,http://www.barmuda.com/becks
"Big Grove Brewery","101 W Main St",Solon,IA,52333-9500,"(319) 624-2337",brewpub,http://www.biggrovebrewery.com
"Black Hollow Brewing",,,,,,planning,http://www.thekevinhall.wix.com/blackhollowbrewing
"Blue Mountain Lodge","814 Lincoln Pl SE","Orange City",IA,51041-1858,"(712) 737-3553",contract,
"Boone Valley Brewing Co","816 7th St",Boone,IA,50036-2818,"(515) 432-1232",micro,http://www.boonevalleybrewing.com
"Brewery In Planning - Cedar Falls",,"Cedar Falls",IA,50613,,planning,
"Brewery In Planning - Lake Charles",,,,,,planning,
"Brewery In Planning - Paha Hills Inc",,"Iowa City",IA,52240-3044,,planning,
"Brewery In Planning - Shelby",,Shelby,IA,51570,,planning,
"Brewery In Planning- Iowa City, IA.",,,,,,planning,
"Brewery In Planning- Lake Charles, IA.",,,,,,planning,
"Brick Street Brewing Company","506 Walker St Ste B",Woodbine,IA,51579-1229,"(712) 592-1894",micro,http://www.brickstreetbrewing.com
"Broad Street Brewing Company","113 Broad St",Reinbeck,IA,50669-1013,"(319) 350-0749",micro,http://www.broadstreetbrewing.com
"CIB Brewery (Chefs In Black)","121 Broadway St",Carson,IA,51525-4412,"(515) 450-2981",micro,
"Confluence Brewing Co","1235 Thomas Beck Rd # STE # A","Des Moines",IA,50315-1055,"(515) 285-9005",micro,http://www.confluencebrewing.com
"Contrary Brewing","411 W. Mississippi Dr.",Muscatine,IA,52761-3150,"(563) 299-7894",micro,http://www.contrarybrewing.com
"Court Avenue Brewing Co","309 Court Ave Ste 100","Des Moines",IA,50309-2230,"(515) 282-2739",brewpub,http://www.courtavebrew.com
"Deb's Brewtopia","106 Cedar St",Elkader,IA,52043,"(563) 245-3737",micro,http://www.debsbrewtopia.com
"Depot Deli and Lounge","101 N Railroad St",Shenandoah,IA,51601-1158,"(712) 246-4444",brewpub,http://www.depotdeli.com
"Dubuque Star Brands","132 Sheridan St",Muscatine,IA,52761-5543,,contract,
"Exile Brewing","1514 Walnut St","Des Moines",IA,50309-3420,"(515) 883-2337",brewpub,http://www.exilebrewing.com
"Firetrucker Brewery","716 SW 3rd St",Ankeny,IA,50023-2615,"(515) 964-1284",micro,http://www.firetrucker.com
"Flix Brewhouse","3800 Merle Hay","Des Moines",IA,50310-1305,"(512) 244-2739",brewpub,
"Fox Brewing","103 S 11th St","West Des Moines",IA,50265-4410,"(515) 635-0323",micro,http://www.foxbrewco.com
"Franklin Street Brewing Company","116 S Franklin St",Manchester,IA,52057-2121,"(563) 927-2722",micro,http://www.franklinstreetbrewing.com
"Front Street Brewery - IA","208 E River Dr",Davenport,IA,52801-1609,"(563) 322-1569",brewpub,http://www.frontstreetbrew.com
"Granite City Food & Brewery (#4)","12801 University Ave",Clive,IA,50325-8219,"(515) 224-1300",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#5)","4755 1st Ave SE","Cedar Rapids",IA,52402-3211,"(319) 395-7500",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#6)","5270 Utica Ridge Rd",Davenport,IA,52807-3872,"(563) 344-9700",brewpub,http://www.gcfb.net
"Granite City Food & Wort House","PO Box 278",Ellsworth,IA,50075-0278,"(515) 836-4060",micro,http://www.gcfb.net
"Great River Brewery","332 E 2nd St",Davenport,IA,52801-1702,"(319) 541-5160",micro,http://www.greatriverbrewery.com
"Green Tree Brewery","309 N. Cody Rd","Le Claire",IA,52753-9220,"(563) 729-1164",micro,http://www.greentreebrewery.com
"Iowa Brewing",,,,,,planning,
"Iowa River Brewing Company","107 N 1st St",Marshalltown,IA,50158-5803,"(641) 751-2848",micro,http://www.iowariverbrewing.com
"Jackson Street Brewing","607 5th Street","Sioux City",IA,51101-1301,"(712) 574-8403",micro,
"Jubeck New World Brewing","115 W 11th St.",Dubuque,IA,52001-4802,"(775) 375-5692",micro,http://www.jubeckbrewing.com
"Kalona Brewing Company","405 B Ave",Kalona,IA,52247-7719,"(319) 430-6222",brewpub,http://www.kalonabrewing.com
"Keg Creek Brewing Company","111 Sharp St",Glenwood,IA,51534-1755,"(712) 520-9029",micro,http://www.kegcreekbrewing.com
"Lake Time Brewery","801 Main Ave Ste C","Clear Lake",IA,50428-1919,"(641) 357-2040",micro,http://www.laketimebrewery.com
"Lion Bridge Brewing Company","59 16th Ave SW","Cedar Rapids",IA,52404-5948,"(319) 200-4460",micro,http://www.lionbridgebrewing.com
"Lost Duck Brewing Co.","723 Avenue H # 725","Fort Madison",IA,52627-2935,"(319) 372-8255",brewpub,http://www.duckbrewing.com
"Madhouse Brewing Co","300 Walnut St Unit 87","Des Moines",IA,50309-2241,"(916) 501-7014",micro,http://www.madhousebeer.com
"Mason City Brewing","28 E State St","Mason City",IA,50401-3318,"(641) 423-1000",micro,http://www.masoncitybrewing.com
"Millstream Brewing Co","PO Box 284/835 48th Ave",Amana,IA,52203-0284,"(319) 622-3672",micro,http://www.millstreambrewing.com
"New American Brewing Company","1460 NE 69th Pl Ste 67",Ankeny,IA,50021-8934,"(515) 250-8703",micro,http://www.newamericanbeer.com
"Number 7 Brewing","302 SW Maple St",Ankeny,IA,50023-2915,"(515) 964-5240",brewpub,http://www.number7brewing.com
"Okoboji Brewing Co","3705 Highway 71","Spirit Lake",IA,51360-7196,"(712) 330-3363",contract,http://www.brewokoboji.com
"Old Man River Brewing","123 A St","Mc Gregor",IA,52157-7702,"(563) 873-1999",brewpub,http://www.oldmanriverbrewery.com
"Olde Main Brewing Co & Restaurant","PO Box 1928",Ames,IA,50010-1928,"(515) 232-7687",brewpub,http://www.oldemainbrewing.com/
"Peace Tree Brewing Company","107 W Main St",Knoxville,IA,50138-2528,"(641) 842-2739",micro,http://www.peacetreebrewing.com
"Pulpit Rock Brewing Co.","209 College Dr.",Decorah,IA,52101-1304,"(952) 797-6577",micro,http://www.pulpitrockbrewing.com
"Quarter Barrel Arcade & Brewery",,"Cedar Rapids",IA,52401-1306,,planning,http://www.thequarterbarrel.com
"Raccoon River Brewing Co","200 10th St","Des Moines",IA,50309-3609,"(515) 362-5222",brewpub,http://www.raccoonbrew.com
"Reclaimed Rails Brewing Company",,Bondurant,IA,50035-7722,"(515) 202-3716",planning,http://www.reclaimedrailsbrewing.com
"Red's Alehouse",,"North Liberty",IA,52317-9781,"(319) 626-2100",planning,http://www.redsalehousenl.com
"Rock Bottom Brewery - Des Moines","4508 University Ave","West Des Moines",IA,50266-1025,"(515) 267-8900",brewpub,http://www.rockbottom.com
"Single Speed Brewing Co","128 Main St","Cedar Falls",IA,50613-2644,"(319) 266-3581",micro,http://www.singlespeedbrewing.com
"Slew City Brewing",,"Cedar Rapids",IA,52401,,planning,
"Third Base Brewery","500 Blairs Ferry Rd NE Ste 2","Cedar Rapids",IA,52402-1466,"(319) 378-9090",brewpub,http://www.3rdbasebrewery.com
"Toppling Goliath Brewing Co","PO Box 477",Decorah,IA,52101-0477,"(563) 382-6198",micro,http://www.tgbrews.com
"Torrent Brewing Co","504 Burnett Ave",Ames,IA,50010-6178,,micro,http://www.torrentbrewingco.com
"Turner Alley Brewing Company","2715 12th St SW","Cedar Rapids",IA,52404-3435,"(319) 383-4651",micro,http://www.turneralleybrewing.com
"Twisted Vine Brewery","3021 Saint Charles Rd","Saint Charles",IA,50240-8516,"(641) 396-2220",micro,http://www.twistedvinebrewery.com
"Van Houzen Brewing","435 Koser Ave","Iowa City",IA,52246-3040,,micro,http://www.vhbrewing.com
"V's Restaurant and Brewpub",,Keokuk,IA,52632-2227,,planning,
"West O Beer","503 Terrace Park Blvd","West Okoboji",IA,51351-7300,"(712) 332-8090",micro,http://www.westobeer.com
"Worth Brewing Co","826 Central Ave",Northwood,IA,50459-1520,"(641) 324-9899",micro,http://www.worthbrewing.com
