name,address1,address2,city,state,zip,phone,type,url
"515 Brewing Co","7700 University Ave",,Clive,IA,50325-1271,"(515) 661-4615",micro,http://www.515brewing.com
"7 Hills Brewing Company","1085 Washington St",,Dubuque,IA,52001-4932,"(563) 587-8306",brewpub,http://www.7hillsbrew.com
"Albia Brewing Co","11 Benton Ave E",,Albia,IA,52531-2032,"(641) 932-4085",brewpub,http://www.albiabrewingcompany.blogspot.com
"Alluvial Brewing Company","3715 W 190th St",,Ames,IA,50014-9316,515337118,micro,http://www.alluvialbrewing.com
"Backpocket Brewing Co","903 Quarry Rd",,Coralville,IA,52241-2208,"(319) 449-3700",micro,http://www.backpocketbrewing.com
"BackRoad Brewery","140 N 1st St",,Carlisle,IA,50047,"(515) 210-2096",micro,http://www.backroadbeer.com
"Barn Town Brewing Co.","9500 University Ave",,"West Des Moines",IA,50266-1888,"(515) 978-6767",brewpub,
"Bent River Brewing Co","500 Jefferson St",,Burlington,IA,52601,"(319) 209-2773",brewpub,http://www.burlingtonbentriver.com
"Big Grove Brewery","1225 S Gilbert St",,"Iowa City",IA,52240-4507,"(319) 594-1891",micro,http://www.biggrovebrewery.com
"Big Grove Brewery & Tap Room","1225 S Gilbert St",,"Iowa City",IA,52240-4507,"(319) 624-2337",brewpub,
"Big Rack Brew Haus","2475 Hiatt Apple Trl",,Winterset,IA,50273-8113,,micro,http://www.bigrackbrewhaus.com
"Boone Valley Brewing Co","816 7th St",,Boone,IA,50036-2818,"(515) 432-1232",micro,http://www.boonevalleybrewing.com
"Broad Street Brewing Company","114 Randall St",,Reinbeck,IA,50669-1249,"(319) 350-0749",micro,http://www.broadstreetbrewing.com
"Carroll Brewing Co.","226 E 5th St",,Carroll,IA,51401-2743,"(515) 709-0030",micro,http://www.carrollbrewing.com
"Catfish Charlies / Catfish Creek Brew Pub","1630 E 16th St",,Dubuque,IA,52001-2306,"(563) 582-8600",brewpub,http://www.catfishcharliesdubuque.com
"Confluence Brewing Co","1235 Thomas Beck Rd Ste A",,"Des Moines",IA,50315-1055,"(515) 285-9005",micro,http://www.confluencebrewing.com
"Contrary Brewing Co","411 W Mississippi Dr",,Muscatine,IA,52761-3150,"(563) 299-7894",micro,http://www.contrarybrewing.com
"Court Avenue Brewing Co","309 Court Ave Ste 100",,"Des Moines",IA,50309-2230,"(515) 282-2739",brewpub,http://www.courtavebrew.com
"Deb's Brewtopia","106 Cedar St",,Elkader,IA,52043,"(563) 245-3737",micro,http://www.debsbrewtopia.com
"Depot Deli and Lounge","101 N Railroad St",,Shenandoah,IA,51601-1158,"(712) 246-4444",brewpub,http://www.depotdeli.com
"Dimensional Brewing Co.",,,Dubuque,IA,52001,,planning,http://www.dimensionalbrewing.com
"Drink Me Brewing","210 9th Street",,Sibley,IA,51249,"(512) 468-3946",micro,http://www.drinkmebrewing.com
"Dubuque Star Brands / Otter Tail Brewery","132 Sheridan St",,Muscatine,IA,52761-5543,,contract,
"Exile Brewing","1514 Walnut St",,"Des Moines",IA,50309-3420,"(515) 883-2337",micro,http://www.exilebrewing.com
"Fat Hill Brewing","17 N Federal Ave",,"Mason City",IA,50401-3250,"(952) 412-6272",micro,http://fathillbrewing.com
"Fenceline Beer Lab",,,Huxley,IA,50124-9311,,planning,
"Fenders Brewing Company","212 W Van Dorn St",,"Polk City",IA,50226-2297,,micro,http://fendersbrewing.com
"Firetrucker Brewery","716 SW 3rd St",,Ankeny,IA,50023-2615,"(515) 964-1284",micro,http://www.firetrucker.com
"Five Cities Brewing","2255 Falcon Ave",,Bettendorf,IA,52722,"(563) 232-6105",micro,http://www.fivecitiesbrewing.com
"Flix Brewhouse","3800 Merle Hay Rd",,"Des Moines",IA,50310-1305,"(512) 244-2739",brewpub,
"Fox Brewing","103 S 11th St",,"West Des Moines",IA,50265-4410,"(515) 635-0323",micro,http://www.foxbrewco.com
"Franklin Street Brewing Company","116 S Franklin St",,Manchester,IA,52057-2121,"(563) 927-2722",micro,http://www.franklinstreetbrewing.com
"Front Street Brewery - IA","208 E River Dr",,Davenport,IA,52801-1609,"(563) 322-1569",brewpub,http://www.frontstreetbrew.com
"Granite City Food & Brewery (#4)","12801 University Ave",,Clive,IA,50325-8219,"(515) 224-1300",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#5)","4755 1st Ave SE",,"Cedar Rapids",IA,52402-3211,"(319) 395-7500",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#6)","5270 Utica Ridge Rd",,Davenport,IA,52807-3872,"(563) 344-9700",brewpub,http://www.gcfb.net
"Granite City Food & Wort House","PO Box 278",,Ellsworth,IA,50075-0278,"(515) 836-4060",micro,http://www.gcfb.net
"Great River Brewery","332 E 2nd St",,Davenport,IA,52801-1702,"(319) 541-5160",micro,http://www.greatriverbrewery.com
"Green Tree Brewery","309 N Cody Road",,"Le Claire",IA,52753,,micro,
"Iowa Brewing","708 3rd St SE",,"Cedar Rapids",IA,52401-2012,"(319) 366-2337",micro,http://www.iowabrewing.beer
"Iowa River Brewing Company","107 N 1st St",,Marshalltown,IA,50158-5803,"(641) 751-2848",micro,http://www.iowariverbrewing.com
"Jackson Street Brewing","607 5th St",,"Sioux City",IA,51101-1301,"(712) 574-8403",micro,
"Jubeck New World Brewing","115 W 11th St",,Dubuque,IA,52001-4802,"(775) 375-5692",micro,http://www.jubeckbrewing.com
"Kalona Brewing Company","PO Box 818",,Kalona,IA,52247-0818,"(319) 656-3335",brewpub,http://www.kalonabrewing.com
"Keg Creek Brewing Company","111 Sharp St",,Glenwood,IA,51534-1755,"(712) 520-9029",micro,http://www.kegcreekbrewing.com
"Lake Time Brewery","801 Main Ave Ste C",,"Clear Lake",IA,50428-1919,"(641) 357-2040",micro,http://www.laketimebrewery.com
"Lion Bridge Brewing Company","59 16th Ave SW",,"Cedar Rapids",IA,52404-5948,"(319) 200-4460",brewpub,http://www.lionbridgebrewing.com
