name,address,city,state,zip,phone,type,url
"23rd Street Brewery","3512 Clinton Pkwy",Lawrence,KS,66047-2145,"(785) 856-2337",brewpub,http://www.brew23.com
"Big John's Brewing Company","2445 S 9th Street",Salina,KS,67401-7624,"(785) 404-3228",micro,http://www.bigjohnsbrewingco.com
"Blind Tiger Brewery & Restaurant","417 SW 37th St",Topeka,KS,66611-2354,"(785) 267-2739",brewpub,http://www.blindtiger.com
"Blue Skye Brewery & Eats","116 N Santa Fe Ave",Salina,KS,67401-2616,"(785) 404-2159",brewpub,http://www.blueskyebrewery.com
"Brew Lab",,"Overland Park",KS,66204-3613,,planning,http://www.brewlabkc.com
"Brewery In Planning - Goodland",,Goodland,KS,67735-8766,,planning,
"Brewery In Planning - Hutchinson",,Hutchinson,KS,67502,,planning,
"Brewery In Planning - Tecumseh",,Tecumseh,KS,66542,,planning,
"Central Standard Brewing","156 S. Greenwood",Wichita,KS,67211-1815,"(316) 260-8515",micro,http://www.centralstandardbrewing.com
"Defiance Brewing Co.","2050 E. HW 40",Hays,KS,67601-9310,"(785) 301-2337",micro,http://www.defiancebeer.com
"Free State Brewing Co","636 Massachusetts St",Lawrence,KS,66044-2236,"(785) 843-4555",brewpub,http://www.freestatebrewing.com
"Free State Brewing Co - Production","1923 Moodie Rd.",Lawrence,KS,66046-3167,,micro,
"Gella's Diner & Liquid Bread Brewing Co","117 E 11th St",Hays,KS,67601-3603,"(785) 621-2739",brewpub,http://www.lbbrewing.com
"Gordon Biersch Brewery Restaurant -Leawood","11652 Ash Street Lot 10 Park Place",Leawood,KS,66211,"(913) 451-2739",brewpub,
"Granite City Food & Brewery (#12)","1701 Village West Pkwy","Kansas City",KS,66111-1879,"(913) 334-2255",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#13)","15085 W 119th St",Olathe,KS,66062-9628,"(913) 829-6060",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#14)","2661 Noth Maize","West Wichita",KS,67205,"(316) 721-8500",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#9)","2244 N Webb Rd",Wichita,KS,67226-8102,"(316) 636-5050",brewpub,http://www.gcfb.net
"Grinder’s High Noon","206 Choctaw St",Leavenworth,KS,66048-2821,"(913) 682-4876",brewpub,http://www.thehighnoon.com
"Hank Is Wiser Brewery","213 N Main St PO Box 400",Cheney,KS,67025-9730,"(316) 542-0113",brewpub,http://www.hankiswiserbrewery.com
"Hopping Gnome Brewing Company","1710 E. Douglas",Wichita,KS,67214-4212,,micro,http://www.hoppinggnome.com
"INBREWCO LLC Aeroplanes Brewing DBA",,Wichita,KS,67218,,planning,http://aeroplanesbrewing.com
"Kansas Territory Brewing","310 C St.",Washington,KS,66968-1909,"(785) 325-3300",micro,
"Little Apple Brewing Co","1110 Westloop Pl",Manhattan,KS,66502-2838,"(785) 539-5500",brewpub,http://www.littleapplebrewery.com
"Radius Brewing Company","610 Merchant St",Emporia,KS,66801-2859,"(620) 208-4677",brewpub,http://www.radiusbrewing.com
"River City Brewing Co","150 N Mosley St",Wichita,KS,67202-2804,"(316) 263-2739",brewpub,http://rivercitybrewingco.com
"Tallgrass Brewing Co","5960 Dry Hop Circle",Manhattan,KS,66503,"(785) 537-1131",micro,http://www.tallgrassbeer.com
"Tallgrass Taphouse","320 Poyntz Ave",Manhattan,KS,66502-6038,"(785) 320-2933",brewpub,http://www.tallgrasstaphouse.com
"Three Rings Brewery",,,,,,planning,
"Walnut River Brewing Company","111 W Locust Ave","El Dorado",KS,67042-3513,"(316) 351-8086",micro,http://www.walnutriverbrewing.com
"White Baer Brewing Company",,Topeka,KS,66608-2044,"(785) 969-4228",planning,http://www.whitebaerbrewing.com
"Wichita Brewing Co & Pizzeria","535 N Woodlawn St",Wichita,KS,67208-3668,"(316) 440-4885",brewpub,http://www.wichitabrew.com
"Wichita Brewing Co & Pizzeria","8815 W 13th St N Ste 100",Wichita,KS,67212-4072,"(316) 210-1641",brewpub,http://www.wichitabrew.com
"Willcott Brewing Company",,Holton,KS,66436,,planning,
