name,address,city,state,zip,phone,type,url
"Against the Grain Brewery","401 E Main St",Louisville,KY,40202-1110,"(502) 515-0174",micro,http://www.atgbrewery.com
"Akasha Brewing Company","909 E Market St Suite 700",Louisville,KY,40206-1688,"(502) 742-7770",micro,http://www.akashabrewing.com
"Alltech's Lexington Brewing & Distilling Co","475 Angliana Ave.",Lexington,KY,40508,"(859) 887-3406",regional,http://www.kentuckyale.com
"Apocalypse Brew Works","1612 Mellwood Ave",Louisville,KY,40206-1752,"(502) 589-4843",micro,http://www.apocalypsebrewworks.com
"Beer Engine","107 Larrimore Ln",Danville,KY,40422-1674,,micro,http://www.kybeerengine.com
"Blue Stallion Brewing Company","610 W Third St",Lexington,KY,40508-1243,"(877) 928-2337",micro,http://www.bluestallionbrewing.com
"Bluegrass Brewing Co - Arena","300 W Main St",Louisville,KY,40202-2945,"(502) 562-0007",brewpub,http://www.bbcbrew.com
"Bluegrass Brewing Co - Brewpub","3929 Shelbyville Rd",Louisville,KY,40207-3120,"(502) 899-7070",brewpub,http://www.bbcbrew.com
"Braxton Brewing Company","27 W 7th Street",Covington,KY,41011-2301,859615600,micro,http://www.braxtonbrewing.com
"Brewery In Planning - Louisville",,Louisville,KY,40223,,planning,
"Brewery in Planning - Louisville",,Louisville,KY,40291,"(502) 231-0169",planning,
"Brewery in Planning - None",,None,KY,40348,,planning,
"Brewery in Planning - Waynesburg",,Waynesburg,KY,40489,"(606) 365-7671",planning,
"Brewery in Planning - Winchester",,Winchester,KY,40391,"(859) 749-9474",planning,
"Brewery in Planning - Winchester","207 Bracken Ct",Winchester,KY,40391,"(859) 779-3875",,http://www.yahoo.com
"Brewery In Planning- Louisville, KY.",,Louisville,KY,40223-2774,,planning,
"Country Boy Brewing","436 Chair Ave",Lexington,KY,40508-3106,,micro,http://www.countryboybrewing.com
"Cumberland Brewery","1576 Bardstown Rd",Louisville,KY,40205-1154,"(502) 459-4706",brewpub,
"Dry Ground Brewing Company","3121 Broadway St",Paducah,KY,42001-4305,"(270) 201-2096",micro,http://www.drygroundbrewing.com
"Ei8ht Ball Brewing","95 Riviera Dr",Bellevue,KY,41073-1337,"(859) 291-4007",micro,http://www.ei8htballbrewing.com
"Ethereal Brewing","1224 Manchester St Ste 120",Lexington,KY,40504,"(859) 309-1254",micro,http://www.etherealbrew.com
"Falls City Brewing Company","116 S 10th St",Louisville,KY,40202-2612,"(502) 540-5650",micro,http://www.fallscitybeer.com
"Flywheel Brewing Company",,Elizabethtown,KY,42701,"(270) 765-3610",planning,
"Goodwood Brewing Co","636 E Main St",Louisville,KY,40202-1004,"(502) 584-2739",micro,http://www.bluegrassbrew.com
"Gordon Biersch Brewery Restaurant - Louisville","400 S 4th St",Louisville,KY,40202-3418,"(502) 589-8935",brewpub,http://www.gordonbiersch.com/restaurant
"Gravely Brewing Co.",,"Louisville ",KY,40204,"(307) 413-5119",planning,
"Great Flood Brewing","2120 Bardstown Rd",Louisville,KY,40205-1916,"(502) 457-7711",micro,http://www.greatfloodbrewing.com
"Hofbrauhaus Newport","200 E 3rd St",Newport,KY,41071-1612,"(859) 491-7200",brewpub,http://www.hofbrauhausnewport.com
"Hopkinsville Brewing Company",,Hopkinsville,KY,42240,,planning,
"Jarfly Brewing Co",,Somerset,KY,42501,,planning,http://www.jarflybrewing.com
"Kentucky Crossroads",,Elizabethtown,KY,42701,,planning,
"Lemons Mill Brewery","1467 Warwick Rd.",Harrodsburg,KY,40330-8768,,micro,http://www.lemonsmillbrewery.com
"Life Brewpub",,Lexington,KY,40509,"(859) 266-5433",planning,http://lifebrewpub.com
"Monnik Beer Company",,Louisville,KY,40217-1206,,planning,
"Paducah Beer Werks","301 N 4th St",Paducah,KY,42001-0753,,brewpub,http://www.paducahbeerwerks.com
"Rooster Brewing","609 Main Street",Paris,KY,40361-1816,"(859) 707-3436",micro,
"Sterling Beer Co.","3214 Preston Hwy",Louisville,KY,40213-1330,,contract,http://www.sterlingbeer.com
"West Sixth Brewing Co","501 W Sixth St",Lexington,KY,40508-1341,"(859) 951-6006",micro,http://www.westsixth.com
"White Squirrel Brewery","871 Broadway Ave","Bowling Green",KY,42101-2571,"(270) 904-1573",brewpub,http://www.whitesquirrelbrewery.com
"Wiedemann Brewing Co, LLC",,Newport,KY,41071-1841,,planning,http://www.wiedemannbeer.com
"Wooden Cask Brewing Company",,Newport,KY,41071,"(859) 445-4292",planning,
