name,address1,address2,city,state,zip,phone,type,url
"3rd Turn Brewing","10408 Watterson Trl",,Louisville,KY,40299-3702,,micro,http://www.3rdturnbrewing.com
"Against the Grain Brewery","401 E Main St",,Louisville,KY,40202-1110,"(502) 515-0174",micro,http://atgbrewery.com
"Akasha Brewing Company","909 E Market St Ste 700",,Louisville,KY,40206-1688,"(502) 742-7770",micro,http://www.akashabrewing.com
"Alltech's Lexington Brewing","475 Angliana Ave",,Lexington,KY,40508-3134,"(859) 255-2337",regional,http://kentuckyale.com
"Apocalypse Brew Works","1612 Mellwood Ave",,Louisville,KY,40206-1752,"(502) 589-4843",micro,http://www.apocalypsebrewworks.com
"Beer Engine","107 Larrimore Ln",,Danville,KY,40422-1674,,micro,http://www.kybeerengine.com
"Blue Stallion Brewing Company","610 W Third St",,Lexington,KY,40508-1243,"(859) 608-8490",micro,http://www.bluestallionbrewing.com
"Bluegrass Brewing Co - Arena","300 W Main St",,Louisville,KY,40202-2945,"(502) 562-0007",brewpub,http://www.bbcbrew.com
"Bluegrass Brewing Co - Brewpub","300 W MAIN ST",,LOUISVILLE,KY,402022945,"(502) 899-7070",brewpub,http://www.bbcbrew.com
"Braxton Brewing Company","27 W 7th St",,Covington,KY,41011-2301,859615600,micro,http://www.braxtonbrewing.com
"Braxton Labs","95 Riveria Dr.",,Bellevue,KY,41073,859615600,micro,
"Brewery in Planning - Augusta",,,Augusta,KY,41002,"(513) 274-7494",planning,
"Brewery in Planning - Cincinnati",,,Alexandria,KY,41001,"(859) 694-6999",planning,http://www.alexandriabrewingcompany.com
"Brewery in Planning - Louisville",,,Louisville,KY,40204,,planning,
"Brewery in Planning - Olive Hill",,,"Olive Hill",KY,41164,,planning,
"Country Boy Brewing","436 Chair Ave",,Lexington,KY,40508-3106,,micro,http://www.countryboybrewing.com
"Cumberland Brewery","1576 Bardstown Rd",,Louisville,KY,40205-1154,"(502) 459-4706",brewpub,
"Darkness Brewing","224 Fairfield Ave",,Bellevue,KY,41073-1041,,micro,
"Dreaming Creek Brewery",,,Richmond,KY,40476,,planning,http://www.dreamingcreekbrewery.beer
"Dry Ground Brewing Company","3121 Broadway St",,Paducah,KY,42001-4305,"(270) 210-9296",micro,http://www.drygroundbrewing.com
"Ethereal Brewing","2372 Woodfield Cir",,Lexington,KY,40515-1202,"(859) 221-0862",micro,http://www.etherealbrew.com
"Falls City Brewing Company","116 S 10th St",,Louisville,KY,40202-2612,"(502) 257-7284",micro,http://www.fallscitybeer.com
"Flywheel Brewing Company",,,Elizabethtown,KY,42701-1431,"(270) 765-3610",planning,http://www.flywheelbrewing.com
"Goodwood Brewing Co","636 E Main St",,Louisville,KY,40202-1004,"(502) 584-2739",micro,http://www.goodwood.beer
"Gordon Biersch Brewery Restaurant - Louisville","400 S 4th St",,Louisville,KY,40202-3418,"(502) 589-8935",brewpub,http://www.gordonbiersch.com/restaurant
"Gravely Brewing Co.","514 Baxter Ave",,Louisville,KY,40204-1104,"(502) 822-3202",micro,http://www.gravelybrewing.com
"Great Flood Brewing","2120 Bardstown Rd",,Louisville,KY,40205-1916,"(502) 457-7711",micro,http://www.greatfloodbrewing.com
"Hofbrauhaus Newport","200 E 3rd St",,Newport,KY,41071-1612,"(859) 491-7200",brewpub,http://www.hofbrauhausnewport.com
"Holsopple Brewing","8023 Catherine Ln",,Louisville,KY,40222-4793,"(502) 708-1902",micro,http://www.holsopplebrewing.com
"Hopkinsville Brewing Company","102 E 5th St",,Hopkinsville,KY,42240-3306,,micro,http://www.hopkinsvillebrewingcompany.com
"Jarfly Brewing Co","103 W Mount Vernon St",,Somerset,KY,42501-1627,"(606) 425-4962",micro,http://www.jarflybrewing.com
"Lemons Mill Brewery","166 Marimon Ave",,Harrodsburg,KY,40330-1311,"(859) 265-0872",micro,http://www.lemonsmillbrewery.com
"Life Brewpub","2628 Richmond Rd",,Lexington,KY,40509-1501,"(859) 266-5433",brewpub,http://lifebrewpub.com
"Maiden City Brewing Company, LLC","123 E. Pike St",,Cynthiana,KY,41031,"(859) 954-5151",micro,http://www.maidencitybrewing.com
"Mash Cult Brewing","6823 Burlington Pike",,Florence,KY,41042-1616,,micro,
"Mile Wide Beer Co.","636 Barret Ave",,Louisville,KY,40204,,micro,http://www.milewidebeer.com
"Mirror Twin Brewing","725 National Ave",,Lexington,KY,40502-1431,"(859) 447-8146",brewpub,http://www.mirrortwinbrewing.com
"Monnik Beer Company","1036 E Burnett Ave",,Louisville,KY,40217-1206,"(502) 742-6564",brewpub,
"Old Louisville Brewery","625 W Magnolia Ave",,Louisville,KY,40208-2239,"(502) 498-5434",micro,http://www.oldlouisvillebrewery.com
"Paducah Beer Werks","301 N 4th St",,Paducah,KY,42001-0753,,brewpub,http://www.paducahbeerwerks.com
"Rock House Brewing","119 Luigart Court",,Lexington,KY,40508,"(859) 368-7064",micro,http://www.rockhousebrewing.com
"Rooster Brewing","609 Main St",,Paris,KY,40361-1816,"(859) 707-3436",micro,http://www.roosterbrew.com
"Sterling Beer Co.","3214 Preston Hwy",,Louisville,KY,40213-1330,,contract,http://www.sterlingbeer.com
"West Sixth Brewing Co","501 W Sixth St",,Lexington,KY,40508-1341,"(859) 705-0915",micro,http://www.westsixth.com
"White Squirrel Brewery","871 Broadway Ave",,"Bowling Green",KY,42101-2571,"(270) 904-1573",brewpub,http://www.whitesquirrelbrewery.com
"Wiedemann Brewing Co, LLC","530 York St",,Newport,KY,41071-1841,,contract,http://www.wiedemannbeer.com
"Wooden Cask Brewing Company","629 York St",,Newport,KY,41071-1815,"(859) 261-2172",micro,http://www.woodencask.com
