name,address,city,state,zip,phone,type,url
"Airline Brewing Company","22 Mill Lane",Amherst,ME,04605,"(936) 827-6689",micro,http://tbd
"Allagash Brewing Co","50 Industrial Way",Portland,ME,04103-1270,"(207) 878-5385",regional,http://www.allagash.com
"Andrews Brewing Co","353 High St",Lincolnville,ME,04849-5846,"(207) 763-3305",micro,
"Atlantic Brewing Co","15 Knox Rd","Bar Harbor",ME,04609-7770,"(207) 288-2337",micro,http://www.atlanticbrewing.com
"Atlantic Brewing Co / Bar Harbor Brewing","8 Mount Desert St","Bar Harbor",ME,04609-1717,"(207) 288-4592",micro,http://www.barharborbrewing.com
"Austin Street Brewery","1 Industrial Way Ste 8",Portland,ME,04103-1072,"(207) 831-6387",micro,http://www.austinstreetbrewery.com
"Bag and Kettle, The","19 Village West","Carrabassett Valley",ME,04947,"(207) 237-2451",brewpub,http://www.thebagandkettle.com
"Banded Horn Brewery","32 Main St Bldg 13-W",Biddeford,ME,04005-5173,,micro,http://www.bandedhorn.com
"Baxter Brewing Co, LLC","PO Box 603",Auburn,ME,04212-0603,"(207) 333-6769",micro,http://www.baxterbrewing.com
"Belfast Bay Brewing Co","100 Searsport Ave",Belfast,ME,04915-7221,"(207) 338-4216",contract,http://www.belfastbaybrewing.com
"Bigelow Brewing Company","473 Bigelow Hill Rd",Skowhegan,ME,04976-5126,"(207) 399-6262",micro,http://www.bigelowbrewing.com
"Bissell Brothers Brewing","1 Industrial Way Ste 3",Portland,ME,04103-1072,"(207) 423-3622",micro,http://www.bissellbrothers.com
"Black Bear Brewery","19 Mill St Ste 4",Orono,ME,04473-4095,"(207) 889-9123",micro,http://www.blackbearmicrobrew.com
"Blank Canvas Brewery","71 Center St",Brewer,ME,04412-2603,,micro,http://www.blankcanvasbrewery.wordpress.com
"Boothbay Craft Brewery, Inc","301 Adams Pond Rd",Boothbay,ME,04537-4334,"(217) 633-3411",micro,http://www.boothbayresort.com
"Brays Brewing Co, Inc","678 Roosevelt Trl",Naples,ME,04055-5335,"(207) 693-6806",brewpub,http://www.braysbrewpub.com
"Brewery In Planning - Pittsfield",,Pittsfield,ME,04967-5811,,planning,
"Brewery in Planning - Portland",,Portland,ME,04101,,planning,
"Brewery in Planning - Rockland",,Rockland,ME,04841,"(207) 462-8599",planning,
"Brewery in Planning - South Portland",,"South Portland",ME,04106,"(207) 330-0283",planning,
"Brewery In Planning - West Bath",,"North Haven",ME,04853,"(207) 867-2003",planning,http://www.northhavenbrewing.com
"Bunker Brewing Co","122 Anderson St",Portland,ME,04101-2546,"(207) 450-5014",micro,
"D.L. Geary Brewing Co Inc.","38 Evergreen Dr",Portland,ME,04103-1066,"(207) 878-2337",regional,http://www.gearybrewing.com
"Deep Water Brewing At the Vinery","33 Tenney Hl","Blue Hill",ME,04614-5948,"(207) 374-2411",micro,http://www.arbovine.com
"Dirigo Brewing Co.",,Biddeford,ME,04005-2057,"(207) 604-8663",planning,http://www.dirigobrewingcompany.com
"Drumming Grouse Brewery, LLC",,bridgton,ME,04009,"(410) 960-9679",planning,
"Foulmouthed Brewing",,"South Portland",ME,04106,"(207) 619-1196",planning,http://www.foulmouthedbrewing.com
"Foundation Brewing Company","1 Industrial Way Ste 5",Portland,ME,04103-1072,"(207) 370-8187",micro,http://www.foundationbrew.com
"Friar's Brewhouse","21 Central St",Bangor,ME,04401-5105,"(207) 947-3770",micro,
"Funky Bow Brewery & Beer Company","21 Ledgewood Ln",Lyman,ME,04002-7376,"(888) 456-2345",micro,http://www.funkybowbeercompany.com
"Geaghan Brothers Brewing Co","34 Abbott St.",Brewer,ME,04412,"(207) 945-3730",micro,http://www.geaghanspub.com
"Geaghan's Pub & Craft Brewery","570 Main St",Bangor,ME,04401-6821,"(207) 945-3730",brewpub,http://www.geaghanspub.com
"Gneiss Brewing","94 Patterson Rd",Limerick,ME,04048-4242,,micro,http://www.gneissbeer.com
"Gritty McDuffs - Freeport","PO Box 328",Freeport,ME,04032-0328,"(207) 865-4321",brewpub,http://www.grittys.com
"Gritty McDuffs - Lewiston/Auburn","68 Main St",Auburn,ME,04210-5812,"(207) 376-2739",brewpub,
