name,address1,address2,city,state,zip,phone,type,url
"2 Feet Brewing Company","80 Columbia St",,Bangor,ME,04401-6319,"(207) 573-1979",brewpub,http://www.2feetbrewing.com
"Airline Brewing Company","22 Mill Ln",,Amherst,ME,04428,"(207) 584-2337",micro,http://www.abcmaine.beer
"Allagash Brewing Co","50 Industrial Way",,Portland,ME,04103-1270,"(207) 878-5385",regional,http://www.allagash.com
"Andrews Brewing Co","353 High St",,Lincolnville,ME,04849-5846,"(207) 763-3305",micro,
"Atlantic Brewing Co","15 Knox Rd",,"Bar Harbor",ME,04609-7770,"(207) 288-2337",micro,http://atlanticbrewing.com
"Atlantic Brewing Co / Bar Harbor Brewing","52 Cottage Street Bar Harbor",,"Bar Harbor",ME,04609,"(207) 288-4592",brewpub,http://www.barharborbrewing.com
"Austin Street Brewery","1 Industrial Way Ste 8",,Portland,ME,04103-1072,"(207) 200-1994",micro,http://www.austinstreetbrewery.com
"Austin Street Brewery","115 Fox St",,Portland,ME,04101,,micro,
"Bag and Kettle, The","9000 Main St Apt 21",,"Carrabassett Valley",ME,04947-6808,"(207) 237-2451",brewpub,http://www.thebagandkettle.com
"Banded Brewing Company","32 Main St. Bldg 13-W Ste 102",,Biddeford,ME,04005-5145,"(207) 602-1561",micro,http://www.bandedhorn.com
"Bangor Beer Co.","330 Bangor Mall Blvd",,Bangor,ME,04401-3644,"(207) 947-6605",brewpub,http://www.bangorbeerco.com
"Barreled Souls Brewing Company LLC","743 Portland Rd",,Saco,ME,04072-9005,"(207) 602-6439",micro,http://www.barreledsouls.com
"Bath Ale Works",,,Bath,ME,04530,"(410) 279-5396",planning,http://www.bathaleworks.com
"Bath Brewing Company","141 Front St",,Bath,ME,04530,"(207) 560-3389",brewpub,http://www.bathbrewing.com
"Battery Steele Brewing","1 Industrial Way Ste 12",,Portland,ME,04103-1072,,micro,http://www.batterysteele.com
"Baxter Brewing Co, LLC","130 Mill St",,Lewiston,ME,04240-7774,"(207) 333-6769",regional,http://www.baxterbrewing.com
"Bear Bones Beer","2 Cottage St Ste 1",,Bridgton,ME,04009-1137,"(207) 647-8000",micro,
"Bear Bones Beer","43 Lisbon St",,Lewiston,ME,04240-7115,"(207) 200-1324",micro,http://www.bearbonesbeer.com
"Belfast Bay Brewing Co","100 Searsport Ave",,Belfast,ME,04915-7221,"(207) 460-8654",contract,http://www.belfastbaybrewing.com
"Bigelow Brewing Company","473 Bigelow Hill Rd",,Skowhegan,ME,04976-5126,"(207) 399-6262",brewpub,http://www.bigelowbrewing.com
"Birchwood Brewing Co","19 Portland rd",,Gray,ME,04039,"(207) 657-4593",micro,http://birchwoodbrewingco.com
"Bissell Brothers Brewing","4 Thompsons Pt Ste 108",,Portland,ME,04102-2639,"(207) 423-3622",micro,http://www.bissellbrothers.com
"Bissell Brothers Three Rivers","157 Elm St",,Milo,ME,04463,"(207) 808-8258",micro,
"Black Bear Brewery","19 Mill St Ste 4",,Orono,ME,04473-4095,"(207) 889-9123",micro,http://www.blackbearmicrobrew.com
"Black Pug Brewing","30 Bath Rd",,Brunswick,ME,04011,"(207) 272-5356",micro,
"Blank Canvas Brewery","46 Betton St Ste 3",,Brewer,ME,04412-2636,,micro,http://www.blankcanvasbrewery.wordpress.com
"Boothbay Craft Brewery, Inc","301 Adams Pond Rd",,Boothbay,ME,04537-4334,"(207) 633-3411",micro,http://www.boothbaycraftbrewery.com
"Brewery Extrava",,,Portland,ME,04101,"(508) 304-5567",planning,http://www.breweryextrava.com
"Brickyard Hollow Brewing Co","236 Main St",,Yarmouth,ME,04096,"(207) 847-0411",brewpub,http://www.brickyardhollow.com
"Bunker Brewing Co","17 Westfield St Unit D",,Portland,ME,04102-2730,"(207) 450-5014",micro,http://www.bunkerbrewingco.com
"Corner Point Brewing Company","1 Sullivan St PO Box 1342",,Berwick,ME,03901,"(207) 651-4594",micro,
"Cushnoc Brewing Company","243 Water St",,Augusta,ME,04330-4615,"(207) 213-6332",brewpub,http://www.cushnocbrewing.com
"D.L. Geary Brewing Co Inc.","38 Evergreen Dr",,Portland,ME,04103-1066,"(207) 878-2337",micro,http://www.gearybrewing.com
"DeepWater Brewing Company","33 Tenney Hl",,"Blue Hill",ME,04614,"(207) 374-2411",micro,http://www.arborvine.com
"Definitive Brewing Company","35 Industrial Way",,Portland,ME,04103-1071,"(207) 536-1288",micro,http://www.definitivebrewing.com
"Dirigo Brewing Co.","28 Pearl St",,Biddeford,ME,04005-2040,"(207) 838-5321",micro,http://www.dirigobrewingcompany.com
"Drumming Grouse Brewery, LLC","318 Fosterville Rd",,Bridgton,ME,04009-4032,"(410) 960-9679",micro,http://www.drumminggrousebrewery.com
"First Mile Brewing Company","28 Market St Ste 103",,"Fort Kent",ME,04743,,micro,
