name,address,city,state,zip,phone,type,url
"3cross Brewing Company",,Worcester,MA,01602,,micro,
"50 Back Brewing Co","5 Village Rd",Pepperell,MA,01463-1182,"(978) 265-1610",contract,http://www.50back.com
"Abandoned Building Brewery","142 Pleasant Street Unit 103A",Easthampton,MA,01027-2805,"(413) 282-7062",micro,http://www.abandonedbuildingbrewery.com
"Aeronaut Brewing Company","14 Tyler St",Somerville,MA,02143-3224,"(617) 718-0602",micro,http://www.aeronautbrewing.com
"Amherst Brewing Co","10 University Dr",Amherst,MA,01002-2243,"(413) 253-4400",brewpub,http://www.amherstbrewing.com
"Backlash Beer Co",,Boston,MA,2215,,contract,http://backlashbeer.com/
"Bad Martha Farmer's Brewery","270 Upper Main St",Edgartown,MA,02539-5932,"(508) 939-4415",brewpub,http://www.badmarthabeer.com
"Barnstable Brewing",,Hyannis,MA,02601-3644,,planning,
"Barrington Brewery and Restaurant","420 Stockbridge Rd Ste 7","Great Barrington",MA,01230-9512,"(413) 528-8282",brewpub,http://www.barringtonbrewery.net
"Battle Road Brewing Co",,,,,,contract,http://www.battleroadbeer.com
"Bay State Brewing Company",,Leicester,MA,1524,,planning,http://www.baystatebeer.com
"Bentley Brewing",,Southbridge,MA,01550-1994,"(508) 981-8672",planning,
"Berkley Beer Company",,Berkley,MA,02779,,micro,http://www.berkleybeer.com
"Berkshire Brewing Co Inc","PO Box 251","South Deerfield",MA,01373-0251,"(413) 665-6600",regional,http://www.berkshirebrewingcompany.com
"Big Elm Brewing","65 Silver St",Sheffield,MA,01257-9626,"(413) 229-2348",micro,http://www.bigelmbrewery.com
"BLATANT Beer","PO Box 147",Bondsville,MA,01009-0147,"(508) 746-2674",brewpub,
"Blue Hills Brewery","1020 Turnpike St Ste 3B",Canton,MA,02021-2823,,micro,http://www.bluehillsbrewery.com
"Bog Iron Brewing Co","33 W Main St Unit F",Norton,MA,02766-2711,,micro,http://www.bogironbrewing.com
"Boston Beer Co","1 Design Center Pl Ste 850",Boston,MA,02210-2300,"(617) 368-5000",regional,http://www.samadams.com
"Boston Beer Co","30 Germania St Ste 1",Boston,MA,02130-2312,"(617) 368-5000",micro,http://www.samueladams.com
