name,address1,address2,city,state,zip,phone,type,url
"10th District Brewing Company","491 Washington St",,Abington,MA,02351,,micro,http://www.10thdistrictbrewing.com
"3cross Brewing Company","26 Cambridge St.",,Worcester,MA,01603-2343,,micro,http://www.3crossbrewing.com
"50 Back Brewing Co","5 Village Rd",,Pepperell,MA,01463-1182,"(978) 265-1610",contract,http://www.50back.com
"Abandoned Building Brewery","142 Pleasant Street Unit 103A",,Easthampton,MA,01027-2805,"(413) 282-7062",micro,http://www.abandonedbuildingbrewery.com
"Aeronaut Brewing Company","14 Tyler St",,Somerville,MA,02143-3224,"(617) 987-4236",micro,http://www.aeronautbrewing.com
"Altruist Brewing Company",,,Fiskdale,MA,01518,,planning,http://www.altruistbrewing.com
"Amherst Brewing Co","10 University Dr",,Amherst,MA,01002-2243,"(413) 253-4400",brewpub,http://www.amherstbrewing.com
"Appalachian Brewing Co - Mechanicsburg","6462 Carlisle Pike",,Mechanicsburg,MA,17050,"(717) 795-4660",brewpub,http://www.abcbrew.com
"Backlash Beer Co",,,Boston,MA,2215,,contract,http://backlashbeer.com/
"Bad Martha Farmer's Brewery","270 Upper Main St",,Edgartown,MA,02539-5932,"(508) 939-4415",brewpub,http://www.badmarthabeer.com
"Barnstable Brewing",,,Hyannis,MA,02601-3644,,planning,
"Barrel House Z","95 Woodrock Rd",,Weymouth,MA,02189,"(339) 201-7888",brewpub,http://www.barrelhousez.net
"Barrington Brewery and Restaurant","420 Stockbridge Rd Ste 7",,"Great Barrington",MA,01230-9512,"(413) 528-8282",brewpub,http://www.barringtonbrewery.net
"Battle Road Brewing Co",,"Ipswich, MA",,,,,contract,http://www.battleroadbeer.com
"Bay State Brewing Company",,,Leicester,MA,1524,,planning,http://www.baystatebeer.com
"Bent Water Brewing","180 Commercial St. Unit 18",,Lynn,MA,01905,"(781) 608-0425",micro,http://bentwaterbrewing.com
"Bent Water Brewing Company","180 Commerical St. UNit 18",,Lynn,MA,01905-2910,,micro,
"Bentley Brewing","12 Crane St",,Southbridge,MA,01550-1994,"(508) 981-8672",micro,http://www.bentleybrewing.com/
"Berkley Beer Company",,,Berkley,MA,02779,,micro,http://www.berkleybeer.com
"Berkshire Brewing Co Inc","PO Box 251",,"South Deerfield",MA,01373-0251,"(413) 665-6600",regional,http://www.berkshirebrewingcompany.com
"Big Elm Brewing","65 Silver St",,Sheffield,MA,01257-9626,"(413) 229-2348",micro,http://www.bigelmbrewery.com
"BLATANT Beer","PO Box 147",,Bondsville,MA,01009-0147,"(508) 746-2674",contract,
"Blue Hills Brewery","1020 Turnpike St Ste 3B",,Canton,MA,02021-2823,,micro,http://www.bluehillsbrewery.com
"Bog Iron Brewing Co","33 West Main St",,Norton,MA,02766,"(508) 952-0555",micro,http://bogironbrewing.com
"Bone Up Brewing Co.","38 Norman St.",,Everett,MA,02149,"(781) 691-9092",micro,http://www.boneup.beer
"Boston Beer Co","1 Design Center Pl Ste 850",,Boston,MA,02210-2300,"(617) 368-5000",micro,
"Boston Beer Co","30 Germania St Ste 1",,Boston,MA,02130-2312,"(617) 368-5000",micro,http://www.samueladams.com
"Boston Beer Co","1 Design Center Pl Ste 850",,Boston,MA,02210-2300,"(617) 368-5000",regional,http://www.samadams.com
"Brazo Fuerte Artisanal Beer","15 Main Street, Ste 125",,Watertown,MA,02472-1330,"(617) 600-8140",proprietor,http://www.brazofuertebeer.com
"Brew Practitioners, LLC.","36 Main St",,Florence,MA,01062,"(413) 584-2444",micro,http://www.brewpractitioners.com
"Brewery in Planning - Allston",,,Allston,MA,02134,,planning,
"Brewery in Planning - Arlington",,,Arlington,MA,02474,"(508) 330-7131",planning,
"Brewery In Planning - Barre",,,Petersham,MA,01366,,planning,
"Brewery in Planning - Belmont",,,Belmont,MA,02478,,planning,
"Brewery in Planning - Boston",,,Boston,MA,02163,,planning,
"Brewery in Planning - Boston",,,Boston,MA,02163,"(484) 888-2240",planning,http://www.ajdulik.com
"Brewery In Planning - Boylston",,"Boylston, MA",,,,,planning,
"Brewery in Planning - Brookline",,,Brookline,MA,02446,,planning,
"Brewery In Planning - Cape Cod",,,Mashpee,MA,02649-3636,,planning,
"Brewery in Planning - Concord",,"Concord, MA",,,,,planning,http://na
"Brewery In Planning - Easthampton",,,Easthampton,MA,01027-2207,,planning,
"Brewery In Planning - Gloucester",,,Gloucester,MA,01930-2803,,planning,
"Brewery in Planning - holyoke",,,holyoke,MA,01040,,planning,
"Brewery In Planning - Maynard MA",,,Maynard,MA,01754-1708,,planning,http://amorystomb.com
"Brewery In Planning - Newton",,,Newton,MA,02465-2825,,planning,
"Brewery in Planning - Oakham",,,Oakham,MA,01068,"(978) 660-7368",planning,
"Brewery In Planning - Orleans",,,Orleans,MA,02653,,planning,
"Brewery in Planning - Palmer",,,"Palmer ",MA,01069,"(413) 244-0954",planning,
"Brewery In Planning - Petersham",,,Petersham,MA,1366,,planning,
"Brewery In Planning - Raynham",,,Raynham,MA,02767-1198,,planning,
"Brewery In Planning - Somerville, MA",,,Somerville,MA,02144-2690,,planning,
"Brewery In Planning - Stockbridge",,,Stockbridge,MA,01262-1202,"(413) 475-2342",planning,
"Brewery In Planning - Stow",,,Stow,MA,01775-0683,,planning,
"Brewery In Planning - Watertown",,,Watertown,MA,02472-4845,,planning,
"Brewery in Planning - Wayland",,,Wayland,MA,01778,,planning,
"Brewery in Planning - Westford",,,Westford,MA,01886,"(978) 413-4467",planning,
"Brewery In Planning - Westwood",,,Westwood,MA,02090-3024,,planning,
"Brewery in Planning - woods hole",,,"woods hole",MA,02543,,planning,
"Brewery In Planning- Arlington, MA.",,"Arlington, MA",,,,,planning,
"Brewery In Planning- South Hadley, MA.",,"South Hadley, MA",,,,,planning,
"Brewmaster Jack",,"Northampton, MA",,,,"(413) 367-7190",contract,http://www.brewmasterjack.com
"Brewmasters Tavern","4 Main St",,Williamsburg,MA,01096-9428,"(413) 268-7741",brewpub,http://www.thebrewmasterstavern.com
"Bright Ideas Brewing","111 MASS MoCA Way",,"North Adams",MA,01247,"(413) 346-4460",micro,http://www.brightideasbrewing.com
"Building 8 Brewing","320 Riverside Dr, Building 8",,Florence,MA,01062-2750,"(413) 250-1602",micro,
"Buzzards Bay Brewing Co","98 Horseneck Rd",,Westport,MA,02790-1328,"(508) 636-2288",micro,http://www.buzzardsbrew.com
"Cambridge Brewing Co","1 Kendall Sq Ste B1102",,Cambridge,MA,02139-1592,"(617) 494-1994",brewpub,http://www.cambridgebrewingcompany.com
"Cape Ann Brewing Co","11 Rogers St",,Gloucester,MA,01930-5014,"(978) 282-7399",micro,
"Cape Cod Beer","1336 Phinneys Ln Ste 2-2",,Hyannis,MA,02601-1875,"(508) 790-4200",micro,http://www.capecodbeer.com
"Castle Island Brewing Co.","31 Astor Ave",,Norwood,MA,02127-2324,"(781) 951-2029",micro,http://www.castleislandbeer.com
"Center Harbor Brewing Company",,,Boston,MA,06880,"(203) 858-7128",planning,
"Cisco Brewers","5 Bartlett Farm Rd.",,Nantucket,MA,02554-4341,"(508) 325-5929",micro,http://www.ciscobrewers.com
"Clown Shoes Beers","141 Middlesex Turnpike",,Burlington,MA,01803-4421,"(781) 365-1137",contract,http://www.clownshoesbeer.com
"Cold Harbor Brewing Company","108 Milk St Ste 6",,Westborough,MA,01581,"(508) 870-3133",micro,http://www.coldharborbrewing.com
"CraftRoots Brewing, LLC.","482 E. Main Street",,Milford,MA,01757-2816,"(508) 662-4871",micro,http://www.craftrootsbrewing.com
"Devil's Purse Brewing Co","120 Great Western Rd.",,"South Dennis",MA,02660-3715,"(508) 694-7171",micro,http://www.devilspurse.com
"Dorchester Brewing Company","1250 Massachusetts Avenue",,Boston,MA,02125-1608,"(617) 514-0900",micro,http://www.dorchesterbrewing.com
"Down the Road Beer Co","56 Woodcliff Rd",,"Newton Highlands",MA,02461,,contract,
"Element Brewing Co","30 Bridge St",,"Millers Falls",MA,01349-1334,"(413) 835-6340",micro,http://www.elementbeer.com
"Exhibit 'A' Brewing Co.",,,Framingham,MA,01702,,planning,http://www.exhibit-a-brewing.com
"Five Till We\'re Outta Beer",,,Lexington,MA,02420,"(781) 859-8524",planning,http://www.fivetillwereouttabeer.com
"Flying Dreams Brewing Co.","455B Park Ave",,Worcester,MA,01610,"(508) 926-8251",micro,http://www.flyingdreamsbrewing.com
"Fort Hill Brewery","30 Fort Hill Rd",,Easthampton,MA,01027-1268,"(413) 203-5754",micro,http://www.forthillbrewery.com
"Franklin Brewing Company, LLC",,,Franklin,MA,02038-2968,"(508) 561-6277",planning,http://www.franklin-brewing.com
"Gardner Ale House","74 Parker St",,Gardner,MA,01440-3809,"(978) 669-0122",brewpub,http://www.gardnerale.com
"Glass Bottom Brewery","480 Pleasant St.",,Lee,MA,01238-9265,"(413) 243-6170",micro,http://www.glassbottombrewery.org
"Goat Creek Brewing",,,Northampton,MA,01062,,planning,http://www.goatcreek
"Goat Creek Brewing",,,Northampton,MA,0162,"(413) 244-2066",planning,http://goatcreekbrewing.com
"Goodfellow's Brewing Co.","8 Race Course Rd",,Lakeville,MA,02347-1826,,micro,http://www.goodfellowsbrewing.com
"Granite Coast Brewing Company",,,Marblehead,MA,01945,,planning,http://www.granitecoastbrewing.com
"Granite Coast Brewing Company",,,marblehead,MA,01945,,planning,http://granitecoastbrewing.com
"Harpoon Brewery","306 Northern Ave Ste 2",,Boston,MA,02210-2367,"(617) 574-9551",regional,http://www.harpoonbrewery.com
"High & Mighty Brewing Co","PO Box 486",,Belchertown,MA,01007-0486,"(413) 323-7790",contract,http://www.highandmightybrewing.com
