name,address,city,state,zip,phone,type,url
"127 Brewing","3090 Shirley Dr",Jackson,MI,49201-7010,"(517) 258-1346",micro,
"51 North Brewing Co","51 N Broadway St","Lake Orion",MI,48362-3125,"(248) 690-7367",brewpub,http://www.51northbrewing.com
"57 Brew Pub & Bistro","1310 W Washington St",Greenville,MI,48838-2190,"(616) 712-6226",brewpub,http://www.57brewpub.com
"Aberrant Ales",,Howell,MI,48843-5202,,planning,http://www.aberrantales.com
"Albion Malleable Brewing Company",,Albion,MI,49224,,planning,
"Amercian Harvest Brewpub At Schoolcraft College",,Livonia,MI,48152,"(734) 462-7659",planning,http://www.schoolcraft.edu
"American Badass Beer","Corktown 1401 Abbot St.",Detroit,MI,48216,,contract,http://www.americanbadassbeer.com
"Arbor Brewing Co","114 E Washington St","Ann Arbor",MI,48104-1905,"(734) 213-1393",brewpub,http://www.arborbrewing.com
"Arbor Brewing Co. Microbrewery","720 Norris St",Ypsilanti,MI,48198-2825,"(734) 480-2739",micro,
"Arcadia Brewing Co","701 E Michigan Ave",Kalamazoo,MI,49007-4946,"(269) 276-0440",micro,http://www.arcadiaales.com
"Arcadia Brewing Co","701 E Michigan Ave",Kalamazoo,MI,49007-4946,"(269) 963-9690",micro,http://www.arcadiaales.com
"Arclight Brewing Company","544 N. Main St",Watervliet,MI,49098-9797,"(269) 332-0718",micro,http://www.arclightbrewing.com
"Artisan Reserve, Inc.",,Romulus,MI,48174,"(313) 318-1293",planning,http://www.artisanreservebrewery.com
"Ascension Brewing Company","42000 Grand River Ave",Novi,MI,48375-1831,"(248) 308-2093",brewpub,http://www.ascension.beer
"Atwater Brewing Co","237 Joseph Campau St",Detroit,MI,48207-4107,"(313) 877-9205",regional,http://www.atwaterbeer.com
"Atwater In the Park Biergarten and Tap House","1175 Lakepointe St","Grosse Pointe",MI,48230-1319,"(313) 877-9205",brewpub,http://www.atwaterbeer.com
