name,address1,address2,city,state,zip,phone,type,url
"127 Brewing","3090 Shirley Dr",,Jackson,MI,49201-7010,"(517) 258-1346",micro,
"5 Lakes Brewing Co.","1638 142nd Ave",,Dorr,MI,49323-9312,"(616) 359-9555",brewpub,http://www.5lakesbrewing.com
"51st State Brewing Company","115 Harding Ave",,Kingsford,MI,49802-3815,"(906) 828-2167",brewpub,http://www.51ststatebrewingcompany.com
"734 Brewing Company","15 E Cross St",,Ypsilanti,MI,48198,"(734) 649-6453",micro,
"Aberrant Ales","219 W Grand River Ave",,Howell,MI,48843,"(517) 518-8699",brewpub,http://www.aberrantales.com
"Abner's Restaurant Inc / Northern Michigan Beer","7528 N Woodbridge (M37)",,Brohman,MI,49312,"(231) 689-2295",brewpub,
"Albion Malleable Brewing Company","420 S Superior St",,Albion,MI,49224,"(517) 343-2202",brewpub,http://www.albionmalleable.com
"Alma Brewing Co","208 E Superior St",,Alma,MI,48801-1819,"(989) 462-0208",brewpub,http://www.almabrewing.com
"Alpha Michigan Brewing Company","303 E Center St",,Alpha,MI,49902,"(920) 358-9551",micro,http://www.alphamibeer.com
"American Badass Beer","1401 Abbott St Corktown",,Detroit,MI,48216-1946,,contract,http://www.americanbadassbeer.com
"American Brewers Inc","3408 Miller Rd",,Kalamazoo,MI,49001-4111,"(269) 217-1920",micro,http://www.americanbrewers.us
"American Harvest Brewpub At Schoolcraft College","18600 Haggerty Rd",,Livonia,MI,48152-3932,"(734) 462-7659",brewpub,http://www.schoolcraft.edu
"Arbor Brewing Co","114 E Washington St",,"Ann Arbor",MI,48104-1905,"(734) 213-1393",brewpub,http://www.arborbrewing.com
"Arbor Brewing Co. Microbrewery","720 Norris St",,Ypsilanti,MI,48198-2825,"(734) 480-2739",brewpub,
"Arcadia Brewing Co","701 E Michigan Ave",,Kalamazoo,MI,49007-4946,"(269) 276-0458",micro,http://www.arcadiaales.com
"Arclight Brewing Company","544 N Main St",,Watervliet,MI,49098-9797,"(269) 332-0718",micro,http://www.arclightbrewing.com
"Arvon Brewing Co.","3057 Broadway Ave SW",,Grandville,MI,49418-1528,"(616) 224-0086",micro,http://www.arvonbrewingco.com
"Ascension Brewing Company","42000 Grand River Ave",,Novi,MI,48375-1831,"(248) 308-2093",brewpub,http://www.ascension.beer
"Atwater Brewing Co","237 Joseph Campau St",,Detroit,MI,48207-4107,"(313) 877-9205",regional,http://www.atwaterbeer.com
"Atwater Grand Rapids","201 Michigan St NW",,"Grand Rapids",MI,49503-2323,"(616) 649-3020",brewpub,
"Atwater In the Park Biergarten and Tap House","1175 Lakepointe St",,"Grosse Pointe Park",MI,48230-1319,"(313) 344-5104",brewpub,http://www.atwaterbeer.com
"Austin Brothers' Beer Company","821 W Miller St",,Alpena,MI,49707-1825,"(989) 340-2300",brewpub,http://www.austinbrosbeerco.com
"Axle Brewing Company","567 Livernois St",,Ferndale,MI,48220-2303,"(248) 613-7002",micro,http://www.axlebrewing.com
"Axle Brewing Company","567 Livernois St",,Ferndale,MI,48220-2303,"(248) 284-2422",brewpub,
"B. Nektar Meadery","1511 Jarvis St",,Ferndale,MI,48220-2025,"(313) 744-6323",micro,http://www.bnektar.com
"B.O.B's Brewery","20 Monroe Ave NW",,"Grand Rapids",MI,49503-6208,"(616) 356-2000",brewpub,http://thebobsbrewery.thebob.com
"BAD Brewing Co","440 S Jefferson St",,Mason,MI,48854-1654,"(517) 676-7664",micro,http://www.badbrewing.com
"Baffin Brewing Co","25113 Jefferson Ave",,"Saint Clair Shores",MI,48081-2303,"(586) 218-7990",micro,http://baffinbrewing.com
"Bam Entertainment Center","478 E 16th St",,Holland,MI,49423-3793,"(616) 392-7086",brewpub,http://www.gobamgo.com
"Barn Brewers","114 N Main St",,Lawton,MI,49065-8634,"(269) 299-0482",brewpub,http://www.barnbrewersbrewery.com
"Barrel and Beam","260 Northwoods RD",,Marquette,MI,49855,"(906) 273-2559",micro,http://www.barrelandbeam.com
"Bastone Brewery","419 S Main St",,"Royal Oak",MI,48067-2615,"(248) 544-6250",brewpub,http://www.bastone.net/br/bastone-brewery
"Batch Brewing Co","1400 Porter St",,Detroit,MI,48216-1934,"(313) 338-8008",brewpub,http://www.batchbrewingcompany.com
"Beards Brewery","215 E Lake St",,Petoskey,MI,49770-2415,"(231) 753-2221",brewpub,http://www.beardsbrewery.com
"Beards Brewery Production Facility","6328 Ferry Ave",,Charlevoix,MI,49720-9504,,micro,
"Beer Church Brewing Company","24 S Whittaker St",,"New Buffalo",MI,49117-1820,"(219) 241-3876",contract,http://www.beerchurchbrewing.com
"Belding Brewing Company",,,Belding,MI,48809-1678,"(616) 308-6285",planning,
"Bell's Brewery, Inc","8938 Krum Ave",,Galesburg,MI,49053-9558,"(269) 382-2338",regional,http://www.bellsbeer.com
"Bell's Eccentric Cafe","355 E Kalamazoo Ave",,Kalamazoo,MI,49007-3807,"(269) 382-2332",brewpub,http://www.bellsbeer.com
"Bier Distillery","5295 West River Dr NE Ste 100",,"Comstock Park",MI,49321-8030,"(616) 888-9746",micro,http://bierdistillery.com
Biercamp,"1643 S State St",,"Ann Arbor",MI,48104-4302,"(734) 995-2437",brewpub,http://www.bier-camp.com
"Biere De Mac Brew Works","14277 N Mackinaw Hwy",,"Mackinaw City",MI,49701-8622,"(231) 427-7007",micro,http://www.bieredemac.com
"Big Boiler Brewing","318 E Main St Suite B",,Lowell,MI,49331-1714,"(616) 987-3155",micro,http://bigboilerbrewing.com
"Big Buck Brewery and Steakhouse - Gaylord","550 S Wisconsin Ave",,Gaylord,MI,49735-1742,"(989) 619-6299",micro,http://www.bigbuckbrewery.com
"Big Cat Brewing Company","8699 S Good Harbor Trl",,Cedar,MI,49621-8580,"(231) 228-2282",brewpub,http://www.bigcatbrewingco.com
"Big Hart Brewing Company","4086 W Polk Rd",,Hart,MI,49420-8172,"(231) 301-8226",brewpub,http://www.bighartbrewing.com
"Big Lake Brewing","13 W 7th St",,Holland,MI,49423-2821,"(616) 796-8888",micro,http://www.biglakebrewing.com
"Big Lake Brewing Production Facility","166 E 19th St",,Holland,MI,49423-4230,,micro,
"Big Rock Chop House & Brewery","245 S Eton St",,Birmingham,MI,48009-6577,"(248) 647-7774",contract,http://www.bigrockchophouse.com
"Big T Brew Pub","155 N Main St",,Lawton,MI,49065-8634,"(269) 624-1200",brewpub,http://www.bigtrestaurant.com
"Bilbo's Pizza and Brewery","3307 Stadium Dr",,Kalamazoo,MI,49008-1528,"(269) 382-5544",brewpub,http://www.bilbospizza.com
"Black Fire Winery","1261 E Munger Rd",,Tecumseh,MI,49286-8714,"(517) 424-9232",micro,
