name,address,city,state,zip,phone,type,url
"10K Brewing","2005 2nd Ave",Anoka,MN,55303-2243,,micro,http://www.10kbrew.com
"12welve Eyes Brewing",,Minneapolis,MN,55423,,planning,
"2 Rivers Brewery @ Riverside On the Root","109 Parkway Ave. South",Lanesboro,MN,55949,"(507) 467-3663",brewpub,http://www.riversideontheroot.com
"56 Brewing","3134 California St NE, Ste 122",Minneapolis,MN,55418-1789,"(612) 404-0056",micro,http://www.56brewing.com
"612 Brew","945 Broadway St NE",Minneapolis,MN,55413-1471,"(612) 964-8939",micro,http://www.612brew.com
"Able Seedhouse and Brewery","1121 Quincy St. NE",Minneapolis,MN,55413,"(612) 405-4642",micro,http://www.ablebeer.com
"August Schell Brewing Co","PO Box 128","New Ulm",MN,56073-0128,"(507) 354-5528",regional,http://www.schellsbrewery.com
"Bad Habit Brewing Company","15 E. Minnesota St #108","Saint Joseph",MN,56374-4691,"(320) 402-4442",micro,http://www.badhabitbeer.com
"Bad Weather Brewing LLC","6020 Culligan Way",Minnetonka,MN,55345-5917,,micro,http://www.badweatherbrewery.com
"Badger Hill Brewing","4571 Valley Industrial Blvd S Ste 500",Shakopee,MN,55379-1846,"(612) 388-4479",micro,http://www.badgerhillbrewing.com
"Bald Man Brewing Company",,Minneapolis,MN,55442-1659,,planning,http://www.baldmanbrewing.com
"Bang Brewing","2320 Capp Rd","Saint Paul",MN,55114-1251,,micro,http://www.bangbrewing.com
"Bank Brewing Co","200 S. Main St",Hendricks,MN,56136-1244,"(612) 309-2513",micro,http://www.bankbrewing.com
"Bard's Tale Beer Co","5125 W 59th St",Edina,MN,55436-2612,"(612) 961-2275",proprietor,http://www.bardsbeer.com
"Barley Johns Brewpub","781 Old Highway 8 SW","New Brighton",MN,55112-7735,"(651) 636-4670",brewpub,http://www.barleyjohns.com
"Bauhaus Brew Labs","1341 Tyler St NE",Minneapolis,MN,55413-1530,"(612) 327-8774",micro,http://www.bauhausbrewlabs.com
"Beaver Island Brewing Company","216 6th Ave. S","Saint Cloud",MN,56301-4304,"(320) 253-5907",micro,http://www.beaverislandbrew.com
"Bemidji Brewing Company","401 Beltrami Ave NW",Bemidji,MN,56601-3106,,micro,http://www.bemidjibeer.com
"Bent Brewstillery","1744 Terrace Dr",Roseville,MN,55113,"(844) 879-2368",micro,http://www.bentbrewstillery.com
"Bent Paddle Brewing Co","1912 W Michigan St",Duluth,MN,55806-2135,"(218) 279-2722",micro,http://www.bentpaddlebrewing.com
"Big Axe Brewing Company","25435 Main St.",Nisswa,MN,56468-5001,"(218) 961-2337",brewpub,http://www.bigaxebrewing.com
"Big Wood Brewery","2222 4th St Ste REAR","White Bear Lake",MN,55110-3045,"(612) 360-2986",micro,http://www.bigwoodbrewery.com
"Birch's On the Lake","1310 W. Wayzata Blvd","Long Lake",MN,55356-8314,"(952) 473-7373",brewpub,http://www.birchsrestaurantandbar.com
"Blacklist Brewing Co.","211 E 2nd St",Duluth,MN,55805-1911,,micro,http://www.blacklistbeer.com
"Boathouse Brewery LLC","47 E Sheridan St",Ely,MN,55731-1289,"(218) 365-4301",brewpub,http://www.boathousebrewpub.com
"Boathouse Brothers Brewing Co",,"Prior Lake",MN,55372,"(952) 250-6143",planning,
