name,address1,address2,city,state,zip,phone,type,url
"10K Brewing","2005 2nd Ave",,Anoka,MN,55303-2243,"(763) 392-4753",micro,http://10kbrew.com
"12welve Eyes Brewing","141 E 4th St, Ste LL2",,"Saint Paul",MN,55101-1627,,micro,http://www.12welveeyes.com
"56 Brewing","3055 Columbia avenue NE #122",,Minneapolis,MN,55418-1789,"(612) 404-0056",micro,http://www.56brewing.com
"612 Brew","945 Broadway St NE",,Minneapolis,MN,55413-1471,"(612) 964-8939",micro,http://www.612brew.com
"Able Seedhouse and Brewery","1121 Quincy St NE",,Minneapolis,MN,55413-2773,"(612) 405-4642",micro,http://www.ablebeer.com
"Alloy Brewing Company","2700 Coon Rapids Blvd NW",,"Coon Rapids",MN,55433-3955,"(763) 423-0939",micro,http://www.alloybrewingcompany.com
"Amazen Brewery",,,"Saint Paul",MN,55119-4613,,planning,
"Arbeiter Brewing Company",,,Minneapolis,MN,55418,,planning,http://www.arbeiterbrewing.com
"August Schell Brewing Co","PO Box 128",,"New Ulm",MN,56073-0128,"(507) 354-5528",regional,http://www.schellsbrewery.com
"Back Channel Brewing","4787 Shoreline Dr",,"Spring Park",MN,55384-9713,,micro,http://www.backchannelbrewing@gmail.com
"Bad Habit Brewing Company","15 E Minnesota St Ste 108",,"Saint Joseph",MN,56374-4691,"(320) 402-4442",micro,http://www.badhabitbeer.com
"Bad Weather Brewing LLC","414 7th St W",,"Saint Paul",MN,55102-2733,"(651) 207-6627",micro,http://www.badweatherbrewery.com
"Badger Hill Brewing","4571 Valley Industrial Blvd S Ste 500",,Shakopee,MN,55379-1846,"(612) 388-4479",micro,http://www.badgerhillbrewing.com
"Bald Man Brewing Company","2020 Silver Bell Road, Unit 25",,Eagan,MN,55122,"(651) 600-3164",micro,http://www.baldmanbrewing.com
"Bang Brewing","2320 Capp Rd",,"Saint Paul",MN,55114-1251,"(651) 243-2264",micro,http://www.bangbrewing.com
"Bank Brewing Co","200 N Main St",,Hendricks,MN,56136-9501,"(612) 309-2513",micro,http://www.bankbrewing.com
"Bard's Tale Beer Co","5125 W 59th St",,Edina,MN,55436-2612,"(612) 961-2275",proprietor,http://www.bardsbeer.com
"Barley Johns Brewpub","781 Old Highway 8 SW",,"New Brighton",MN,55112-7735,"(651) 636-4670",brewpub,http://www.barleyjohns.com
"Bauhaus Brew Labs","1315 Tyler Street NE",,Minneapolis,MN,55413,"(612) 297-6911",micro,http://bauhausbrewlabs.com
"Beaver Island Brewing Company","216 6th Ave S",,"Saint Cloud",MN,56301-4304,"(320) 253-5907",micro,http://www.beaverislandbrew.com
"Bemidji Brewing Company","211 America Ave NW",,Bemidji,MN,56601-3176,"(218) 444-7011",micro,http://www.bemidjibeer.com
"Bengal Brewing, LLC.",,,"Spring Lake Park",MN,55432-2802,"(612) 518-8146",planning,http://www.bengalbrewingllc.com
"Bent Brewstillery","1744 Terrace Dr",,Roseville,MN,55113-1315,"(844) 879-2368",micro,http://www.bentbrewstillery.com
"Bent Paddle Brewing Co","1912 W Michigan St",,Duluth,MN,55806-2135,"(218) 279-2722",micro,http://www.bentpaddlebrewing.com
"Big Axe Brewing Company","25435 Main St",,Nisswa,MN,56468-5001,"(218) 961-2337",brewpub,http://www.bigaxebrewing.com
"Big Wood Brewery","2222 4th St Ste REAR",,"White Bear Lake",MN,55110-3045,"(612) 360-2986",micro,http://www.bigwoodbrewery.com
"Birch's On the Lake","1310 W Wayzata Blvd",,"Long Lake",MN,55356-8314,"(952) 473-7373",brewpub,http://www.birchsrestaurantandbar.com
"Blacklist Artisan Ales","120 E Superior St.",,Duluth,MN,55805-1911,"(218) 310-9368",micro,http://www.blacklistbeer.com
"Boathouse Brewery LLC","47 E Sheridan St",,Ely,MN,55731-1289,"(218) 365-4301",brewpub,http://www.frontiernet.net
"Boom Island Brewing Company","2014 Washington Ave N",,Minneapolis,MN,55411-2220,"(612) 227-9635",micro,http://www.boomislandbrewing.com
"Borealis Fermentery","PO Box 130",,"Knife River",MN,55609-0130,"(218) 343-2190",micro,http://www.borealisfermentery.com
"Brau Brothers Brewing Co","1010 E Southview Dr",,Marshall,MN,56258-2401,"(507) 747-2337",micro,http://www.braubeer.com
"Brewery In Planning - Albert Lea",,,"Albert Lea",MN,56007-4211,,planning,
"Brewery in Planning - Andover",,,Andover,MN,55304-3016,"(763) 639-0539",planning,http://www.torgbrewery.com
"Brewery In Planning - Mankato MN",,,Mankato,MN,56001-2135,"(507) 420-3544",planning,
"Brewery In Planning - Medina",,,"Long Lake",MN,55356-9675,,planning,
"Brewery in Planning - Minneapolis",,,Minneapolis,MN,55415,,planning,
"Brewery In Planning - Minneapolis MN",,,Minneapolis,MN,55434-2832,,planning,
"Brewery in Planning - Rochester",,,Rochester,MN,55902-1924,,planning,
"Brewery In Planning - Saint Paul MN",,,"Saint Paul",MN,55129-4281,,planning,
"Brewery In Planning - Shakopee",,,Shakopee,MN,55379-4554,,planning,
"Brewery in Planning - St. Cloud",,,"Saint Cloud",MN,56303,"(320) 980-3100",planning,http://www.pantownbrewing.com
"Broken Clock Brewing Cooperative","3134 California St. NE Ste. 122",,Minneapolis,MN,55418,"(970) 333-0135",micro,http://www.brokenclockbrew.com
