name,address1,address2,city,state,zip,phone,type,url
"2nd Shift Brewing Co","101 Cedar Creek Rd",,"New Haven",MO,63068-2068,"(618) 791-0728",micro,http://www.2ndshiftbrewing.com
"4 Hands Brewing Co","1220 S 8th St",,"Saint Louis",MO,63104-3610,,regional,
"Alpha Brewing Co.","1409 Washington Ave Rear",,"Saint Louis",MO,63103-1905,"(314) 621-2337",micro,http://www.alphabrewingcompany.com
"Amerisports Brew Pub","8201 NE Birmingham Rd Ameristar Casino",,"Kansas City",MO,64161-9429,"(816) 414-7435",brewpub,http://www.ameristar.com
"Anheuser-Busch InBev","1 Busch Pl",,"Saint Louis",MO,63118-1849,"(314) 577-2000",large,http://www.anheuser-busch.com
"Arcadian Moon","19203 Old Highway 40",,Higginsville,MO,64037,"(660) 584-6661",brewpub,http://www.arcadianmoon.com
"Augusta Brewing Co","109 W Main St",,Washington,MO,63090-2191,"(636) 482-2337",brewpub,http://www.augustabrewing.com
"Bastard Brothers Brewing Company",,,"High Ridge",MO,63049-2684,"(314) 520-3401",planning,http://www.bastardbrothersbrewery.com
"Bat Creek Brewery","4 W Main St",,"Bowling Green",MO,63334-1640,"(573) 324-3258",micro,http://www.batcreekbrewery.com
"Big Rip Brewing Company","216 E 9th Ave",,"North Kansas City",MO,64116-4315,,micro,http://www.bigripbrewing.com
"Boat Town Brewing","18146 Campground Rd",,Phillipsburg,MO,65722-8122,"(417) 533-2306",micro,http://www.boattownbrewing.com
"Bootleggers Restaurant and Brewery","101 S Madison Ave",,Aurora,MO,65605-1426,"(417) 308-3504",brewpub,http://www.bootbrewery.com
"Border Brewing Company","406 E 18th St Ste A",,"Kansas City",MO,64108-1457,,micro,http://www.borderbrewco.com
"Boulevard Brewing Co","2501 Southwest Blvd",,"Kansas City",MO,64108-2345,"(816) 474-7095",regional,http://www.boulevard.com
"Brewery Emperial","1829 Oak St",,"Kansas City",MO,64108-,"(816) 945-9625",brewpub,http://www.breweryemperial.com
"Brewery in Planning - Bethel",,,Bethel,MO,63434-2612,,planning,
"Brewery in Planning - Blue Springs",,,"Blue Springs",MO,64015-5204,"(816) 427-1208",planning,
"Brewery in Planning - Blue Springs",,,"Blue Springs",MO,64015-5204,,planning,
"Brewery in Planning - Cleveland",,,Cleveland,MO,64734,"(563) 210-7485",planning,
"Brewery In Planning - Eureka",,,Eureka,MO,63025-3621,,planning,
"Brewery in Planning - High Ridge",,,"High Ridge",MO,63049-1977,,planning,
"Brewery in Planning - Kennett",,,Kennett,MO,63857,"(870) 598-4353",planning,
"Brewery in Planning - Labadie",,,Labadie,MO,63055-1241,,planning,
"Brewery In Planning - Lees Summit",,,"Lees Summit",MO,64081,,planning,
"Brewery in Planning - Maplewood",,,Maplewood,MO,63143-2910,,planning,
"Brewery In Planning - Saint Louis",,,"Saint Louis",MO,63141,,planning,
"Brewery in Planning - Saint Louis",,,"Saint Louis",MO,63147-1840,"(314) 309-3210",planning,http://www.gb-beer.com
"Brewery in Planning - springfield",,,springfield,MO,65808,,planning,
"Brewery in Planning - Springfield",,,Springfield,MO,65802-4979,,planning,
"Brewery in Planning - St. Louis",,,"Saint Louis",MO,63130-4050,"(314) 369-4153",planning,
"Brewery In Planning - St. Louis",,,"Saint Louis",MO,63110-3112,,planning,
"Brewery in Planning - West Plains",,,"West Plains",MO,65775,"(417) 274-1507",planning,http://www.ozarksbrewing.com
"Brewery in Planning - Whiteman AFB",,,"Whiteman Afb",MO,65305-1285,,planning,
"Brewery In Planning- Saint Charles, MO.",,"Saint Charles, MO",,,,"(314) 494-5023",planning,http://www.beerfacility.com
"Broadway Brewery","816 E Broadway",,Columbia,MO,65201-4898,"(573) 443-5054",brewpub,http://www.broadwaybrewery.com
"Bur Oak Company","8250 E Trade Center Dr",,Columbia,MO,65201-7635,,micro,http://www.buroakbeer.com
"Calibration Brewery","119 Armour Rd",,"Kansas City",MO,64116-3502,"(816) 994-8277",brewpub,http://www.calibrationbrewery.com
"Cathedral Square Brewery","3914 Lindell Blvd",,"Saint Louis",MO,63108-3204,"(314) 803-3605",contract,http://www.cathedralsquarebrewery.com
"Charleville Vinyard & Microbrewery","16937 Boyd Rd",,"Sainte Genevieve",MO,63670-7914,"(573) 756-4537",micro,http://www.charlevillevineyard.com
"Charlie's Steak, Ribs & Ale","3009 E State Hiwy 76",,Branson,MO,65616-8312,"(417) 546-2011",brewpub,http://www.charliessteakribsandale.net
"Cinder Block Brewery","110 E 18th Ave",,"North Kansas City",MO,64116-3635,"(816) 560-8365",micro,http://www.cinderblockbrewery.com
"Civic Duty Brewing Company",,,"Kansas City",MO,64131-1358,"(816) 217-3150",planning,http://www.civicdutybrewco.com
"Civil Life Brewing Co","3714 Holt Ave",,"Saint Louis",MO,63116-2614,,micro,http://www.thecivillifebrewingcompany.com
"Cold Storage Brewing",,,Centertown,MO,65023-3034,"(573) 645-2532",planning,
"Commander\'s Call",,,Cleveland,MO,64734,,planning,
"Commander\'s Call",,,Cleveland,MO,64734,,planning,
"Commander's Call",,"Belton, MO",,,,,planning,
"Crane Brewing Company","6515 Railroad St",,Raytown,MO,64133-5210,"(816) 743-4132",micro,http://www.cranebrewing.com
"Crown Valley Brewing & Distilling Co","23589 State Route Ww",,"Sainte Genevieve",MO,63670-9039,"(573) 756-9463",micro,http://www.crownvalleybrewery.com
"Deslogetown Brewery","205 S Trailwood St",,Desloge,MO,63601-2885,,micro,http://www.deslogtown.com
"Double Shift Brewing","412 E 18th St",,"Kansas City",MO,64108-1410,,micro,
"Earthbound Brewing","2710 Cherokee St",,"Saint Louis",MO,63118-3036,"(314) 504-3532",micro,http://www.earthboundbeer.com
"Exit 6 Brewery","5055 Highway N Ste 112",,"Saint Charles",MO,63304-8031,"(636) 244-4343",micro,http://www.exit6brewery.com
"Ferguson Brewing Co","418 S Florissant Rd",,"Saint Louis",MO,63135-2716,"(314) 254-7359",brewpub,http://www.fergusonbrewing.com
"Flat Branch Pub and Brewing","115 S 5th St",,Columbia,MO,65201-4230,"(573) 499-0400",brewpub,http://www.flatbranch.com
"Friendship Brewing Company","100 Pitman Ave",,Wentzville,MO,63385-1700,,brewpub,
"Fringe Beerworks",,,"Lees Summit",MO,64063-2329,"(816) 916-3695",planning,http://www.fringebeerworks.com
"Garage Gang",,,"Walnut Shade",MO,65771-9101,"(417) 339-6772",planning,
"Gordon Biersch Brewery Restaurant - Kansas City","100 E 14th St",,"Kansas City",MO,64105,"(423) 424-2000",brewpub,http://www.craftworksrestaurants.com
"Granite City Food & Brewery (#11)","8461 NW Prairie View Rd",,"Kansas City",MO,64153-1842,"(816) 587-3838",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#29)","11411 Olive Blvd",,"Creve Coeur",MO,63141-7108,"(314) 432-3535",brewpub,http://www.gcfb.net
"Green Room Burgers & Beer","4010 Pennsylvania Ave",,"Kansas City",MO,64111-3010,"(816) 216-7682",brewpub,http://www.greenroomkc.com
"Greer Brewing",,,Ellisville,MO,63011-2161,"(636) 346-3979",planning,http://www.greerbrewingco.com
"Griesedieck Brothers Brewery","PO Box 31203",,"Saint Louis",MO,63131-0203,,contract,http://www.gb-beer.com
"Gruhlke's Microbrewery / Bias Vineyards","3166 Highway B",,Berger,MO,63014-1418,"(573) 834-5475",brewpub,http://www.biaswinery.com
"Heavy Riff Brewing","6413 Clayton Ave",,"Saint Louis",MO,63139-3305,"(314) 828-6148",micro,http://www.heavyriffbrwing.com
"Heise Bros. Brewing Co.",,,"Van Buren",MO,63965,,planning,
"High Heel Brewing","8820 Ladue Road, Suite 203",,"Saint Louis",MO,63124,"(314) 596-7458",contract,http://highheelbrewing.com
"Indian Springs Brewing Company",,,Neosho,MO,64850-7936,,planning,
"Jackson Street Brew Co.","106 N Jackson St",,Perryville,MO,63775-1336,,brewpub,
"Kansas City Bier Company","310 W 79th St",,"Kansas City",MO,64114-1843,"(816) 214-8691",micro,http://www.kcbier.com
"King David\'s Brewing Company",,,"Poplar Bluff",MO,63901-9691,,planning,
"Kirkwood Station Brewing","105 E Jefferson Ave",,Kirkwood,MO,63122-4025,"(314) 966-2739",brewpub,http://www.kirkwoodstationbrewing.com
"Logboat Brewing Co","504 Fay St",,Columbia,MO,65201-4782,"(573) 397-6786",micro,http://www.logboatbrewing.com
"Lost Signal Brewing Company",,,Springfield,MO,65806-1240,,planning,
"Main And Mill Brewing Company","240 Main St",,Festus,MO,63028-1907,"(636) 543-3031",brewpub,http://www.mainandmillbrewco.com
"Mark Twain Brewing Company","422 Nth Main St",,Hannibal,MO,63401,"(573) 406-1300",brewpub,http://www.marktwainbrewery.com/
"Martin City Brewing Co","500 E 135th St",,"Kansas City",MO,64145-1416,"(816) 268-2222",brewpub,http://www.martincitybrewingcompany.com
"McCoy's Public House","4057 Pennsylvania Ave",,"Kansas City",MO,64111-3021,"(816) 960-0866",brewpub,http://www.mccoyspublichouse.com
"Miami Creek Brewing Company","14226 NW County Road 14001",,Drexel,MO,64742-9733,"(816) 892-0297",micro,http://www.miamicreek.com
