name,address,city,state,zip,phone,type,url
"2 Basset Brewery","202 E. Main St","White Sulphur Springs",MT,59645,"(406) 547-2337",micro,http://2bassetbrewery.com/
"406 Brewing Company","101 E Oak St Ste D",Bozeman,MT,59715-2939,"(406) 585-3745",micro,http://www.406brewingcompany.com
"Angry Hank's Microbrewery","20 N 30th St",Billings,MT,59101-2140,"(406) 252-3370",micro,
"Backslope Brewing","1107 9th St W (Highway 2)","Columbia Falls",MT,59912,"(406) 224-2510",brewpub,http://www.backslopebrewing.com
"Bandit Brewing Co","308 E Tanner Rd",Darby,MT,59829,"(406) 646-6003",micro,
"Bayern Brewing Inc.","1507 Montana St",Missoula,MT,59801-1409,"(406) 721-1482",micro,http://www.bayernbrewery.com
"Beaver Creek Brewery","PO Box 196",Wibaux,MT,59353-0196,"(406) 795-2337",micro,http://www.beavercreekbrewery.com
"Beaverhead Brewing Co","218 S Montana St",Dillon,MT,59725,"(406) 988-0011",micro,http://www.beaverheadbeer.com
"Beehive Basin Brewery","245 Towncenter Ave","Big Sky",MT,59716,"(406) 995-7444",micro,http://www.beehivebasinbrewery.com
"Big Sky Brewing Co","5417 Trumpeter Way",Missoula,MT,59808-8680,"(406) 549-2777",regional,http://www.bigskybrew.com
"Bitter Root Brewing Co","101 Marcus St",Hamilton,MT,59840-2541,"(406) 363-7468",micro,http://www.bitterrootbrewing.com
"Black Eagle Brewery","1602 25th Ave N.E.","Black Eagle",MT,59414-1070,"(406) 315-3082",micro,http://www.pitstopblackeagle.com
"Blackfoot River Brewing Co","66 S Park Ave",Helena,MT,59601-6271,"(406) 449-3005",micro,http://www.blackfootriverbrewing.com
"Blacksmith Brewing Co","114 Main St",Stevensville,MT,59870-2109,"(406) 777-0680",micro,http://www.blacksmithbrewing.com
"Bonsai Brewing Project","549 Wisconsin Ave",Whitefish,MT,59937-2127,"(406) 730-1717",micro,
"Bowser Brewing Co","1826 10th Ave S","Great Falls",MT,59405-2632,"(406) 315-1340",micro,http://www.bowserbrew.com
"Bozeman Brewing Co","504 N Broadway Ave",Bozeman,MT,59715-3006,"(406) 585-9142",micro,http://www.bozemanbrewing.com
"Brewery In Planning - Billings",,,,,,planning,
"Brewery in Planning - Hamilton",,Hamilton,MT,59840,,planning,
"Brewery in Planning - Helena",,Helena,MT,59602,"(406) 204-2143",planning,
"Brewery In Planning - Idleyeld Park",,"Missoula ",MT,59801,,planning,
"Brewery in Planning - Missoula","636 Howell St",Missoula,MT,59802,"(406) 647-0442",,
"Brewery in Planning - Missoula",,noxon,MT,59853,"(406) 647-0442",planning,
"Bridger Brewing Company","1609 S 11th Ave",Bozeman,MT,59715-5466,"(406) 587-2124",brewpub,http://www.bridgerbrewing.com
"Busted Knuckle Brewery","303 1st Ave S",Glasgow,MT,59230-2308,"(406) 228-2277",micro,
"Butte Brewing Co","465 E Galena St",Butte,MT,59701-1905,"(406) 299-3953",micro,http://www.buttebrewing.com
"Cabinet Mountain Brewing Co","206 Mineral Ave",Libby,MT,59923,"(406) 293-2739",brewpub,http://www.cabinetmountainbrewing.com
"Canyon Creek Brewing","3060 Gabel Rd",Billings,MT,59102-7336,"(406) 656-2528",micro,http://www.canyoncreekbrewing.com
"Carters Brewing","2526 Montana Ave",Billings,MT,59101-2313,"(406) 861-7712",micro,http://www.cartersbrewing.com
"Cold Snacks Brewing",,Bozeman,MT,59715,,contract,http://www.montuckycoldsnacks.com
"Copperwild Brewing","43 E. Park",Butte,MT,59701-1711,"(406) 782-1700",brewpub,http://www.copperwildbrewing.com
"Dog Tag Brewing","PO Box 768",Belgrade,MT,59714-0768,,contract,
"Draught Works Brewing","915 Toole Ave",Missoula,MT,59802-2625,"(406) 241-2423",micro,http://www.draughtworksbrewery.com
"Dunluce Brewing",,Superior,MT,59872,"(406) 531-4578",micro,http://www.dunlucebrewing.com
