name,address1,address2,city,state,zip,phone,type,url
"2 Basset Brewery","202 E Main St",,"White Sulphur Springs",MT,59645-9081,"(406) 547-2337",,http://www.2bassetbrewery.com
"380 Brewing Company",,,"Montana City",MT,59634,"(206) 579-6509",,
"406 Brewing Company","111 E Oak St Ste 1A",,Bozeman,MT,59715-2967,"(406) 585-3745",,http://www.406brewingcompany.com
"Angry Hank's Microbrewery","20 N 30th St",,Billings,MT,59101-2140,"(406) 252-3370",,
"Backslope Brewing","1107 9th St W (Highway 2)",,"Columbia Falls",MT,59912,"(406) 224-2510",,http://www.backslopebrewing.com
"Bandit Brewing Co","610 N 1st St Ste 5-228",,Hamilton,MT,59840-2149,"(406) 646-6003",,http://www.banditbeer.com
"Bar 3 BBQ and Brewing","100 S Broadway",,Belgrade,MT,59714-3909,"(406) 388-9182",,http://www.bar3bbq.com
"Bayern Brewing Inc.","1507 Montana St",,Missoula,MT,59801-1409,"(406) 721-1482",,http://www.bayernbrewery.com
"Beaver Creek Brewery","104 W Orgain Ave",,Wibaux,MT,59353-8001,"(406) 795-2337",,http://www.beavercreekbrewery.com
"Beaverhead Brewing Co","218 S Montana St",,Dillon,MT,59725-2438,"(406) 988-0011",,http://www.beaverheadbeer.com
"Beehive Basin Brewery","PO Box 160774",,"Big Sky",MT,59716-0774,"(406) 995-7444",,http://www.beehivebasinbrewery.com
"Bias Brewing",,,Kalispell,MT,59901,"(406) 730-3020",,http://www.biasbrewing.com
"Big Sky Brewing Co","5417 Trumpeter Way",,Missoula,MT,59808-8680,"(406) 549-2777",,http://www.bigskybrew.com
"Bitter Root Brewing Co","101 Marcus St",,Hamilton,MT,59840-2541,"(406) 363-7468",,http://www.bitterrootbrewing.com
"Black Eagle Brewery","1602 25th Ave",,"Black Eagle",MT,59414-1070,"(406) 868-1866",,http://www.pitstopblackeagle.com
"Blackfoot River Brewing Co","66 S Park Ave",,Helena,MT,59601-6271,"(406) 449-3005",,http://www.blackfootriverbrewing.com
"Blacksmith Brewing Co","114 Main St",,Stevensville,MT,59870-2109,"(406) 777-0680",,http://www.blacksmithbrewing.com
"Bonsai Brewing Project","549 Wisconsin Ave",,Whitefish,MT,59937-2127,"(406) 730-1717",,http://bonsaibrew.com
"Bozeman Brewing Co","504 N Broadway Ave",,Bozeman,MT,59715-3006,"(406) 585-9142",,http://www.bozemanbrewing.com
"Brewery in Planning - Helena",,,Helena,MT,59602-0552,"(406) 558-4619",,http://brewingeducation.com
"Brewing Academy Of Montana At FVCC",,,Kalispell,MT,59901,"(406) 756-4359",,http://www.fvcc.edu
"Bridger Brewing Company","1609 S 11th Ave",,Bozeman,MT,59715-5466,"(406) 587-2124",,http://www.bridgerbrewing.com
"Brother Joseph's Brewing Company",,"Missoula, MT",,,,,,http://www.xcmdt.com
"Busted Knuckle Brewery","303 1st Ave S",,Glasgow,MT,59230-2308,"(406) 228-2277",,
"Butte Brewing Co","465 E Galena St",,Butte,MT,59701-1928,"(406) 299-3953",,http://www.buttebrewing.com
"Cabinet Mountain Brewing Co","206 Mineral Ave",,Libby,MT,59923-1952,"(406) 293-2739",,http://www.cabinetmountainbrewing.com
