name,address1,address2,city,state,zip,phone,type,url
"5168 Brewing Company","5730 Hidcote Dr.",,Lincoln,NE,68516,"(402) 875-5588",brewpub,http://www.5168brewing.com/
"Backswing Brewing Co.","500 W South St Ste 8",,Lincoln,NE,68522-1744,"(402) 515-4263",micro,http://www.backswingbrewing.com
"Barley Boys Brewery",,,Omaha,NE,68144-1922,"(402) 598-6096",planning,http://www.barleyboysbrewery.com
"Benson Brewery","6059 Maple St",,Omaha,NE,68104-4050,"(402) 934-8668",brewpub,http://www.bensonbrewery.com
"Blue Blood Brewing Company","925 Robbers Cave Rd",,Lincoln,NE,68502,"(402) 477-2337",brewpub,http://www.bluebloodbrewing.com
"Boiler Brewing Company","129 N 10th St Ste 8",,Lincoln,NE,68508-3633,"(402) 261-8775",micro,http://www.boilerbrewingcompany.com
"Bolo Beer Co","420 E 1st St",,Valentine,NE,69201-1904,,micro,http://www.bolobeer.com
"Bootleg Brewers - Sandhills Brewing Company","45145 829th Rd",,Taylor,NE,68879-8120,"(308) 942-3440",brewpub,http://www.bootlegbrewers.com
"Bottle Rocket Brewing Co","230 S 5th St",,Seward,NE,68434-2520,"(402) 304-5673",micro,http://www.bottlerocketbrewing.com
"Brewery 719",,,Alliance,NE,69301-3945,,planning,http://www.brewery719.com
"Brewery In Planning - Omaha",,,Omaha,NE,68102,,planning,
"Brickway Brewery and Distillery","1116 Jackson St",,Omaha,NE,68102-2825,"(402) 933-2613",micro,http://www.drinkbrickway.com
"Brush Creek Brewing Company","102 N Main St",,Atkinson,NE,68713-4946,"(402) 925-2629",brewpub,
"Canyon Lake Brewing Company",,", NE",,,,,planning,
"Code Beer Co.","200 S Antelope Valley Pkwy",,Lincoln,NE,68510-1016,"(402) 318-5888",micro,http://www.codebeer.co
"Cosmic Eye Brewing",,,Lincoln,NE,68505-2463,"(402) 730-8807",planning,http://www.cosmiceye.beer
"Divots Brewery","4200 W Norfolk Ave",,Norfolk,NE,68701-9202,"(402) 844-2985",brewpub,http://www.divotsbrewery.com
"Empyrean Brewing Co","729 Q St",,Lincoln,NE,68508-1536,"(402) 434-5970",micro,http://www.empyreanbrewingco.com
"Fairfield Opera House Brewery","415 N D St",,Fairfield,NE,68938-2114,"(402) 726-2447",brewpub,http://www.fairfieldoperahouse.com
"Farnam House Brewing Company","3558 Farnam St",,Omaha,NE,68131-3304,"(402) 401-6086",brewpub,http://www.farnamhousebrewing.com
"First Street Brewing","119 N St Joseph Ave",,Hastings,NE,68901-7553,"(402) 834-2400",micro,http://www.firststreetbrewing.com
"Flyover Brewing Co","1824 Broadway",,Scottsbluff,NE,69361-2458,"(616) 322-4564",brewpub,http://www.flyoverbrewingco.com
"Gottberg Brew Pub","2804 13th St",,Columbus,NE,68601-4919,"(402) 562-6488",brewpub,http://www.dustersrestaurant.com
"Granite City Food & Brewery (#16)","1001 N 102nd St",,Omaha,NE,68114-2155,"(402) 393-5000",brewpub,http://www.gcfb.net
"Granite City Food & Brewery (#7)","6200 O St",,Lincoln,NE,68510-2240,"(402) 466-1900",brewpub,http://www.gcfb.net
"Green Flash Brewing Co","1630 P St",,Lincoln,NE,68508-1644,,brewpub,
"Hanging Horseshoe Brewing Company","73892 332 Ave",,Imperial,NE,69033-,"(308) 882-7772",micro,
"Infusion Brewing Company","6115 Maple St",,Omaha,NE,68104-4043,"(402) 934-2064",micro,http://www.infusionbrewing.com
"Infusion Brewing Company","6271 S 118th St",,Omaha,NE,68137-3574,"(402) 934-2064",micro,http://www.infusionbrewing.com
"Jaipur Restaurant and Brewpub","10922 Elm St",,Omaha,NE,68144-4822,"(402) 392-7331",brewpub,http://www.jaipurbrewhouse.com
"JGR Enterprises Inc",,,Omaha,NE,68135-6215,"(402) 861-0174",planning,
"Johnnie Byrd Brewing Company","121 N Pearl St",,Wayne,NE,68787,"(402) 833-1522",micro,http://www.johnniebyrd.beer
"Jukes Ale Works LLC",,,Elkhorn,NE,68022,"(402) 305-4905",planning,
"Kinkaider Brewing Co","43860 Paulsen Rd",,"Broken Bow",NE,68822-7120,"(308) 872-8348",micro,http://www.kinkaiderbrewing.com
"Kros Strain Brewing Company","10411 Portal Rd, Ste 102",,LaVista,NE,68128-5527,"(402) 779-7990",micro,http://www.krosstrainbrewing.com
"Lazlo's Brewery & Grill - Haymarket","210 N 7th St",,Lincoln,NE,68508-1301,"(402) 434-5636",brewpub,
"Lazy Horse Brewing","211 Road 20",,Ohiowa,NE,68416-3005,"(402) 314-5266",brewpub,http://lazyhorsebrewing.com
"Loop Brewing Co","404 W A St",,"Mc Cook",NE,69001-3516,"(308) 345-5198",brewpub,http://www.loopbrewingcompany.com
"Lost Way Brewery","614 3rd Ave",,Holdrege,NE,68949-2701,"(308) 995-0503",micro,http://www.lostwaybrewery.com
"Lucky Bucket Brewing Co","11941 Centennial Rd Ste 1",,"La Vista",NE,68128-5623,"(402) 763-8868",micro,http://www.luckybucketbrewing.com
"Midwest Hop Producers LLC",,,Plattsmouth,NE,68048-7233,"(402) 296-0633",planning,http://www.midwesthopproducers.com
"Nebraska Brewing Co - La Vista","6950 S 108th St",,"La Vista",NE,68128-5701,"(402) 934-0950",micro,
"Nebraska Brewing Co - Papillion","7474 Towne Center Pkwy Ste 101 Shadow Lake Towne Center",,Papillion,NE,68046-4805,"(402) 934-7100",brewpub,http://www.nebraskabrewingco.com
"Pals Brewing Company","4520 South Buffalo Bill Avenue",,"North Platte",NE,69101,"(608) 807-9332",brewpub,http://www.palsbrewingcompany.com
"Pint Nine Brewing Company","10411 Portal Rd Ste 104","Omaha, NE |",,,,"(402) 359-1418",micro,http://www.pintninebrewing.com
"Prairie Pride Brewery","115 E South Front St",,"Grand Island",NE,68801-5917,"(308) 850-5375",micro,http://www.prairiepride.beer
"Red Iron Brewing Company",,,Lincoln,NE,68502,"(402) 812-6242",planning,http://www.redironbrewing.com
"SchillingBridge Winery & Microbrewery","62193 710th Rd",,"Pawnee City",NE,68420-3584,"(402) 852-2400",brewpub,http://www.schillingbridgewinery.com
"Scratchtown Brewing Company","141 S 16th St",,Ord,NE,68862-1415,"(308) 728-5050",micro,http://www.scratchtownbrewingcompany.com
"Scriptown Brewing Company","3922 Farnam St Blackstone District",,Omaha,NE,68131-3014,"(402) 991-0506",micro,http://www.scriptownbrewing.com
"Soaring Wings Brewing","17111 S 138th St",,Springfield,NE,68059-4810,"(402) 253-2479",micro,http://www.soaringwingswine.com
"Steeple Brewing Co","717 W 1st St",,Hastings,NE,68901,"(402) 519-4205",micro,http://www.steeplebrewing.com
"Thunderhead Brewing Co","18 E 21st St",,Kearney,NE,68847-5402,"(308) 237-1558",brewpub,http://www.thunderheadbrewing.com
"Upstream Brewing Co (#1)","514 S 11th St",,Omaha,NE,68102-2808,"(402) 344-0200",brewpub,http://www.upstreambrewing.com
"Vis Major Brewing Co","3501 Center St",,Omaha,NE,68105-2423,"(402) 884-4082",brewpub,http://www.vismajorbrewing.com
"White Elm Brewing Co","720 Van Dorn St",,Lincoln,NE,68502-3353,"(402) 261-6078",micro,http://www.whiteelmbrewing.com
"Zipline Brewing Co","2100 Magnum Cir Ste 1",,Lincoln,NE,68522-1027,"(402) 475-1001",micro,http://www.ziplinebrewing.com
