name,address1,address2,city,state,zip,phone,type,url
1westbrewing,,,"Las Vegas",NV,89130-1618,"(619) 820-2265",planning,
"Able Baker Brewing","10807 Intro Ave",,"Las Vegas",NV,89135-1773,"(702) 581-7742",micro,http://www.ablebakerbrewing.com
"Alibi Ale Works","204 E Enterprise St",,"Incline Village",NV,89451-9456,"(775) 298-7001",micro,http://www.alibialeworks.com
"Ancient Brewing",,,"Las Vegas",NV,89123-5830,"(702) 419-3441",planning,
"Bad Beat Brewing","7380 Eastgate Rd Ste 110",,Henderson,NV,89011-4012,70227987876,micro,http://www.badbeatbrewing.com
"Banger Brewing Co","450 Fremont St Ste 135",,"Las Vegas",NV,89101-5649,"(702) 456-2739",micro,http://www.bangerbrewing.com
"Barley's Casino and Brewing Co","4500 E Sunset Rd Ste 30",,Henderson,NV,89014-2253,"(702) 458-2739",brewpub,http://www.wildfire.sclv.com/barleys
"Battle Born® Beer","100 N Arlington Ave Ste 100",,Reno,NV,89501-1233,"(818) 317-3128",contract,http://battleborn.beer
"Big Dog's Brewing Co","4547 N Rancho Dr Ste A",,"Las Vegas",NV,89130-3432,"(702) 368-3715",brewpub,http://www.bigdogsbrews.com
"BJs Restaurant & Brewery - Reno","13999 S Virginia St",,Reno,NV,89511-8917,"(775) 853-7575",brewpub,http://www.bjsbrewhouse.com
"Boulder Dam Brewing Co","453 Nevada Hwy",,"Boulder City",NV,89005-2424,"(702) 243-2739",brewpub,http://www.boulderdambrewing.com
"Brasserie Saint James","901 S Center St",,Reno,NV,89501-2307,"(775) 348-8888",brewpub,http://www.brasseriesaintjames.com
"Brew Brothers/Eldorado Hotel and Casino","345 N Virginia St",,Reno,NV,89501-1136,"(775) 786-5700",brewpub,http://www.eldoradoreno.com
"Brewery In Planning - Henderson",,,Henderson,NV,89052,,planning,
"Brewery In Planning - Las Vegas",,,"Las Vegas",NV,89144-4473,,planning,
"Brewery In Planning - Las Vegas",,,"Las Vegas",NV,89130-1401,,planning,
"Brewery In Planning - Las Vegas",,,"Las Vegas",NV,89129,,planning,
"Brewery In Planning - Las Vegas NV",,,"Las Vegas",NV,89117-2302,,planning,
"Brewery in Planning - Reno",,,Reno,NV,89523-9620,,planning,
"Brewery In Planning - Reno",,,Reno,NV,89508-8809,,planning,
"Brewery In Planning - Reno",,,Reno,NV,89523,,planning,
