name,address,city,state,zip,phone,type,url
"5 Mile Brewing",,"Wildwood ",NJ,08260,"(609) 780-4475",planning,http://5milebrewing.com
"902 Brewing Co","902 Washington St.",Hoboken,NJ,07030-5106,,contract,http://www.902brewing.com
"Angry Erik Brewing","10 Millpond Dr Unit 8",Lafayette,NJ,07848-3825,"(862) 432-9003",micro,http://www.angryerik.com
"Anheuser-Busch Inc – Newark","200 US Highway 1",Newark,NJ,07114-2298,"(973) 645-7700",large,http://www.anheuser-busch.com
"Artisan's Brewery & Italian Grill","1171 Hooper Ave","Toms River",NJ,08753-8305,"(732) 244-7566",brewpub,http://www.artisanstomsriver.com
"Asbury Park Brewery",,"Asbury Park",NJ,07712,"(732) 455-5571",planning,http://asburyparkbrewery.com
"Asbury Park Community Brewery",,"Asbury Park",NJ,07712,"(609) 602-0268",planning,
"Backward Flag Brewing","699 Challenger Way","Forked River",NJ,08731-5917,,micro,http://www.backwardflagbrewing.com
"Beach Haus Brewery","801 Main St",Belmar,NJ,07719-2705,"(732) 202-7782",micro,http://www.beachhausbeer.com
"Belford Brewing Company","84 Leonardville Rd",Belford,NJ,07718-1144,"(732) 769-7168",micro,http://www.belfordbrewing.com
"Berlin Brewing Company","220 S White Horse Pike",Berlin,NJ,08009-1902,,micro,http://www.berlinbrewco.com
Birravino,"183 Riverside Ave","Red Bank",NJ,07701-1015,"(732) 842-5990",brewpub,http://www.birravino.com
"Boak Brewing Co","262 Wanaque Ave Rear","Pompton Lakes",NJ,07442-2116,"(973) 570-6381",contract,http://www.boaks.com
"Bolero Snort Brewery","65 Railroad Ave","Ridgefield Park",NJ,07660-1321,"(201) 819-3527",contract,http://www.bolerosnort.com
"Bonesaw Brewing Co.",,Glassboro,NJ,08028,"(856) 816-3709",planning,http://www.bonesawbrewing.com
"Brewery In Planning - Bogota",,Allendale,NJ,07401-2233,,planning,http://www.gentlegiantbrewing.com
"Brewery In Planning - Broomfield",,,,,,planning,
"Brewery in Planning - Hamilton",,"Hamilton ",NJ,08619,,planning,
"Brewery in Planning - Jersey City",,"Jersey City",NJ,07305,"(201) 626-6660",planning,
"Brewery in Planning - Logan Twp",,"Logan Twp",NJ,08085,"(856) 294-9545",planning,
"Brewery In Planning - Mahwah",,Mahwah,NJ,07430-1233,,planning,
"Brewery in Planning - Morristown",,Morristown,NJ,07960,"(908) 670-0196",planning,
"Brewery in Planning - Mt Laurel",,"Mt Laurel",NJ,08054,"(856) 906-7245",planning,
"Brewery In Planning - Pitman NJ",,,,,,planning,
"Brewery In Planning - Princeton",,,,,,planning,
"Brewery in Planning - Stockton",,Stockton,NJ,08559,"(267) 864-6627",planning,http://www.oddbirdbrewing.com
"Brewery in Planning - waretown",,waretown,NJ,08758,,planning,
"Brewery In Planning - Whitehouse Station",,,,,,planning,
"Brewery In Planning- Chandler, AZ.",,Kingston,NJ,85286,,planning,
"Brewery In Planning- Nutley, NJ.",,,,,,planning,
"Brix City Brewing","4 Alsan Way","Little Ferry",NJ,07643-1001,,micro,
"Buck Hill Brewery and Restaurant",,Blairstown,NJ,07825,"(973) 600-8236",planning,
"Bulkhead Brewing Company",,,,,,planning,
"Cape May Brewing Company","1288 Hornet Rd","Rio Grande",NJ,08242-2210,"(609) 849-9933",micro,http://www.capemaybrewery.com
"Carton Brewing Co","6 E Washington Ave","Atlantic Highlands",NJ,07716-1230,"(732) 654-2337",micro,
CBRE,,"Saddle Brook",NJ,07663,"(201) 712-5647",planning,http://www.cbre.com
"Climax Brewing Co","112 Valley Rd","Roselle Park",NJ,07204-1402,"(908) 620-9585",micro,http://www.climaxbrewing.com
"Conclave Brewing","15 Minneakoning Rd Ste 202",Flemington,NJ,08822-5750,"(908) 392-0893",micro,http://www.conclavebrewing.com
"Cricket Hill Brewing Co. Inc.","24 Kulick Rd",Fairfield,NJ,07004,"(973) 276-9415",micro,http://www.crickethillbrewery.com
"Cypress Brewing Company","30 Nixon Lane, Unit E",Edison,NJ,08837,,micro,http://www.cypressbrewing.com
"Czig Meister Brewing Co.",,Blairstown,NJ,07825-4000,,planning,
"Dark City Brewing Company","801 Second Ave","Asbury Park",NJ,07712-5944,"(732) 455-3792",micro,http://www.darkcitybrewing.com
"Demented Brewing Co.","600 Lincoln Blvd",Middlesex,NJ,08846-2443,,micro,http://www.dementedbrewing.com
"Departed Soles Brewing","150 Bay Street, Commercial Side Suite 2A","Jersey City",NJ,07302-2900,"(201) 479-8578",micro,http://www.departedsoles.com
"Double Nickel Brewing Company","1585 NJ-73","Pennsauken Township",NJ,08110,"(856) 356-2499",micro,http://www.doublenickelbrewingcompany.com
"East Fifth Brewing Company",,Manasquan,NJ,08736-1814,,planning,
"Egan & Sons","118 Walnut St",Montclair,NJ,07042-3852,"(973) 744-1413",contract,http://www.eganandsons.com
"Flounder Brewing Co","1 Ilene Ct Ste 8 Ste 16",Hillsborough,NJ,08844-1916,"(908) 396-6166",micro,http://www.flounderbrewing.com
"Fluyds Brewing",,Lumberton,NJ,08048,"(609) 923-9120",planning,
"Flying Fish Brewing Co","900 Kennedy Blvd",Somerdale,NJ,08083-1031,"(856) 489-0061",regional,http://www.flyingfish.com
"Forgotten Boardwalk Brewing","1940 Olney Ave Ste 100","Cherry Hill",NJ,08003,"(856) 437-0709",micro,http://www.forgottenboardwalk.com
"Garden State Beer Company","247 E. White Horse Pike",Galloway,NJ,08205,"(609) 232-2337",micro,http://www.gardenstatebeerco.com
"Gaslight Brewery and Restaurant","15 S Orange Ave","South Orange",NJ,07079-1716,"(973) 762-7077",brewpub,http://www.gaslightbrewery.com
"Glasstown Brewing","10 Peterson St",Millville,NJ,08332-4818,"(856) 327-7770",micro,http://www.glasstownbrewingco.com
"Gotham Project",,,,,,planning,
"Harvest Moon Brewery/Cafe","392 George St","New Brunswick",NJ,08901-2018,"(732) 249-6666",brewpub,http://www.harvestmoonbrewery.com
"Hidden Sands Brewing Company LLC",,"Egg Harbor Township",NJ,08234-3807,,planning,http://www.aibrew.com
"Hidden Sands Brewing Company, LLC",,"Egg Harbor Township",NJ,08234-3807,"(609) 910-2009",planning,http://www.hiddensands.com
"High Point Brewing Co, Inc.","22 Park Pl",Butler,NJ,07405-1377,"(973) 838-7400",micro,http://www.ramsteinbeer.com
"HistoryQuest, LLC",,Morristown,NJ,07960,"(973) 206-1594",planning,
"Icarus Brewing Company",,Lakewood,NJ,08701,,planning,http://www.icarusbrewing.com
"Iron Hill Brewery & Restaurant","124 E Kings Hwy Ste 301","Maple Shade",NJ,08052-5405,"(856) 273-0300",brewpub,
"Iron Hill Brewery & Restaurant - Voorhees","13107 Town Center Blvd",Voorhees,NJ,08043-2668,"(302) 888-2739",brewpub,http://www.ironhillbrewery.com
"J.J. Bitting Brewing Co.","33 Main St",Woodbridge,NJ,07095-3335,"(732) 634-2929",brewpub,http://www.njbrewpubs.com
"Jersey Girl Brewing Company","426 Sand Shore Rd",Hackettstown,NJ,07840-5535,"(908) 591-4186",micro,http://www.jerseygirlbrewing.com
"Kane Brewing","1750 Bloomsbury Ave",Ocean,NJ,07712-3941,"(732) 922-8600",micro,http://www.kanebrewing.com
"Knight\'s Brewing",,Hamilton,NJ,08620,,planning,http://www.knights-brewing.com
