name,address1,address2,city,state,zip,phone,type,url
"13th Child Brewery","345 S Main St",,Williamstown,NJ,08094,"(609) 214-2289",micro,
"2nd Act Beer","18 N Salem St",,Dover,NJ,07801,"(862) 244-3932",contract,http://www.2ndact.beer
"7 Mile Brewery","3156 Route 9 South Ste 1-2",,"Rio Grande",NJ,08242,"(609) 365-7777",micro,http://www.7milebrew.com
"Angry Erik Brewing","10 Millpond Dr Unit 8",,Lafayette,NJ,07848-3825,"(862) 432-9003",micro,http://www.angryerik.com
"Artisan Owl Brewing Company",,,"Ocean City",NJ,08226-4237,"(215) 740-2057",planning,
"Artisan's Brewery & Italian Grill","1171 Hooper Ave",,"Toms River",NJ,08753-8305,"(732) 244-7566",brewpub,http://www.artisanstomsriver.com
"Asbury Park Brewery","810 Sewall Ave",,"Asbury Park",NJ,07712-6527,"(732) 455-5571",micro,http://www.asburyparkbrewery.com
"Ashton Brewing Company",,"Morris County, NJ",,,,"(908) 303-5455",planning,http://ashtonbrewing.com
"Atco Brewing LLC","302 White Horse Pike",,Atco,NJ,08004-2209,"(609) 707-2628",micro,http://www.atcobrewingcompany.com
"Axe And Arrow Brewery",,,Glassboro,NJ,08028,,planning,
"Backman Brewing Company",,,"Whitehouse Station",NJ,08889-3562,,planning,http://backmanbrewing.com
"Backward Flag Brewing","699 Challenger Way Ste D5",,"Forked River",NJ,08731-5917,,micro,http://www.backwardflagbrewing.com
"Beach Haus Brewery","801 Main St",,Belmar,NJ,07719-2705,"(732) 202-7782",micro,http://www.beachhausbeer.com
"Belford Brewing Company","84 Leonardville Rd",,Belford,NJ,07718-1144,"(732) 769-7168",micro,http://www.belfordbrewing.com
"Berlin Brewing Company","220 S White Horse Pike",,Berlin,NJ,08009-1902,"(856) 336-2038",micro,http://www.berlinbrewco.com
Birravino,"183 Riverside Ave",,"Red Bank",NJ,07701-1015,"(732) 842-5990",brewpub,http://www.birravino.com
"Bolero Snort Brewery","65 Railroad Ave",,"Ridgefield Park",NJ,07660-1321,"(201) 819-3527",contract,http://www.bolerosnort.com
"Bonesaw Brewing Co.","570 Mullica Hill Road",,Glassboro,NJ,08028,"(856) 243-5464",micro,http://www.bonesawbrewing.com
"Bradley Brew Project","714 Main St",,"Bradley Beach",NJ,07720-1013,"(732) 455-804",micro,http://www.bradleybrew.com
"Brewery in Planning - Asbury, NJ",,,Asbury,NJ,08802,"(908) 892-4603",planning,
"Brewery in Planning - Basking Ridge",,,"Basking Ridge",NJ,07920-1102,,planning,
"Brewery In Planning - Milwaukee",,,Rutherford,NJ,07070-0895,,planning,
"Brewery In Planning - Philadelphia",,,Southampton,NJ,08088-9062,,planning,
"Brinx Jones Brewery","613 E Landis Ave",,Vineland,NJ,08360,"(856) 405-6993",micro,http://www.brinxjones.com
"Brix City Brewing","4 Alsan Way",,"Little Ferry",NJ,07643-1001,"(201) 440-0865",micro,http://www.brixcitybrewing.com
"Brooks Brewery / Northside Lounge","100 Brooks Blvd",,"Manville ",NJ,08835,"(908) 722-7712",brewpub,http://www.northsidelounge.com
"Brotherton Brewing Company","340 Forked Neck Rd",,Shamong,NJ,08088,"(609) 801-2686",micro,http://www.brothertonbrewing.com
"Buck Hill Brewery and Restaurant","45 Route 94",,Blairstown,NJ,07825,"(908) 854-5300",brewpub,http://www.buckhillbrewery.com
"Bucket Brigade Brewery","205 N Main St",,"Cape May Court House",NJ,08210-2121,"(609) 778-2641",micro,http://www.bucketbrigadebrewery.com
"Cape May Brewing Company","409 Breakwater Rd",,"Cape May",NJ,08204-4537,"(609) 849-9933",micro,http://www.capemaybrewery.com
"Cape May Brewing Company - Rio Grande","409 Breakwater Road",,"Cape May",NJ,08204,"(609) 849-9933",micro,http://www.capemaybrewery.com
"Carton Brewing Co","6 E Washington Ave",,"Atlantic Highlands",NJ,07716-1230,"(732) 654-2337",micro,http://www.cartonbrewing.com
"Castle Point Brewery","200 Garden St C/O Red Bridge Homes",,Hoboken,NJ,07030-3793,"(918) 532-8525",contract,http://www.castlepointbrewery.com
"Climax Brewing Co","112 Valley Rd",,"Roselle Park",NJ,07204-1402,"(908) 620-9585",micro,http://www.climaxbrewing.com
"Cold Spring Brewery","733 Seashore Rd",,"Cape May",NJ,08204-4634,"(609) 854-3077",micro,http://www.hcsv.org
"Common Sense Brewing","102 Farnsworth Ave",,Bordentown,NJ,08505-1308,"(609) 526-8651",micro,http://www.commonsensebrewing.com
"Conclave Brewing","15 Minneakoning Rd Ste 202",,Flemington,NJ,08822-5750,"(908) 392-0893",micro,http://www.conclavebrewing.com
"Craftwerk Orange Brewing Company",,,"West Orange",NJ,07052-2513,"(201) 248-2021",planning,http://www.craftwerkorange.com
"Cricket Hill Brewing Co. Inc.","24 Kulick Rd",,Fairfield,NJ,07004-3308,"(973) 276-9415",micro,http://www.crickethillbrewery.com
"Cross Keys Brewing Co","1038 N Main St",,Williamstown,NJ,08094-3161,"(856) 906-6481",micro,http://www.ckbcbeer.com
"Cypress Brewing Company","30 Nixon Ln Unit E",,Edison,NJ,08837-3844,"(732) 243-9565",micro,http://www.cypressbrewing.com
"Czig Meister Brewing Co.","106 Valentine St",,Hackettstown,NJ,07840-2156,"(201) 874-7342",micro,http://www.czigmeisterbrewing.com
"Dark City Brewing Company","801 Second Ave",,"Asbury Park",NJ,07712-,"(732) 455-3792",micro,http://www.darkcitybrewing.com
"Death Of The Fox","119 Berkley Rd Ste B",,Clarksboro,NJ,08020-1161,,micro,http://www.deathofthefoxbrewing.com
"Demented Brewing Co.","600 Lincoln Blvd",,Middlesex,NJ,08846-2443,"(732) 629-8260",micro,http://www.dementedbrewing.com
"Departed Soles Brewing","150 Bay Street, Commercial Side",,"Jersey City",NJ,07302-2900,"(201) 479-8578",micro,http://www.departedsoles.com
"Descendants Brewing Company","61 Bridge St",,Milford,NJ,08848-1264,,brewpub,
"Devil's Creek Brewery","1 Powell Ln",,Collingswood,NJ,08108-1945,"(856) 425-2520",micro,http://www.devilscreekbrewery.com
"Double Nickel Brewing Company","1585 Route 73",,Pennsauken,NJ,08110-1330,"(856) 356-2499",micro,http://www.dnbcbeer.com
"Eclipse Brewing","25 E Park Ave",,Merchantville,NJ,08109-2607,"(609) 320-3979",micro,
"Egan & Sons","118 Walnut St",,Montclair,NJ,07042-3852,"(973) 744-1413",contract,http://www.eganandsons.com
"Eight & Sand Beer Co","1003 N Evergreen Ave",,Woodbury,NJ,08096-,"(856) 537-1339",micro,http://www.eightandsandbeer.com
"Flounder Brewing Co","1 Ilene Ct Ste 8 Ste 16",,Hillsborough,NJ,08844-1916,"(908) 396-6166",micro,http://www.flounderbrewing.com
"Flying Fish Brewing Co","900 Kennedy Blvd",,Somerdale,NJ,08083-1031,"(856) 504-3442",regional,http://www.flyingfish.com
"Forgotten Boardwalk Brewing","1940 Olney Ave Ste 100",,"Cherry Hill",NJ,08003-2016,"(856) 437-0709",micro,http://www.forgottenboardwalk.com
"Frye Brewing","2257 Bridge Ave",,"Point Pleasant Boro",NJ,08742-4920,"(732) 604-4263",micro,http://www.fryebrewingco.com
"Garden State Beer Company","247 E White Horse Pike",,Galloway,NJ,08205-9563,"(609) 232-2337",micro,http://www.gardenstatebeerco.com
"Gaslight Brewery and Restaurant","15 S Orange Ave",,"South Orange",NJ,07079-1716,"(973) 762-7077",brewpub,http://www.gaslightbrewery.com
"Glasstown Brewing","10 Peterson St",,Millville,NJ,08332-4818,"(856) 327-7770",micro,http://www.glasstownbrewery.com
"Hackensack Brewing Company",,,Hackensack,NJ,07601-4824,,planning,
"Harvest Moon Brewery/Cafe","392 George St",,"New Brunswick",NJ,08901-2018,"(732) 249-6666",brewpub,http://www.harvestmoonbrewery.com
"Heavy Reel Brewing","613 Boulevard",,"Seaside Heights",NJ,08751,"(732) 250-2879",micro,http://www.heavyreelbrewingco.com
"Hidden Sands Brewing Company","6754 Washington Ave. Unit B",,"Egg Harbor Township",NJ,08234-3807,"(484) 319-1156",micro,http://hiddensands.com
"High Point Brewing Co, Inc.","22 Park Pl",,Butler,NJ,07405-1377,"(973) 838-7400",micro,http://www.ramsteinbeer.com
"HistoryQuest, LLC",,,Morristown,NJ,07960-5298,,planning,
"Hoboken Brewing Company","66 Harrison St",,Hoboken,NJ,07030,,contract,http://www.hobokenbrewing.beer
"Human Village Brewing Co.","148 S Broadway",,Pitman,NJ,08071-2232,"(856) 556-0639",micro,http://www.humanvillagebrewingco.com
"Icarus Brewing Company","1790 Swarthmore Ave Unit 3 Lot 2",,Lakewood,NJ,08701-4528,,micro,http://www.icarusbrewing.com
"Iron Beard Brewing",,,"Jersey City",NJ,07302-7433,,planning,
"Iron Hill Brewery & Restaurant - Maple Shade","124 East King's Hwy",,"Maple Shade",NJ,08052-5405,"(856) 273-0300",brewpub,http://www.ironhillbrewery.com
"Iron Hill Brewery & Restaurant - Voorhees","13107 Town Center Blvd",,Voorhees,NJ,08043-2668,"(302) 888-2739",brewpub,http://www.ironhillbrewery.com
"J.J. Bitting Brewing Co.","33 Main St",,Woodbridge,NJ,07095-3335,"(732) 634-2929",brewpub,http://www.njbrewpubs.com
"Jersey Girl Brewing Company","426 Sand Shore Rd Unit 1",,Hackettstown,NJ,07840-5535,"(908) 591-4186",micro,http://www.jerseygirlbrewing.com
