name,address1,address2,city,state,zip,phone,type,url
"550 Brewing","117 E Chuska",,"Aztec ",NM,87410,"(505) 486-1094",proprietor,http://www.550brew.com
"Abbey Brewing Company, LLC","PO Box 22779",,"Santa Fe",NM,87502-2779,"(505) 670-6802",micro,http://www.abbeybrewing.biz
"ABQ Brew Pub","6601 Uptown Blvd NE Ste B",,Albuquerque,NM,87110-4207,"(505) 884-1116",brewpub,http://www.abqbrewpub.com
"Back Alley Draft House","215 Central Ave NW",,Albuquerque,NM,87102,"(505) 766-6973",micro,
"Bathtub Row Brewing Co-op","163 Central Park Sq",,"Los Alamos",NM,87544-4029,,micro,
"Bistronomy B2B Craft Brewery","3118 Central Ave SE",,Albuquerque,NM,87106-2216,"(505) 262-2222",brewpub,http://www.bistronomyb2b.com
"Blue Corn Cafe","4056 Cerrillos Rd Ste G",,"Santa Fe",NM,87507-2605,"(505) 984-1800",brewpub,http://www.bluecorncafe.com
"Blue Heron Brewing","2214 New Mexico 68",,Embudo,NM,87531,"(505) 579-9188",micro,http://www.blueheronbrews.com
"Boese Brothers Brewing","601 Gold Ave SW",,Albuquerque,NM,87102-3119,"(505) 382-7060",micro,http://www.boesebrothers.com
"Bosque Brewing Co","8900 San Mateo Blvd NE Ste I",,Albuquerque,NM,87113-2459,"(555) 750-7596",micro,http://www.bosquebrewingco.com
"Bow and Arrow Brewing Co.","602 McKnight Ave NW",,Albuquerque,NM,87102-1237,"(505) 247-9800",micro,http://www.bowandarrowbrewing.com
"Boxing Bear Brewing Company","10200 Corrales Rd NW",,Albuquerque,NM,87114-9268,"(505) 897-2327",brewpub,http://www.boxingbearbrewing.com
"Brewery in Planning - Albuquerue",,,Albuquerque,NM,87108-1228,"(219) 775-0232",planning,http://highanddrybrewing.com
"Brewery in Planning - Las Cruces",,,"Las Cruces",NM,88011,"(575) 522-2356",planning,
"Brewery in Planning - Los Alamos",,,"Los Alamos",NM,87547-3829,,planning,
"Broken Trail Brewery & Distillery","2921 Stanford Dr NE",,Albuquerque,NM,87107-1813,"(505) 221-6281",micro,http://www.brokentrailspirits.com
"Canteen Brewhouse","2381 Aztec Rd NE",,Albuquerque,NM,87107-4207,"(505) 830-4629",brewpub,http://www.canteenbrewhouse.com
"Chama River Brewing Company","4939 Pan American West Fwy NE",,Albuquerque,NM,87109-2230,"(505) 342-1800",brewpub,http://www.chamariverbrewery.com
"Colfax Ale Cellar","215 S 2nd St",,Raton,NM,87740-3907,,micro,
"Comanche Creek Brewing Co","PO Box 375",,"Eagle Nest",NM,87718-0375,"(575) 377-2337",micro,http://www.comanchecreekbrewingco.com
"Corrales Bistro Brewery","4908 Corrales Rd",,Corrales,NM,87048-8613,"(505) 897-1036",brewpub,http://www.cbbistro.com
"De La Vega’s Pecan Grill and Brewery","500 S Telshor Blvd",,"Las Cruces",NM,88011-4613,"(575) 521-1099",contract,http://www.pecangrill.com
"Deep Well Brewing Co. LLC",,,Artesia,NM,88210,"(575) 513-9365",planning,
"Desert Valley Brewing Co.","2809 Broadbent Pkwy",,Albuquerque,NM,87120,"(505) 717-1985",brewpub,
"Dialogue Brewing","1501 1st St NW",,Albuquerque,NM,87102-1535,"(505) 585-1501",micro,http://www.dialoguebrewing.com
"Drylands Brewing","322 n main Ave",,Lovington,NM,88260,,brewpub,http://drylandsbrewing.com
"Duel Brewing Company","1228 Parkway Dr Ste D",,"Santa Fe",NM,87507-7319,"(505) 474-5301",brewpub,http://www.duelbrewing.com
"Enchanted Circle Brewing Company","20 Sage Ln.",,"Angel Fire",NM,87710,"(505) 507-8687",brewpub,
"Eskes Brew Pub","106 Des Georges Pl",,Taos,NM,87571-6179,"(575) 758-1517",brewpub,http://www.eskesbrewpub.com
"Flix Brewhouse","3236 La Orilla Rd NW",,Albuquerque,NM,87120-4296,"(505) 445-8500",brewpub,
"Gang Of Four, LLC",,,Albuquerque,NM,87102-3425,"(505) 366-4382",planning,
"Guadalupe Mountain Brewing Company",,,Carlsbad,NM,88220-9405,"(575) 361-7761",planning,
"High Desert Brewing Co","1201 W Hadley Ave",,"Las Cruces",NM,88005-2422,"(575) 525-6752",brewpub,http://www.highdesertbrewingco.com
"Kaktus Brewing Co.","471 South Hill Rd",,Bernalillo,NM,87004-9199,"(505) 379-5072",brewpub,http://www.kaktusbrewery.com
"Kellys Brewpub","3222 Central Ave SE",,Albuquerque,NM,87106-1458,"(505) 262-2739",brewpub,http://www.kellysbrewpub.com
"La Cumbre Brewing Co","3313 Girard Blvd NE",,Albuquerque,NM,87107-1930,"(505) 872-0225",micro,http://www.lacumbrebrewing.com
"Las Cazuelas Brewing","4051 Sara Rd SE",,"Rio Rancho",NM,87124-1031,"(505) 994-9364",brewpub,http://www.cazuelasmexicangrill.com
"Little Toad Creek Brewery & Distillery","200 N Bullard St",,"Silver City",NM,88061-5308,"(575) 536-9649",brewpub,http://www.littletoadcreek.com
