name,address1,address2,city,state,zip,phone,type,url
"12 Gates Brewing Company","80 Earhart Dr Ste 20",,Williamsville,NY,14221-7804,"(716) 906-6600",micro,http://www.12gatesbrewing.com
"1940's Brewing Company","1337 Lincoln Ave Unit 1",,Holbrook,NY,11741-2275,"(631) 533-4838",micro,http://www.1940sbrewingcompany.com
"2 Way Brewing Company","18 W Main St",,Beacon,NY,12508-2512,"(845) 202-7334",micro,http://www.2waybrewingcompany.com
"212 Brewing Company","902 Broadway Fl 6",,"New York",NY,10010-6039,,contract,
"42 North Brewing Company","25 Pine St",,"East Aurora",NY,14052-1827,"(716) 805-7500",brewpub,http://www.42northbrewing.com
"7 Sins Brewery","10593 W Main Rd",,Ripley,NY,14775-9746,"(716) 581-2090",micro,http://www.7sinsbrewery.com
"8th Ward Brewing Company",,,Poughkeepsie,NY,12603-3401,,planning,
"Abandon Brewing","2994 Merritt Hill Rd",,"Penn Yan",NY,14527-8938,"(585) 209-3276",micro,http://www.abandonbrewing.com
"Adirondack Pub and Brewery","33 Canada St",,"Lake George",NY,12845-1603,"(518) 668-0002",micro,http://www.adkpub.com
"Adirondack Toboggan Company Microbrewery","202A W Main St",,Gouverneur,NY,13642-1334,"(315) 771-6313",micro,http://www.adktoboggan.net
"Alewife NYC",,,"Long Island City",NY,11101,"(718) 937-7494",planning,http://www.alewife.beer
"Alphabet City Beer Co","96 Avenue C Frnt 4",,"New York",NY,10009-7055,,contract,http://www.acbnyc.com
"Amber Lantern Brewing Company","44 N Main St",,Warsaw,NY,14569-1326,"(585) 786-3559",brewpub,http://www.amberlanternbrewingcompany.com
"Andean Brewing","300 Corporate Dr Ste 2",,Blauvelt,NY,10913-1162,,micro,
"Anheuser-Busch Inc – Baldwinsville","2885 Belgium Rd",,Baldwinsville,NY,13027-2706,"(315) 635-4000",large,
Apex,,,"Central Valley",NY,10917-3708,"(845) 549-3006",planning,http://www.apexbeer.co
"Argyle Brewing Company","1 Main St",,Greenwich,NY,12834-1209,"(518) 338-7405",micro,http://www.argylebrewing.com
"Arrowood Farms","236 Lower Whitfield Rd",,Accord,NY,12404-5809,"(845) 253-0389",micro,http://www.arrowoodfarms.com
"Artisanal Brew Works","41 Geyser Rd",,"Saratoga Springs",NY,12866-9038,"(518) 594-2337",micro,http://www.artisanalbrewworks.com
"Aurora Ale & Lager","1891 State Route 90 N",,"King Ferry",NY,13081-9719,,micro,http://www.brewaurora.com
"Ausable Brewing Co","765 Mace Chasm Rd",,Keeseville,NY,12944-2425,"(315) 244-3295",micro,http://ausablebrewing.tumblr.com
"B9 Beverages Inc","404 5th Ave # 7.055",,"New York",NY,10018-2797,,contract,
"Bacchus Brewing","15 Ellis Dr",,Dryden,NY,13053-9630,"(607) 844-8474",micro,http://www.bacchusbrewing.com
"Baggs Square Brewing Co.",,,Poland,NY,13431-2517,,planning,
"Bandwagon Brewery","114 N. Cayuga St, Mailbox #3",,Ithaca,NY,14850-4331,"(607) 319-0699",brewpub,http://www.bandwagonbeer.com
"BarkEater Craft Brewery","5411 Shady Ave",,Lowville,NY,13367-1601,"(315) 376-2337",proprietor,http://www.barkeaterbrew.com
"Barker Brewing","1693 East Ave",,Barker,NY,14012-,"(716) 795-1023",brewpub,http://www.barkerbrewing.com
"Barnshed Brewing","100 Lauman Lane",,Hicksville,NY,11801-6574,,micro,http://www.barnswhedbrewing.com
"Barrage Brewing Co","32 Allen Blvd Ste E",,Farmingdale,NY,11735-5625,"(631) 335-7941",micro,http://www.barragebrewing.com
"Barrier Brewing Co","3001 New St Ste A2",,Oceanside,NY,11572-2747,"(516) 594-1028",micro,http://www.barrierbrewing.com
"Bashakill Vineyards & Farm Brewery","1131 South Rd",,Wurtsboro,NY,12790-7437,"(845) 888-5858",micro,"http://www,bashakillvineyards.com"
"Batavia Brewing Company",,,Batavia,NY,14020-2110,,planning,
"Battle Hill Brewing Company","4 Chase Ln",,"Fort Ann",NY,12827-,"(518) 639-1033",micro,http://www.battlehillbrewing.com
"Beerberry Corp",,,Brooklyn,NY,11235,"(718) 975-5155",planning,http://www.tapbeerny.com
"Beerwench Brewery",,,"Staten Island",NY,10301-2707,,planning,
"Bellport Brewing Company","156 Hallock Landing Road",,"Rocky Point",NY,11778-8986,"(631) 909-4457",proprietor,http://www.bellportbrewing.com
"Big Alice Brewing Company","808 43rd Rd",,"Long Island City",NY,11101-6820,"(347) 688-2337",micro,http://www.bigalicebrewing.com
"Big Ditch Brewing Company","55 E Huron St",,Buffalo,NY,14203-1632,"(716) 854-5050",brewpub,http://www.bigditchbrewing.com
"Big Slide Brewery","5686 Cascade Road",,"Lake Placid",NY,12946,"(518) 523-7844",brewpub,http://www.bigslidebrewery.com
"Big Tupper Brewing","96 Park St",,"Tupper Lake",NY,12986-1719,"(518) 359-6350",brewpub,http://www.bigtupperbrewing.com
"Binghamton Brewing Co","15 Avenue B",,"Johnson City",NY,13790-2234,"(607) 238-3448",micro,http://www.bingbrew.com
"Birdland Brewing Company","1015 Kendall St",,Horseheads,NY,14845-2216,"(607) 769-2337",micro,http://www.birdlandbrewingco.com
"Birreria @ Eataly","200 5th Ave Fl 14",,"New York",NY,10010-3302,"(212) 539-0204",brewpub,http://www.eatalyny.com
"Black Forest Brew Haus","2015 New Hwy",,Farmingdale,NY,11735-1103,"(631) 391-9500",brewpub,http://www.blackforestbrewhaus.com
"Blackburn Brewing Co","154 Grand St",,"New York",NY,10013-3141,"(646) 715-4436",micro,http://www.blackburnbrewing.com
"Blind Bat Brewery LLC, The","420 Harrison Dr",,Centerport,NY,11721-1216,"(631) 891-7909",micro,http://www.blindbatbrewery.com
"Blue Collar Brewery, Inc.","40 Cottage St",,Poughkeepsie,NY,12601-2015,"(845) 454-2739",brewpub,http://www.thebluecollarbrewery.com
"Blue Line Brewery","555 Lake Flower Ave",,"Saranac Lake",NY,12983-2465,"(518) 354-8114",brewpub,http://www.bluelinebrew.com
"Blue Point Brewing Co","161 River Ave",,Patchogue,NY,11772-3304,"(631) 475-6944",large,http://www.bluepointbrewing.com
"Bolton Landing Brewing Co.",,,"Bolton Landing",NY,12814-7757,"(914) 907-5676",planning,http://www.boltonlandingbrewing.com
"Boots Brewing Company, Inc.",,,Watertown,NY,13601-4433,"(315) 767-0794",planning,http://www.bootsbrew.com
"Bottomless Brewing, LLC","3543 E Lake Rd",,Geneva,NY,14456-,"(315) 325-4380",micro,http://www.bottomlessbrewing.com
"Bradley Farm / RB Brew, LLC","317 Springtown Rd",,"New Paltz",NY,12561-3020,"(845) 255-8769",micro,http://www.raybradleyfarm.com
"Braven Brewing Company","362 Jefferson St # 320",,Brooklyn,NY,11237-2312,"(929) 295-6673",contract,http://www.bravenbrewing.com
"Brew SA Brewing Co","180 Woodcleft Ave",,Freeport,NY,2751,"(516) 377-2751",micro,http://www.brewsa.com
"Brewery At The Culinary Institute Of America","1995 Campus Dr",,"Hyde Park",NY,12538-1430,,brewpub,
"Brewery in Planning - Astoria",,,Astoria,NY,11105-3936,,planning,
"Brewery in Planning - Ballston Lake",,,"Ballston Lake",NY,12019-1938,,planning,
"Brewery in Planning - Brooklyn",,,Brooklyn,NY,11231,"(212) 925-8775",planning,
"Brewery In Planning - Brooklyn",,,Brooklyn,NY,11222-2093,,planning,
"Brewery in Planning - Brooklyn",,,Brooklyn,NY,11218-1828,,planning,
"Brewery In Planning - Brooklyn",,,Brooklyn,NY,11216,,planning,
"Brewery in Planning - Center Moriches",,,"Center Moriches",NY,11934,"(631) 449-5310",planning,
"Brewery in Planning - Fabius",,,Fabius,NY,13063,"(315) 447-9511",planning,
"Brewery In Planning - Glenmont",,,Glenmont,NY,12077-3139,,planning,
"Brewery in Planning - Long Island City",,,"Long Island City",NY,11101-5574,"(917) 687-4204",planning,
"Brewery in Planning - Medina",,,Medina,NY,14103-9666,,planning,
"Brewery in Planning - New York",,,"New York",NY,10002,"(845) 216-9299",planning,http://www.twobridgesbrewing.com
"Brewery In Planning - New York",,", NY",,,,,planning,
"Brewery in Planning - New York",,"New York, NY TBD",,,,,planning,
"Brewery in Planning - Olivebridge",,,Olivebridge,NY,12461-5513,"(914) 261-5265",planning,
"Brewery In Planning - Oyster Bay",,,Warwick,NY,10990-3426,,planning,
"Brewery In Planning - Point Lookout",,,"Point Lookout",NY,11569,,planning,
"Brewery in Planning - Rochester",,,Rochester,NY,14609,,planning,
"Brewery in Planning - Schenectady",,,Schenectady,NY,12305,"(518) 312-0139",planning,http://www.re4ormarchitecture.com
"Brewery in Planning - Washington",,"Nyack, NY",,,,"(202) 577-6004",planning,
"Brewery Ommegang","656 County Highway 33",,Cooperstown,NY,13326-4737,"(800) 544-1809",regional,http://www.ommegang.com
"Brick House Brewery and Restaurant","67 W Main St",,Patchogue,NY,11772-3001,"(631) 447-2337",brewpub,http://www.brickhousebrewery.com
"Brickyard Brewing Company","432 Center Street",,Lewiston,NY,14092,"(716) 754-7227",brewpub,http://www.brickyardbrewingcompany.com
"Bridge And Tunnel Brewery","1535 Decatur Street",,"Ridgewood ",NY,11385,"(347) 392-8593",micro,http://www.bridgeandtunnelbrewery.com
"Brindle Haus Brewing Company",,,Spencerport,NY,14559,"(585) 507-6665",planning,http://www.brindlehausbrewing.com
"Broken Bow Brewery","173 Marbledale Rd",,Tuckahoe,NY,10707-3117,"(914) 268-0900",micro,http://www.brokenbowbrewery.com
"Brooklyn Brewery","79 N 11th St #1 Brewers Row",,Brooklyn,NY,11249-1913,"(718) 486-7422",regional,http://www.brooklynbrewery.com
"Brown's Brewing Co","417 River Street",,Troy,NY,12180,"(518) 365-4846",brewpub,http://www.brownsbrewing.com
"Brown's Brewing Co","50 Factory Hill Rd",,"North Hoosick",NY,12133,"(518) 273-2337",brewpub,http://www.brownsbrewing.com
