name,address1,address2,city,state,zip,phone,type,url
"217 Brew Works","217 South St S",,Wilson,NC,27893-4911,"(252) 991-6959",micro,
"3rd Rock Brewing Company","134 Industrial Park Dr",,Trenton,NC,28585-9593,"(252) 631-9213",micro,http://www.3rockbrew.com
"4th Floor Brewing Company",,,"Holly Springs",NC,27540-7399,"(336) 317-3520",planning,http://4thfloorbrewing.com
"Anderson Brewing Company",,,Dudley,NC,28333-8210,"(919) 273-8820",planning,http://www.andersonbrewing.com
"Andrews Brewing Co At Calaboose Cellars","565 Aquone Rd",,Andrews,NC,28901-7004,"(828) 321-2006",micro,http://www.calaboosecellars.com
"Appalachian Mountain Brewery","163 Boone Creek Dr",,Boone,NC,28607-7911,"(828) 263-1111",micro,http://www.appalachianmountainbrewery.com
"Archetype Brewing",,,Asheville,NC,28806,,planning,http://www.archetypebrewing.com
"Asheville Brewing Co","77 Coxe Ave",,Asheville,NC,28801-3621,"(828) 254-1281",brewpub,http://www.ashevillepizza.com
"Ass Clown Brewing Co","10620 Bailey Rd Ste E",,Cornelius,NC,28031-9364,"(704) 995-7767",micro,http://www.assclownbrewery.com
"Aviator Brewing Company","209 Technology Park Ln",,"Fuquay Varina",NC,27526-9311,"(919) 567-2337",regional,http://www.aviatorbrew.com
"Backstage Brewing Co",,,Clemmons,NC,27012-9003,"(336) 817-1539",planning,
"Bad Bishop Brewing",,,Mebane,NC,27302-8860,"(336) 562-1274",planning,http://www.badbishopbrewing.com/
"Barking Duck Brewing Co.","4400 Morris Park Dr. Ste O.",,"Mint Hill",NC,29227,,micro,http://barking%20duck%20brewing.com
"Basic Brewery","131 3rd Ave W",,Hendersonville,NC,28792-4313,"(828) 513-5030",micro,http://www.basicbrewery.com
"Bayne Brewing Company","19507 W Catawba Ave",,Cornelius,NC,28031-0107,"(704) 897-6426",micro,http://www.baynebrewingcompany.com
"Bear Creek Brews","10538 Nc 902 Hwy",,"Bear Creek",NC,27207-9269,"(919) 200-3930",micro,
"BearWaters Brewing Co","130 Frazier St Ste 7",,Waynesville,NC,28786-3688,"(828) 246-0602",brewpub,http://www.bwbrewing.com
"Beech Mountain Brewing Company","1007 Beech Mountain Pkwy",,"Beech Mountain",NC,28604-8018,"(800) 438-2093 x291",micro,http://www.beechmountainresort.com
"Beer Army","PO Box 3051",,"New Bern",NC,28564-3051,"(910) 554-1140",brewpub,http://beerarmy.com
"Ben's Tune-Up / Ben's Beer","195 Hilliard Ave",,Asheville,NC,28801-3616,"(828) 424-7580",,
"Bhramari Brewhouse","101 S Lexington Ave",,Asheville,NC,28801-3309,"(828) 214-7981",brewpub,http://www.bhramaribrewhouse.com
"Big Boss Brewing Co","1249 Wicker Dr Ste A",,Raleigh,NC,27604-1683,"(919) 834-0045",micro,http://www.bigbossbrewing.com
"Bill's Front Porch Pub and Brewery","4238 Market St",,Wilmington,NC,28403-1409,"(910) 762-6333",brewpub,http://www.billsfrontporch.com
"Biltmore Brewing Company","1 N Pack Sq C/O Biltmore Winery Estates",,Asheville,NC,28801-3462,"(800) 411-3812",proprietor,http://www.biltmore.com
"Birdsong Brewing Co.","1016 N Davidson St",,Charlotte,NC,28206-3371,"(704) 332-1810",micro,http://www.birdsongbrewing.com
"Blind Squirrel Brewery","4716 South US Highway 19 E Suite B",,Plumtree,NC,28664-0173,"(828) 765-2739",micro,http://www.blindsquirrelbrewery.com
"Blowing Rock Brewing Company","152 Sunset Dr",,"Blowing Rock",NC,28605-7205,"(828) 414-9600",brewpub,http://www.blowingrockbrewing.com
