name,address,city,state,zip,phone,type,url
"Brewery In Planning - Fargo",,,,,,planning,
"Brewery in Planning - Williston",,Williston,ND,58801,"(701) 577-1100",planning,
"Buffalo Commons Brewing Company","2307 Memorial Hwy",Mandan,ND,58554-4624,"(701) 595-2255",micro,
"Drekker Brewing Company","630 1st Ave N Ste 6",Fargo,ND,58102-5268,,micro,http://www.drekkerbrewing.com
"Edwinton Brewing Co",,,,,"(701) 224-1596",micro,http://www.edwinton.com
"Fargo Brewing Co","610 University Dr N",Fargo,ND,58102-4342,"(701) 478-2337",micro,http://www.fargobrewing.com
"Flatland Brewery",,"West Fargo",ND,58078-8002,,planning,http://www.flatlandbrewery.com
"Granite City Food & Brewery (#3)","1636 42nd St SW",Fargo,ND,58103-3324,"(701) 293-3000",brewpub,http://www.gcfb.net
"Kilstone Brewing","764 34th Street North Suite R",Fargo,ND,58102,,micro,
"Laughing Sun Brewing","107 N 5th St",Bismarck,ND,58501-4026,"(701) 400-9750",micro,http://www.laughingsunbrewing.com
"Prairie Brothers Brewing",,Fargo,ND,58102-2645,"(701) 212-2857",planning,
"Rhombus Guys Brewing Co","116 S 3rd St","Grand Forks",ND,58201-4784,,brewpub,http://www.rhombusguysbrewing.com
"Souris River Brewing","32 3rd St NE",Minot,ND,58703-3108,"(701) 837-1884",brewpub,http://www.sourisriverbrewing.com
