name,address1,address2,city,state,zip,phone,type,url
"13 Below Brewery","7391 Forbes Road",,Cincinnati,OH,45233-1013,"(513) 975-0613",micro,http://www.13belowbrewery.com
"1487 Brewery","8480 Jersey Mill Rd",,Alexandria,OH,43001-9790,,micro,
"16 Lots Brewing","753 Reading Road",,Mason,OH,45040,"(513) 486-3672",brewpub,http://www.16lots.com
"17th State Brewing Company",,"Cleveland, OH",,,,,contract,http://www.17statebrewco.com
"2 Tones Brewing Co.",,,Whitehall,OH,43213-1308,,micro,http://www.2tonesbrewingco.com
"4kd Crick Brewery","211 Carpenter Rd",,Defiance,OH,43512-1718,"(419) 956-2863",brewpub,http://www.4kdcrickbrewery.com
"Actual Brewing Company, LLC","655 N James Rd",,Columbus,OH,43219-1837,614MENFUCK,micro,http://wwww.actualbeer.com
"Akronym Brewing LLC",,,Akron,OH,4430,"(330) 620-8274",planning,http://www.akronymbrewing.com
"Alematic Artisan Ales",,,"Huber Heights",OH,45424,"(937) 612-2337",planning,http://www.alematicbrewing.com
"Amusement Ales and Brewery",,,Sandusky,OH,44870-2507,"(419) 341-1987",planning,
"Anheuser-Busch Inc – Columbus","700 Schrock Rd",,Columbus,OH,43229-1123,"(614) 888-6644",large,
"Aqueduct Brewing","529 Grant St Ste 106",,Akron,OH,44311-1184,"(330) 606-6583",micro,http://www.aqueductbrewing.shutterfly.com
"Bad Tom Smith Brewing","4720 Eastern Ave",,Cincinnati,OH,45226-1893,"(513) 871-4677",micro,http://www.badtomsmithbrewing.com
"Bad Tom Smith Brewing - Cleveland","1836 W 25th St",,Cleveland,OH,44113,,brewpub,
"Barley's Brewing Company (Ale House No. 1)","467 N High St",,Columbus,OH,43215-2007,"(614) 228-2537",brewpub,http://www.barleysbrewing.com
"Big Ash Brewing Company",,,Cincinnati,OH,45244,"(513) 307-9688",planning,http://www.bigashbrewing.com
"Biker Brew House","5700 Interstate Blvd",,Austintown,OH,44515-1170,,micro,http://www.bikerbrewhouse.com
"BirdFish Brewing Co","16 S Main St",,Columbiana,OH,44408-1348,"(330) 333-9385",micro,http://www.birdfishbrew.com
"Black Box Brewing Co","24945 Detroit Rd",,Westlake,OH,44145-2554,"(440) 871-0700",micro,http://www.jwdover.com
"Black Cloister Brewing Co","619 Monroe St",,Toledo,OH,43604-1015,"(419) 214-1500",brewpub,http://www.blackcloister.com
"Black Frog Brewing Co","831 S McCord Rd",,Holland,OH,43528-6604,,micro,http://www.blackfrogbrewery.com
"Boss Dog Brewing","2179 Lee Rd",,Cleveland,OH,44118-2907,"(216) 600-9831",brewpub,http://www.bossdogbrewing.com
"Boston Beer Co - DBA Samuel Adams Brewing Co","1625 Central Pkwy",,Cincinnati,OH,45214-2423,"(617) 368-5000",regional,http://www.samadams.com
"Bostyan Brewery",,,Dayton,OH,45415-2546,,planning,
"BottleHouse Brewery","13368 Madison Ave",,Lakewood,OH,44107-4840,"(216) 214-2120",micro,http://www.thebottlehousebrewingcompany.com
"Bowling Green Beer Works","322 N Grove St Ste C",,"Bowling Green",OH,43402-2322,"(512) 299-2101",micro,
"Brausch Brewery","1030 S South St",,Wilmington,OH,45177-2924,"(937) 302-2337",micro,
"Breaking Point Brewery","1540 Middleton Rd",,"Cleveland Heights",OH,44121-1706,"(216) 235-7411",micro,
"Brew Kettle - Production Works","20102 Progress Dr",,Strongsville,OH,44136,,micro,
"Brew Kettle, Taproom and Smokehouse, The","8377 Pearl Rd",,Strongsville,OH,44136-1637,"(440) 239-8788",brewpub,http://www.thebrewkettle.com
"BrewDog Brewing Company, LLC","96 Gender Rd",,"Canal Winchester",OH,43110-7539,,brewpub,http://www.brewdog.com
"Brewery 33 Hocking Hills, LLC","12684 College Prospect Dr",,Logan,OH,43138-8983,,micro,
"Brewery In Planning - Bethel",,,Bethel,OH,45106-8228,"(513) 658-0002",planning,
"Brewery In Planning - Cincinnati",,"Cincinnati, OH",,,,,planning,
"Brewery in Planning - Cincinnati",,,Cincinnati,OH,45245,"(585) 576-7169",planning,
"Brewery in Planning - Cincinnati",,,Cincinnati,OH,45244-1094,,planning,
"Brewery in Planning - Cincinnati",,,Cincinnati,OH,45211-4423,,planning,
"Brewery in Planning - Cincinnati",,,Cincinnati,OH,45202-7191,"(513) 604-4527",planning,
"Brewery In Planning - Cleveland",,,Cleveland,OH,44102-1542,,planning,
"Brewery in Planning - Cuyahoga Falls",,,"Cuyahoga Falls",OH,44221,,planning,
"Brewery in Planning - Dublin",,,Dublin,OH,43016-8696,"(815) 236-6393",planning,
"Brewery In Planning - Hillard",,,Hilliard,OH,43026-8145,,planning,
"Brewery In Planning - Lakewood",,,Lakewood,OH,44107-3309,"(216) 262-0740",planning,http://pedestrian.beer
"Brewery in Planning - Lockland",,,Lockland,OH,45215,,planning,
"Brewery in Planning - Miami County",,,"Miami County",OH,45373,,planning,
"Brewery in Planning - Newark",,,Newark,OH,43055-6722,"(740) 404-4646",planning,
"Brewery In Planning - Pensacola",,,Hilliard,OH,43026-7511,,planning,
"Brewery in Planning - Upper Arlington",,,"Upper Arlington ",OH,43221,,planning,
"Brewery In Planning - Wadsworth",,,Wadsworth,OH,44281,,planning,
"Brewery in Planning - Waynesville",,,Waynesville,OH,45068-7004,"(947) 581-3539",planning,
"Brewery In Planning - Worthington, OH.",,,Columbus,OH,43085,,planning,
