name,address,city,state,zip,phone,type,url
"(405) Brewing Co","1716 Topeka St",Norman,OK,73069,"(405) 816-0490",micro,http://www.405brewing.com
"Anthem Brewing Co","908 SW 4th St","Oklahoma City",OK,73109-1012,"(405) 604-0446",micro,http://www.anthembrewing.com
"Battered Boar Brewing Co","PO Box 6652",Edmond,OK,73083-6652,"(405) 254-5000",micro,http://www.batteredboar.com
"Belgian Bear Brewery",,Stonewall,OK,74871,,planning,
"Belle Isle Restaurant and Brewing Co","1900 NW Expressway Ste 44","Oklahoma City",OK,73118-1832,"(405) 840-1911",brewpub,http://www.okclive.com/belleisle
"Black Mesa Brewing Company","1354 W Sheridan Ave","Oklahoma City",OK,73106-5234,"(405) 367-7569",proprietor,http://www.blackmesabrewing.com
"Brewery in Planning - Edmond",,Edmond,OK,73012,"(405) 615-2495",planning,http://www.thomasgrowers.com
"Brewery in Planning - Oklahoma City",,"Oklahoma City",OK,73116,,planning,
"Brewery in Planning - oklahoma city",,"oklahoma city",OK,73172,,planning,
"Brewery in Planning - Tulsa",,Tulsa,OK,74135,"(918) 720-5999",planning,
"Bricktown Brewery","1 N Oklahoma Ave","Oklahoma City",OK,73104-2413,"(405) 232-2739",brewpub,http://www.bricktownbrewery.com
"Buckmaster Brewing Company",,Tuttle,OK,73089-2422,"(405) 664-0698",planning,http://www.buckmasterbrewery.com
"Choc Beer Co","PO Box 66 120 SW Eighth St",Krebs,OK,74554-0066,"(918) 423-2042",micro,http://www.petes.org
"COOP Ale Works","4745 Council Heights Rd","Oklahoma City",OK,73179-4600,"(405) 842-2667",micro,http://www.coopaleworks.com
"DEEDZ Brewco",,,,,,planning,
"Elk Valley Brewing",,"Oklahoma City",OK,73110,,planning,
"Huebert Brewing Co.","421 SW 26th St","Oklahoma City",OK,73109-6712,"(405) 634-6528",micro,http://www.huebertbrewing.com
"Indian Brewing Co.","333 w dallas st","Broken Arrow",OK,74012,"(918) 269-0563",contract,
"Lake Texoma Lodge And Resort","3263 US 70",Mead,OK,73449,"(580) 931-0100",brewpub,http://laketexomalodge.com/brewery
"Land Run Craft Brewing Co.",,"El Reno",OK,73036-1019,"(405) 626-7176",planning,http://bret@landrunwinery.com
"Marshall Brewing Co, LLC","618 S Wheeling Ave",Tulsa,OK,74104-3214,"(918) 743-8668",micro,http://www.marshallbrewing.com
"Mustang Brewing Co","520 N Meridian Ave","Oklahoma City",OK,73107-5723,"(405) 943-0100",micro,http://www.mustangbrewing.com
"Prairie Artisan Ales","1803B S 49th W Ave",Tulsa,OK,74107-2201,"(918) 949-4318",micro,http://www.prairieales.com
"Red Dirt Brewing Co",,Tuttle,OK,73089,"(405) 823-1632",planning,
"Renaissance Brewing Co",,Tulsa,OK,74159-0400,,planning,http://www.renaissancebeer.com
"Roughtail Brewing","1279 N Air Depot Blvd","Oklahoma City",OK,73110-3333,,micro,http://www.roughtailbeer.com
"Royal Bavaria Brewhouse, Restaurant and Biergarten","3401 S Sooner Rd",Moore,OK,73165-7218,"(405) 799-7666",brewpub,http://royal-bavaria.com
"Scissortail Brewing Co.",,Bartlesville,OK,74003,,planning,http://www.facebook.com/scissortailbrew
"Springloaded Brewery",,"Sand Springs",OK,74063-6551,"(918) 241-2337",planning,http://www.springloadedbrewery.com
"Stillwater Brewing Co",,,,,,planning,
"Stonecloud Brewing Co.",,Stillwater,OK,74074-1307,,planning,
"Twisted Spike Brewery",,Edmond,OK,73034,,planning,http://www.twistedspikebrewery.com
