name,address1,address2,city,state,zip,phone,type,url
"(405) Brewing Co","1716 Topeka St",,Norman,OK,73069-8224,"(405) 816-0490",micro,http://www.405brewing.com
"American Solera","1801 S 49th West Ave",,Tulsa,OK,74107-2201,"(918) 949-4318",micro,http://www.americansolera.com
"Angry Scotsman Brewing",,,"Oklahoma City",OK,73162-6628,"(405) 334-7208",planning,http://www.angryscotbrew.com
"Anthem Brewing Co","908 SW 4th St",,"Oklahoma City",OK,73109-1012,"(405) 604-0446",micro,http://www.anthembrewing.com
"Battered Boar Brewing Co","14700 Metro Plaza Blvd Ste F",,Edmond,OK,73013-1991,"(405) 254-5000",micro,http://www.batteredboar.com
"Beavers Bend Brewery","46 Coho Rd",,"Broken Bow",OK,74728-6765,"(580) 494-3455",micro,http://www.beaversbendbrewery.com
"Belgian Bear Brewery",,,Stonewall,OK,74871,,planning,
"Belle Isle Restaurant and Brewing Co","1900 NW Expressway Ste 44",,"Oklahoma City",OK,73118-1832,"(405) 840-1911",brewpub,http://www.okclive.com/belleisle
"Black Mesa Brewing Company","13724 Calistoga Dr",,"Oklahoma City",OK,73170,"(405) 408-1848",proprietor,http://www.blackmesabrewing.com
"Brewery in Planning - Ardmore",,,Ardmore,OK,73401-6315,,planning,
"Brewery in Planning - Edmond",,,Edmond,OK,73012-0601,"(405) 615-2495",planning,http://www.thomasgrowers.com
"Brewery in Planning - Norman",,,Norman,OK,73071-7502,"(405) 826-6923",planning,
"Brewery in Planning - Oklahoma City",,,"Oklahoma City",OK,73116-3430,,planning,
"Brewery in Planning - oklahoma city",,,"Oklahoma City",OK,73142-3330,"(918) 260-1010",planning,http://www.kochendorferbrewco.com
"Brewery in Planning - Oklahoma City",,"Oklahoma City, OK N/A",,,,,planning,
"Brewery in Planning - Oklahoma city",,,"Oklahoma city",OK,73142,"(405) 819-0002",planning,
"Brewery in Planning - Tulsa",,,Tulsa,OK,74135-1830,"(918) 720-5999",planning,
"Bricktown Brewery","1 N Oklahoma Ave",,"Oklahoma City",OK,73104-2413,"(405) 232-2739",brewpub,http://www.bricktownbrewery.com
"Buckmaster Brewing Company",,,Tuttle,OK,73089-2422,"(405) 664-0698",planning,http://www.buckmasterbrewery.com
"Cabin Boys Brewery",,,Catoosa,OK,74015-2351,"(918) 809-4203",planning,http://cabinboysbrewery.com
"Choc Beer Co","PO Box 66 120 SW Eighth St",,Krebs,OK,74554-0066,"(918) 302-3002",micro,http://www.petes.org
"COOP Ale Works","4745 Council Heights Rd",,"Oklahoma City",OK,73179-4600,"(405) 842-2667",micro,http://www.coopaleworks.com
"Dead Armadillo Brewery","1004 E 4th St",,Tulsa,OK,74120-3222,"(918) 232-8627",micro,http://www.dabrewery.com
"DEEDZ Brewco",,"Atoka, OK",,,,,planning,
"Elk Valley Brewing",,,"Oklahoma City",OK,73110,,planning,
"Frenzy Brewing Company",,,Edmond,OK,73003-6250,"(405) 922-5437",planning,
"Hanson Brothers Beer Company","209 N Main St",,Tulsa,OK,74103-2005,,contract,
"Huebert Brewing Co.","421 SW 26th St",,"Oklahoma City",OK,73109-6712,"(405) 634-6528",micro,http://www.huebertbrewing.com
"Indian Brewing Co.",,,"Broken Arrow",OK,74011-6101,"(918) 852-5228",planning,http://indianbrewingcompany.com
"Iron Monk Brewing Company","519 S Husband St",,Stillwater,OK,74074-4031,"(405) 714-2585",micro,http://www.ironmonkbeer.com
"Lake Texoma Lodge And Resort","3263 US 70",,Mead,OK,73449-5020,"(405) 640-4830",brewpub,http://laketexomalodge.com
"Land Run Craft Brewing Co.",,,"El Reno",OK,73036-1019,"(405) 626-7176",planning,
"Marshall Brewing Co, LLC","618 S Wheeling Ave",,Tulsa,OK,74104-3214,"(918) 292-8781",micro,http://www.marshallbrewing.com
"Mountain Fork Brewery","85 N Lukfata Trail Rd",,"Broken Bow",OK,74728-7025,,micro,http://www.mountainforkbrewery.com
"Mustang Brewing Co","520 N Meridian Ave",,"Oklahoma City",OK,73107-5723,"(405) 943-0100",micro,http://www.mustangbrewing.com
"Prairie Artisan Ales","1803B S 49th West Ave",,Tulsa,OK,74107-,"(918) 949-4318",micro,http://www.prairieales.com
"Red Dirt Brewing Co",,,"Oklahoma City",OK,73120-5133,"(405) 823-1632",planning,
"Renaissance Brewing Co","PO Box 4400",,Tulsa,OK,74159-0400,,contract,
"Roughtail Brewing","1279 N Air Depot Blvd",,"Oklahoma City",OK,73110-3333,"(405) 771-6517",micro,http://www.roughtailbeer.com
"Royal Bavaria Brewhouse, Restaurant and Biergarten","3401 S Sooner Rd",,Moore,OK,73165-7218,"(405) 799-7666",brewpub,http://royal-bavaria.com
"Scissortail Brewing Co.",,,Bartlesville,OK,74003-7154,"(918) 694-9948",planning,http://www.scissortailbrew.com
"Springloaded Brewery",,,"Sand Springs",OK,74063-6551,"(918) 241-2337",planning,http://www.springloadedbrewery.com
"Stonecloud Brewing Co.",,,"Oklahoma City",OK,73106-,"(405) 269-3811",planning,
"Twisted Spike Brewery","904 Stonehenge Dr",,Edmond,OK,73034-6472,,micro,
"Vanessa House Beer Company","516 NW 21st St",,"Oklahoma City",OK,73103-1808,"(405) 826-2629",micro,http://www.vanessahousebeerco.com
