name,address,city,state,zip,phone,type,url
"10 Barrel Brewing Co","62970 18th St",Bend,OR,97701-9847,"(541) 585-1007",large,http://www.10barrel.com
"10 Barrel Brewing Co","1411 NW Flanders St",Portland,OR,97209-2620,"(541) 585-1007",large,http://www.10barrel.com
"1188 Brewing Co","141 E Main St","John Day",OR,97845-1210,"(541) 575-1188",brewpub,http://www.1188brewing.com
"13 Virtues Brewing Co","6410 SE Milwaukie Ave",Portland,OR,97202-5518,"(503) 239-3831",brewpub,http://www.13virtuesbrewing.com
"3 Sheets Brewing Company",,,,,"(541) 619-0183",micro,http://www.facebook.com/3sheetsbrewery
"7 Devils Brewing Co","249 S 2nd St","Coos Bay",OR,97420-1642,"(541) 808-3738",brewpub,http://www.7devilsbrewery.com
"Agrarian Ales, LLC","31115 W Crossroads Ln",Eugene,OR,97408-9220,,micro,http://www.agales.com
"Alameda Brewing Co","4765 NE Fremont St",Portland,OR,97213-1724,"(503) 460-9025",micro,http://www.alamedabrewing.com
"Alameda Brewing Co","4736 SE 24th Ave",Portland,OR,97202-4787,"(503) 460-9025",micro,
"AleSong Brewing and Blending","1000 Conger St. Unit C",Eugene,OR,97402,,micro,http://www.alesongbrewing.com
"Ambacht Brewing","1060 NE 25th Ave Ste B",Hillsboro,OR,97124-4903,"(503) 828-1400",micro,http://www.ambacht.us
"Arch Rock Brewing Co","28779 Hunter Creek Loop","Gold Beach",OR,97444-9626,"(541) 247-0555",micro,http://www.archrockbrewingcompany.com
"Arlington Club","811 SW Salmon St",Portland,OR,97205-3094,"(503) 223-4141",micro,http://www.thearlingtonclub.com
"Astoria Brewery Company","1196 Marine St",Astoria,OR,97103-4112,"(503) 325-6975",brewpub,
"Back Pedal Brewing Company","1425 NW Flanders St",Portland,OR,97209-2620,"(971) 400-5950",micro,http://www.facebook.com/backpedalpdx
"Backside Brewing Co","1640 NE Odell Ave",Roseburg,OR,97470-3320,"(541) 580-1906",brewpub,http://www.backsidebrewingco.com
"Badland Brewery",,Bend,OR,97702,"(602) 686-7750",planning,
