name,address1,address2,city,state,zip,phone,type,url
"10 Barrel Brewing Co","62970 18th St",,Bend,OR,97701-9847,"(541) 585-1007",,http://www.10barrel.com
"10 Barrel Brewing Co","1411 NW Flanders St",,Portland,OR,97209-2620,"(503) 224-1700",,http://www.10barrel.com
"10 Barrel Brewing Co","1135 NW Galveston Ave Ste B",,Bend,OR,97703-2465,"(541) 585-1007",,
"10 Barrel Brewing Co - Bend Pub","62950 NE 18th St",,Bend,OR,97701,"(541) 585-1007",,
"1188 Brewing Co","141 E Main St",,"John Day",OR,97845-1210,"(541) 575-1188",,http://www.1188brewing.com
"13 Virtues Brewing Co","6410 SE Milwaukie Ave",,Portland,OR,97202-5518,"(503) 239-3831",,http://www.13virtuesbrewing.com
"3 Sheets Brewery","2115 NW 20th Loop",,Albany,OR,97321-1106,"(541) 619-0183",,http://www.3sheetsbrewery.com
"7 Devils Brewing Co","247 S 2nd St",,"Coos Bay",OR,97420-1642,"(541) 808-3738",,http://www.7devilsbrewery.com
"Agrarian Ales, LLC","31115 W Crossroads Ln",,Eugene,OR,97408-9220,"(541) 632-3803",,http://www.agales.com
"Alameda Brewing Co","4765 NE Fremont St",,Portland,OR,97213-1724,"(503) 460-9025",,http://www.alamedabrewing.com
"Alameda Brewing Co","4736 SE 24th Ave",,Portland,OR,97202-4787,"(503) 460-9025",,
"Alesong Brewing and Blending","1000 Conger St Ste C",,Eugene,OR,97402-2950,"(541) 972-3303",,http://www.alesongbrewing.com
"Allegory Brewing","777 NE 4th St",,McMinnville,OR,97128-4502,"(971) 373-1253",,http://www.allegorybrewing.com
"Ambacht Brewing","1060 NE 25th Ave Ste B",,Hillsboro,OR,97124-4903,"(503) 828-1400",,http://www.ambacht.us
"Ancestry Brewery","20585 SW 115th Ave",,Tualatin,OR,97062-6857,"(503) 706-0448",,http://www.ancestrybrewing.com
"Arch Rock Brewing Co","28779 Hunter Creek Loop",,"Gold Beach",OR,97444-9626,"(541) 247-0555",,http://www.archrockbrewingcompany.com
"Arlington Club","811 SW Salmon St",,Portland,OR,97205-3094,"(503) 223-4141",,http://www.thearlingtonclub.com
"Assembly brewing",,,Portland,OR,97206-3739,"(503) 729-9080",,http://www.assemblybrewingco.com
"Astoria Brewing Company","1196 Marine Dr",,Astoria,OR,97103-4112,"(503) 741-3040",,
"Back Pedal Brewing Company","1425 NW Flanders St",,Portland,OR,97209-2620,"(971) 400-5950",,http://backpedalbrewing.com
"Backside Brewing Co","1640 NE Odell Ave",,Roseburg,OR,97470-3320,"(541) 580-1906",,http://www.backsidebrewingco.com
"Baerlic Brewing Co","2235 SE 11th Ave",,Portland,OR,97214-5303,"(503) 477-9418",,http://www.baerlicbrewing.com
"Baker City Brewing Co","PO Box 767",,"Baker City",OR,97814-0767,"(541) 523-2337",,http://www.barleybrowns.com
"Bandon Brewing Company","395 2nd St SE",,Bandon,OR,97411-9605,"(541) 347-3911",,http://www.bandonbrewingco.com
"Barley Browns Brewpub","2190 Main St",,"Baker City",OR,97814-2655,"(541) 523-4266",,http://www.barleybrowns.com
"Barley Sprouts Brewery","639 SE 223rd Ave",,Gresham,OR,97030-2509,"(503) 758-6464",,http://www.capturedbyporches.com
"Barsideous Brewing Co","644 S Main St",,Lebanon,OR,97355-3337,"(541) 570-1789",,http://www.barsideousbrewing.com
"Base Camp Brewing Co","930 SE Oak St",,Portland,OR,97214-1307,"(503) 477-7479",,http://www.basecampbrewingco.com
"Beer Valley Brewing Co","937 SE 12th Ave",,Ontario,OR,97914-4473,"(541) 881-9088",,http://www.beervalleybrewing.com
"Bend Brewing Co","1019 NW Brooks St",,Bend,OR,97703-2018,"(541) 383-1599",,http://www.bendbrewingco.com
"Bent Shovel Brewing","21678 S Latourette Rd",,"Oregon City",OR,97045-9453,"(503) 898-0220",,http://www.bentshovelbrewing.com
"Bevel Craft Brewing",,,Bend,OR,97701-4924,"(831) 345-1922",,http://www.bevelbeer.com
"Bier One Brewing","424 SW Coast Hwy",,Newport,OR,97365-4930,"(541) 265-4630",,http://www.bier-one.com
"Bierly Brewing @ Eats and Treats","1644 Main St",,Philomath,OR,97370-9237,"(541) 257-5126",,
"Big Horse Brewpub","115 State St",,"Hood River",OR,97031-2315,"(541) 386-4411",,http://www.bighorsebrewpub.com
"Bill's Tavern and Brewhouse","188 N Hemlock St",,"Cannon Beach",OR,97110-3037,"(503) 436-2202",,http://www.billstavernandbrewhouse.com
"Bine Valley Brewing","2027 25th St SE",,Salem,OR,97302-1130,"(760) 224-9889",,http://www.binebrews.com
"Block 15","300 SW Jefferson Ave",,Corvallis,OR,97333-4607,"(541) 758-2077",,
"Block 15 Brewery & Tap Room","3415 SW Deschutes St",,Corvallis,OR,97333-9283,"(541) 752-2337",,http://www.block15.com
"Boneyard Beer Co","37 NW Lake Pl Ste B",,Bend,OR,97703-2971,"(541) 323-2325",,
"Boneyard Beer Co","63097 Plateau Dr",,Bend,OR,97701,"(541) 323-2325",,http://www.boneyardbeer.com
"Boring Brewing Co","29300 SE Haley Rd, Ste B",,Boring,OR,97009,"(503) 427-8619",,http://www.boringbrewing.com
"Boring Brewing Co., LLC","29300 SE Haley Road",,Boring,OR,97009,"(503) 427-8619",,http://boring%20brewing.com
"Breakside Brewery","820 NE Dekum St",,Portland,OR,97211-3630,"(503) 719-6475",,http://www.breakside.com
"Breakside Brewery & Taproom","5821 SE International Way",,Milwaukie,OR,97222-4633,"(503) 719-6475",,http://www.breakside.com
"Breakside Brewery Slabtown","1570 NW 22nd Ave",,Portland,OR,97210-2369,"(503) 444-7597",,http://breakside.com
"Brewed By Gnomes","1735 SE 33rd Ave",,Portland,OR,97214-5024,,,
"Brewers Union Local 180","PO Box 739",,Oakridge,OR,97463-0739,"(541) 782-2024",,http://www.brewersunion.com
"Brewery 26","5546 NE Mason St",,Portland,OR,97218-2175,"(503) 754-2250",,http://www.brewery26.com
"Brewery In Planning - Bend",,,Bend,OR,97702-2783,,,
"Brewery In Planning - Eugene",,,Eugene,OR,97401-7004,,,
"Brewery in Planning - Eugene",,,Eugene,OR,97401-5318,,,
"Brewery in Planning - Florence, OR",,,Florence,OR,97439-8708,"(541) 999-3109",,
"Brewery In Planning - Portland",,,Portland,OR,97213,,,
"Bricktowne Brewing Co","111 E 8th St",,Medford,OR,97501-7201,"(541) 973-2377",,http://www.bricktownebeer.com
"Bridge 99 Brewery","63063 Layton Ave",,Bend,OR,97701-7087,"(541) 280-1690",,
"BridgePort Brewing Co","1318 NW Northrup St",,Portland,OR,97209-2808,"(503) 241-7179",,http://www.bridgeportbrew.com
Bunsenbrewer,"16506 362nd Dr",,Sandy,OR,97055-9279,"(503) 308-3150",,http://www.bunsenbrewer.com
"Buoy Beer Company","1 8th St",,Astoria,OR,97103-4506,"(503) 325-4540",,http://www.buoybeer.com
"Burnside Brewing Co","701 E Burnside St",,Portland,OR,97214-1218,"(503) 208-3476",,http://www.burnsidebrewco.com
"Calapooia Brewing Co / Siletz Ales","140 NE Hill St",,Albany,OR,97321-3002,"(541) 928-1931",,http://www.calapooiabrewing.com
"Caldera Brewing Co","590 Clover Ln",,Ashland,OR,97520-3709,"(541) 482-4677",,http://www.calderabrewing.com
"Cascade Brewing","7424 SW Beaverton Hillsdale Hwy",,Portland,OR,97225-2149,"(503) 296-0110",,http://www.cascadebrewing.com
"Cascade Brewing Barrel House","939 SE Belmont St",,Portland,OR,97214-2519,"(503) 265-8603",,http://www.cascadebrewing.com
"Cascade Brewing Blending House","6700 SW 111th Ave",,Beaverton,OR,97008-5336,"(503) 366-0730",,http://www.cascadebrewing.com
"Cascade Lakes Brewing Co","2141 SW 1st St",,Redmond,OR,97756-7131,"(541) 923-3110",,http://www.cascadelakes.com
"Chatoe Rogue Farmstead Brewery","3590 Wigrich Rd",,Independence,OR,97351-9708,"(503) 838-9813",,http://www.rogue.com
"Chehalem Valley Brewery","2515 Portland Rd Ste B",,Newberg,OR,97132-1940,"(971) 832-8131",,http://www.chehalemvalleybrewery.com
"Chetco Brewing Company","830 Railroad St",,Brookings,OR,97415,"(541) 661-5347",,http://www.chetcobrew.com
"Claim 52 Brewing","1030 Tyinn St Ste 1",,Eugene,OR,97402-6933,"(541) 554-6786",,
"Climate City Brewing Co.","509 SW G St",,"Grants Pass",OR,97526-2472,"(541) 479-3725",,http://www.climatecitybrewing.com
"Coalition Brewing Co","2705 SE Ankeny St Ste C",,Portland,OR,97214-1817,"(503) 894-8080",,http://www.coalitionbrewing.com
"Coin Toss Brewing Co","14210 Fir St Ste H",,"Oregon City",OR,97045-6837,"(503) 305-6220",,http://www.cointossbrewing.com
"Coldfire Brewing","263 Mill St",,Eugene,OR,97401-2410,"(541) 636-3889",,http://www.coldfirebrewing.com
"Columbia River Brewing Co","1728 NE 40th Ave",,Portland,OR,97212-5306,"(503) 943-6157",,http://www.columbiariverbrewpub.com
"Common Block Brewing Company",,,Medford,OR,97501,"(541) 326-2277",,http://www.commonblockbrewing.com
"Conner Fields Brewing","121 SW H St",,"Grants Pass",OR,97526-2505,"(541) 508-2337",,http://www.connerfields.com
"Conversion Brewing","833 S Main St",,Lebanon,OR,97355-3211,"(541) 259-2337",,http://www.conversionbrewingcompany.com
"Cooper Mountain Ale Works","15855 SW Kestrel Ct",,Beaverton,OR,97007-9200,"(503) 580-7175",,http://www.coopermountainaleworks.com
"Craft Kitchen and Brewery","62988 Layton Ave Ste 103",,Bend,OR,97701-6692,"(541) 668-1766",,http://www.craftkitchenandbrewery.com
"Crowing Hen",,,Carlton,OR,97111-9668,"(503) 852-0037",,
"Crux Fermentation Project","50 SW Division St",,Bend,OR,97702-1600,"(541) 388-7558",,http://www.cruxfermentation.com
"Crux Fermentation Project - Crux2","63065 18th St",,Bend,OR,97701-9981,,,
"Culmination Brewing Co","2117 NE Oregon St Ste 600",,Portland,OR,97232-2796,"(971) 254-9114",,http://www.culminationbrewing.com
"DAMARKOM, INC.",,,Seaside,OR,97138-5803,,,
"De Garde Brewing","6000 Blimp Blvd Ste A",,Tillamook,OR,97141-8043,"(503) 815-1635",,http://www.degardebrewing.com/
"Deception Brewing Company","1174 SW Highway 99W",,Dundee,OR,97115,"(971) 832-8054",,http://www.deceptionbrewingco.com
"Deep Space Brewing / Out of This World Pizza","6255 NE Century Blvd",,Hillsboro,OR,97124-8621,"(503) 629-8700",,
"Deluxe Brewing Co","PO Box 3358",,Albany,OR,97321-0713,"(541) 928-7699",,http://www.deluxebrewing.com
"Deschutes Brewery","901 SW Simpson Ave",,Bend,OR,97702-3118,"(541) 385-8606",,http://www.deschutesbrewery.com
"Deschutes Brewery & Public House","1044 NW Bond St",,Bend,OR,97703-2002,"(541) 382-9242",,http://www.deschutesbrewery.com
"Deschutes Brewery & Public House","210 NW 11th Ave",,Portland,OR,97209-2929,"(503) 296-4906",,http://www.deschutesbrewery.com
"Dirt Road Brewing",,,Corvallis,OR,97330-3005,"(541) 598-4221",,http://dirtroadbrewing.com
"Double Mountain Brewery","8 4th St Ste 204",,"Hood River",OR,97031-2123,"(541) 387-0042",,http://www.doublemountainbrewery.com
"Dragon's Gate Brewery","52288 Sunquist Rd",,"Milton Freewater",OR,97862-6856,"(541) 215-2622",,http://www.dragonsgatebrewery.com
"Draper Brewing","7752 Highway 42",,Tenmile,OR,97481-9755,"(541) 580-5585",,http://www.draperbrewing.com
"Drinking Horse Brewing Company","11517 SE Highway 212",,Clackamas,OR,97015-9053,"(503) 564-8165",,http://www.drinkinghorsebeer.com
"Ecliptic Brewing","825 N Cook St",,Portland,OR,97227-1503,"(503) 265-8002",,http://www.eclipticbrewing.com
"Elk Horn Brewery","686 E Broadway",,Eugene,OR,97401-3340,"(541) 505-8356",,http://www.elkhornbrewery.com
"Evasion Brewing - Production Facility","4230 NE Riverside Dr",,McMinnville,OR,97128-8403,"(503) 835-5322",,http://www.evasionbrewing.com
"Ex Novo Brewing Co","2326 N Flint Ave",,Portland,OR,97227-1905,"(503) 894-8251",,http://www.exnovobrew.com
"Falling Sky Brewing","1334 Oak Aly",,Eugene,OR,97401-3190,"(541) 505-7096",,http://www.fallingskybrewing.com
"Fearless Brewing Co","326 S Broadway St",,Estacada,OR,97023-7000,"(503) 630-2337",,http://www.fearless.beer
"Feckin Brewery","415 S McLoughlin Blvd",,"Oregon City",OR,97045-3101,"(503) 880-5608",,http://www.fecknbrew.com
"Fire On the Mountain Brewing Co","3443 NE 57th Ave",,Portland,OR,97213-3351,"(503) 894-8973",,http://www.portlandwings.com
"Flat Tail Brewing Co","202 SW 1st St",,Corvallis,OR,97333-4727,"(541) 758-2229",,http://www.flattailcorvallis.com
"FlyBoy Brewing","15630 Boones Ferry Rd Ste 1A",,"Lake Oswego",OR,97035-3455,"(503) 908-1281",,http://www.flyboybeer.com
"Fort George Brewery","1483 Duane St",,Astoria,OR,97103-3819,"(503) 325-7468",,http://www.fortgeorgebrewery.com
"Freebridge Brewing","710 E 2nd St Ste 1",,"The Dalles",OR,97058-2400,"(541) 769-1234",,http://www.freebridgebrewing.com
"Full Sail Brewery - Riverplace","0307 SW Montgomery St",,Portland,OR,97201-5125,"(503) 222-5343",,http://www.fullsailbrewing.com
"Full Sail Brewing Co","506 Columbia St",,"Hood River",OR,97031-2000,"(541) 386-2281",,http://www.fullsailbrewing.com
"Funhouse Brews","7717 N Emerald Ave Unit A",,Portland,OR,97217-6111,"(314) 753-2669",,http://www.funhousebrews.com
"G Man Brewery / G-Man Sports Bar","18799 SW Martinazzi Ave",,Tualatin,OR,97062-6808,"(503) 310-5159",,http://www.hotseatsportsbar.com
"Gateway Brewing, Inc","114 NE 133rd Ave",,Portland,OR,97230-2528,"(503) 975-9103",,http://gatewaybrewingpdx.com
"Gigantic Brewing Co","5224 SE 26th Ave",,Portland,OR,97202-4627,"(503) 208-3416",,http://www.giganticbrewing.com
"Gilgamesh Brewing Co","2065 Madrona Ave SE",,Salem,OR,97302-1010,"(970) 201-4409",,http://gilgameshbrewing.com
"Golden Valley Brewery and Pub","980 NE 4th St",,McMinnville,OR,97128-4308,,,
"Good Earth Brewing",,,Terrebonne,OR,97760-9709,"(559) 860-9998",,http://www.goodearthbrewing.com
"GoodLife Brewing Company","70 SW Century Ave 100-464",,Bend,OR,97701,"(541) 728-0749",,http://www.goodlifebrewing.com
"Grain Station Brew Works","755 NE Alpine Ave Ste 200",,McMinnville,OR,97128-4102,"(503) 687-2739",,http://www.grainstation.com
"Great Notion Brewing","2204 NE Alberta St Ste 101",,Portland,OR,97211-5885,"(503) 548-4491",,http://www.greatnotionpdx.com
"Grixsen Brewing Co","1001 SE Division St Ste 1",,Portland,OR,97202-1076,"(971) 347-3100",,http://www.grixsen.com
"Ground Breaker Brewing","715 SE Lincoln St",,Portland,OR,97214-4600,"(503) 928-4195",,http://www.harvesterbrewing.com
"Hair of the Dog Brewing Co","61 SE Yamhill St",,Portland,OR,97214-2134,"(503) 232-6585",,http://www.hairofthedog.com
"Heater Allen Brewery","907 NE 10th Ave",,McMinnville,OR,97128-4003,"(503) 472-4898",,http://www.heaterallen.com
"Hermiston Brewing Co","125 N 1st St",,Hermiston,OR,97838-1850,"(541) 289-7415",,
"Hondo's Brew and Cork Pub","2703 Marine Dr",,Astoria,OR,97103-2900,"(503) 325-2234",,http://www.hondosbrew.net
"Hop Cycle Brewing Company",,,Banks,OR,97106-9213,"(503) 277-0997",,http://www.hopcyclebrewing.com
"Hop Valley Brewing Co","990 W 1st Ave",,Eugene,OR,97402-4904,,,
"Hop Valley Brewing Co","980 Kruse Way",,Springfield,OR,97477-1073,"(541) 744-3330",,http://www.hopvalleybrewing.com
"Hopworks Urban Brewery","2944 SE Powell Blvd",,Portland,OR,97202-2054,"(503) 232-4677",,http://www.hopworksbeer.com
"Immersion Brewing","550 SW Industrial Way",,Bend,OR,97702-1084,"(541) 633-7821",,http://www.imbrewing.com
"JD's Sports Pub and Brewery","690 Redwood Hwy",,"Grants Pass",OR,97527-5582,"(541) 471-0383",,http://www.jdssportsbarandbrewery.com
"Kaiser Brewing Company, LLC","1607 Hawthorne St",,"Forest Grove",OR,97116-2537,"(503) 412-9628",,http://www.kaiserbrewingco.com
"Kells Brew Pub","210 NW 21st Ave",,Portland,OR,97209-1004,"(503) 719-7175",,http://kellsbrewpub.com
"Klamath Basin Brewing Co","1320 Main St",,"Klamath Falls",OR,97601-5914,"(541) 273-5222",,http://www.kbbrewing.com
"Kobold Brewing","245 SW 6th St",,Redmond,OR,97756-2108,"(541) 678-3884",,http://www.koboldbrewing.com
"Krauski's Brewskis / The Hoppy Brewer","328 N Main Ave",,Gresham,OR,97030-7210,"(503) 328-8474",,http://www.oregonshoppyplace.com
LABrewatory,"670 N Russell St",,Portland,OR,97227-1728,"(971) 271-8151",,http://www.thelabrewatory.com
"Laurelwood Public House & Brewery - SE Portland","6716 SE Milwaukie Ave",,Portland,OR,97202-5618,"(503) 943-6157",,
"Laurelwood Public House and Brewery - NE","5115 NE Sandy Blvd",,Portland,OR,97213-2525,"(503) 282-0622",,http://laurelwoodbrewingco.com
"Leikam Brewing",,"Portland, OR",,,,"(503) 230-9636",,http://www.leikambrewing.com
"Level Beer","5211 NE 148th Ave",,Portland,OR,97230-3434,"(503) 714-1222",,http://www.levelbeer.com
"Little Beast Brewing","3800 SW Cedar Hills Blvd Ste 300E",,Beaverton,OR,97005-2037,"(503) 329-5107",,http://www.littlebeastbrewing.com/
"Logsdon Farmhouse Ales","4785 Booth Hill Rd",,"Hood River",OR,97031-7411,"(541) 490-9161",,http://www.farmhousebeer.com
"Lompoc Brewing, LLC/ The 5th Quadrant","3901 N Williams Ave Ste B",,Portland,OR,97227-1465,"(503) 288-3996",,http://www.newoldlompoc.com/5thquadranthome.html
"Long Brewing LLC",,,Newberg,OR,97132-7217,"(503) 349-8341",,http://www.longbrewing.com
"Look Long Brewing Company","6550 N Interstate Ave",,Portland,OR,97217-4836,"(503) 286-0343",,http://www.looklongbrewingcompany.com
"Lookingglass Brewery","192 Dillard Hwy",,Winston,OR,97496,"(541) 378-8565",,http://www.lookingglassbrewery.com
"Lucky Labrador Beer Hall","1945 NW Quimby St",,Portland,OR,97209-1712,"(503) 517-4352",,http://www.luckylab.com
"Lucky Labrador Brewpub","915 SE Hawthorne Blvd",,Portland,OR,97214-3545,"(503) 236-3555",,http://www.luckylab.com
"Madcow Brewing Co.","206 SE 166th Ave",,Portland,OR,97233-4202,,,http://www.madcowbrewing.com
"Manifest Beer Company","740 Willamette St",,Eugene,OR,97401-2934,"(541) 206-7232",,http://www.manifestbeer.com
"Max's Fanno Creek Brew Pub","12562 SW Main St",,Portland,OR,97223-6195,"(503) 624-9400",,http://www.maxsfannocreek.com
"Mazama Brewing Co","33930 SE Eastgate Cir Unit A",,Corvallis,OR,97333-2272,1-(541)-230-1810,,http://www.mazamabrewing.com
"McKenzie Brewing Company","199 E 5th Ave",,Eugene,OR,97401-8715,"(541) 686-2739",,http://www.steelheadbrewery.com
"McMenamins - Cedar Hills","2885 SW Cedar Hills Blvd",,Beaverton,OR,97005-1343,"(503) 641-0151",,
"McMenamins Breweries","430 N Killingsworth St",,Portland,OR,97217-2441,"(503) 223-0109",,http://www.mcmenamins.com
"McMenamins Concordia Brewery at Kennedy School","5736 NE 33rd Ave",,Portland,OR,97211-7302,"(503) 288-1937",,http://www.mcmenamins.com
"McMenamins Cornelius Pass Roadhouse","4045 NE Cornelius Pass Rd",,Hillsboro,OR,97124-9367,"(503) 640-6174",,http://www.mcmenamins.com
"McMenamins Crystal Ballroom Brewery","1332 W Burnside St",,Portland,OR,97209-2612,"(503) 778-5625",,http://www.mcmenamins.com
"McMenamins Edgefield Brewery","2126 SW Halsey St",,Troutdale,OR,97060-1026,"(503) 667-4352",,http://www.mcmenamins.com
"McMenamins Fulton Pub and Brewery","0618 SW Nebraska St",,Portland,OR,97239-3556,"(503) 246-4363",,http://www.mcmenamins.com
"McMenamins High Street Brewery","1243 High St",,Eugene,OR,97401-3207,"(541) 345-4913",,http://www.mcmenamins.com
"McMenamins Highland Pub and Brewery","4225 SE 182nd Ave",,Gresham,OR,97030-5082,"(503) 665-3015",,http://www.mcmenamins.com
"McMenamins Hillsdale Brewery and Public House","1505 SW Sunset Blvd",,Portland,OR,97239-2625,"(503) 293-1753",,http://www.mcmenamins.com
"McMenamins John Barleycorns","14610 SW Sequoia Pkwy",,Tigard,OR,97224-7185,"(503) 684-6253",,http://www.mcmenamins.com
"McMenamins Lighthouse Brewery","4157 NW Highway 101 Ste 117",,"Lincoln City",OR,97367-5050,"(541) 994-9628",,http://www.mcmenamins.com
"McMenamins Murray & Allen","6179 SW Murray Blvd",,Beaverton,OR,97008-4421,"(503) 526-9618",,http://www.mcmenamins.com
"McMenamins Oak Hills Brewery","14740 NW Cornell Rd Ste 80",,Portland,OR,97229-5400,"(503) 645-0117",,http://www.mcmenamins.com
"McMenamins Old Church Brewery","30340 SW Boones Ferry Rd",,Wilsonville,OR,97070-,"(503) 427-2505",,http://www.mcmenamins.com/wilsonville
"McMenamins Old St. Francis School","700 NW Bond St",,Bend,OR,97703-2702,"(541) 382-5174",,http://www.mcmenamins.com
"McMenamins on Monroe","2001 NW Monroe Ave Ste 106",,Corvallis,OR,97330-5567,"(541) 758-0880",,
"McMenamins Roseburg Station Brewery","700 SE Sheridan St",,Roseburg,OR,97470-3470,"(541) 672-1934",,http://www.mcmenamins.com
"McMenamins Thompson Brewery","3575 Liberty Rd S",,Salem,OR,97302-5621,"(503) 371-2945",,http://www.mcmenamins.com
"McMenamins West Linn Brewery","2090 8th Ave",,"West Linn",OR,97068-4612,"(503) 656-2935",,http://www.mcmenamins.com
"Mia and Pias Pizzeria/Brewhouse","3545 Summers Ln",,"Klamath Falls",OR,97603-7411,"(541) 884-4880",,
"Migration Brewing Co","2828 NE Gilsan St",,Portland,OR,97232,"(503) 206-5221",,http://www.migrationbrewing.com
"Misty Mountain Brewery","15440 Museum Rd Unit B",,Harbor,OR,97415-9519,"(541) 813-2599",,
"Monkless Belgian Ales","1178 NW Remarkable Dr",,Bend,OR,97703-5523,"(541) 610-5098",,http://www.monkless.com
"Montavilla Brew Works","7805 SE Stark St",,Portland,OR,97215-2339,"(503) 954-3440",,http://www.montavillabrew.com
"Moonshrimp Brewing","8428 SW 22nd Ave",,Portland,OR,97219-2856,"(503) 970-2234",,http://www.moonshrimpbrewing.com
"Mount Hood Brewing Co","87304 E Government Camp Loop",,"Government Camp",OR,97028,"(503) 272-3272",,http://www.mthoodbrewing.com
"Mountain View Brewing","161 Mountain View Pl",,"Grants Pass",OR,97527-4607,"(541) 441-0314",,
"Mt Tabor Brewing Co","124 SE 11th Ave",,Portland,OR,97214-1354,"(360) 567-8199",,http://www.mttaborbrewing.com
"Natian Brewery","1321 NE Couch St",,Portland,OR,97232-3007,"(971) 678-7116",,http://www.natianbrewery.com
