name,address1,address2,city,state,zip,phone,type,url
"2nd Story Brewing Company","117 Chestnut St",,Philadelphia,PA,19106-3074,"(267) 314-5770",brewpub,http://www.2ndstorybrewing.com
"2SP Brewing Company","120 Concord Rd",,Aston,PA,19014,"(484) 483-7860",micro,http://www.2spbrewing.com
"3 Guys and A Beer'd Brewing Co","10 Enterprise",,Carbondale,PA,18407-1880,"(570) 280-2739",micro,http://www.3guysandabeerd.com
"5 O'Clock Brew Co.",,,Warminster,PA,18974,,planning,http://www.5oclockbrew.com
"858 Brewing Company",,,"West Grove",PA,19390,"(484) 459-2383",planning,
"A.R. Tart LLC",,,Philadelphia,PA,19118,,planning,
"Abaris Brewing Co.",,,Walnutport,PA,18088,"(484) 767-7339",planning,http://www.abarisbrewing.com
"Abbey Wright Brewing Co / Valley Inn","204 Valley St",,Williamsport,PA,17702-6738,"(570) 326-3383",brewpub,http://www.thevalley-inn.com
"Aldus Brewing Company","555 Centennial Avenue",,Hanover,PA,17331-3936,"(717) 634-2407",brewpub,http://www.aldusbrewing.com
"All Saints Brewing Co","1602 State Route 119",,Greensburg,PA,15601-7317,"(724) 289-1202",micro,http://www.allsaintscraftbrewing.com
"Allegheny City Brewing",,,Pittsburgh,PA,15212-4910,,planning,http://www.alleghenycitybrewing.com
"Allentown Brew Works","812 Hamilton St",,Allentown,PA,18101-2412,"(610) 433-7777",brewpub,http://www.thebrewworks.com
"American Honor Beer Co","700 N Pennsylvania Ave",,"Wilkes Barre",PA,18705-2451,"(800) 961-8176",contract,http://www.boondogglebeer.com
"Angry Bear Brewing Company",,,Pittsburgh,PA,15212,,planning,
"Appalachian Brewing Co - Camp Hill","3721 Market St",,"Camp Hill",PA,17011-4326,"(717) 920-2739",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Collegeville","50 W 3rd Ave Collegeville Station 2nd Floor",,Collegeville,PA,19426-3655,"(484) 973-6064",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Gettysburg Gateway","70 Presidential Cir",,Gettysburg,PA,17325-8399,"(717) 398-2419",brewpub,http://www.abcbrew.com
"Appalachian Brewing Co - Harrisburg","50 N Cameron St",,Harrisburg,PA,17101-2407,"(717) 221-1080",micro,http://www.abcbrew.com
"Appalachian Brewing Co - Lititz","55 N Water St",,Lititz,PA,17543-1610,"(717) 221-1080",brewpub,http://www.abcbrew.com
"Arundel Cellars & Brewing Co","11727 E Main",,"North East",PA,16428-3635,"(814) 725-1079",micro,http://www.arundelcellars.com
"Aston Abbey Brewing Co",,,Aston,PA,19014-1590,,planning,
"Aurochs Brewing Company",,,Pittsburgh,PA,15202-1451,"(724) 260-8737",planning,http://www.aurochsbrewing.com
"B3 Brewing Company",,,York,PA,17402-9016,,planning,
"Bar Hygge / Brewery Techne","1720 Fairmount Ave",,Philadelphia,PA,19130-2812,"(732) 662-0168",brewpub,http://www.barhygge.com
"Barley Creek Brewing Co","1774 Sullivan Trl RR 1po Box 185",,Tannersville,PA,18372-7893,"(570) 629-9399",brewpub,http://www.barleycreek.com
"Barren Hill Tavern and Brewery","646 Germantown Pike",,"Lafayette Hill",PA,19444-1641,,brewpub,https://www.facebook.com/barrenhillbeer
"Battlefield Brew Works","248 Hunterstown Rd",,Gettysburg,PA,17325-7840,"(724) 953-1112",brewpub,http://www.battlefieldbrewworks.com
"Beaver Brewing Co","1820 7th Ave",,"Beaver Falls",PA,15010-4001,,brewpub,http://www.beaverbrewingcompany.com
"Benny Brew @ Marty's Blue Room","100 Old Newport St",,Nanticoke,PA,18634-1313,"(570) 735-4395",micro,http://www.martysblueroom.com
"Berwick Brewing Co","328 W Front St",,Berwick,PA,18603-4757,"(570) 752-4313",brewpub,http://www.berwickbrewing.com
"Black Cap Brewing Company","5 W High St",,"Red Lion",PA,17356-1701,"(443) 418-9473",brewpub,http://www.blackcapbrew.com
"Black Forest Brewery","301 West Main St.",,Ephrata,PA,17522-1713,"(717) 721-9268",micro,http://www.blackforestbrewery.net
"Bloom Brew","100 Riverside Dr",,"West Newton",PA,15089-1542,"(724) 322-4494",micro,http://www.bloombrew.com
"Blue Canoe Brewery","113 S Franklin St",,Titusville,PA,16354-1737,"(814) 827-7181",brewpub,
"Bluestone Brewing Company","18 Pitney St.",,Sayre,PA,18840-2720,"(570) 731-0222",brewpub,http://www.bluestonebrewingcompany.com
"Bog Turtle Brewery, LLC","14 South Thrid St., Suite 1",,Oxford,PA,19363,"(484) 758-0416",micro,http://www.bogturtlebrewery.com
"Boneshire Brew Works",,,Harrisburg,PA,17111,"(717) 469-5007",planning,http://www.bonshire.com
"Bonn Place Brewing",,,Bethlehem,PA,18015-1714,,planning,http://www.bonnbrewing.com
"Boxcar Brewing Co LLC","306 Westtown Rd Ste C",,"West Chester",PA,19382-4983,"(484) 887-0538",micro,http://www.boxcarbrewingcompany.com
"Breaker Brewing Company","787 E Northampton St",,"Wilkes Barre",PA,18702-7521,,brewpub,
"Brewerie at Union Station, The","123 W 14th St",,Erie,PA,16501-1717,"(814) 454-2200",brewpub,http://www.brewerie.com
"Brewery In Planning - Abington",,,Abington,PA,19001-3118,,planning,
"Brewery in Planning - Aldan",,,Aldan,PA,19018,"(708) 204-7376",planning,
"Brewery In Planning - Bethlehem",,,Bethlehem,PA,18017,,planning,
"Brewery In Planning - Blue Bell",,,"Blue Bell",PA,19422,,planning,
"Brewery In Planning - Canonsburg",,,Canonsburg,PA,15317,,planning,
"Brewery In Planning - Danville PA",,,Danville,PA,17821-1769,,planning,
"Brewery In Planning - Easton",,,Easton,PA,18045-7464,"(917) 710-1582",planning,http://www.westnewyorkbrewery.com
"Brewery in Planning - Hanover",,,Hanover,PA,17331,"(717) 965-2587",planning,
"Brewery In Planning - Kirkwood",,,Kirkwood,PA,17536,"(717) 591-0912",planning,
"Brewery In Planning - Landenberg PA",,,Landenberg,PA,19350-1540,,planning,
"Brewery In Planning - Lansdale",,,Lansdale,PA,19446,,planning,
"Brewery In Planning - Levittown PA",,,Levittown,PA,19054-3704,,planning,
"Brewery In Planning - Macungie",,,Macungie,PA,18062-9239,,planning,
"Brewery In Planning - Marysville",,,Marysville,PA,17053-9744,,planning,
"Brewery In Planning - Media",,,Media,PA,19063-6311,"(610) 952-0462",planning,
"Brewery In Planning - Mount Gretna PA",,,"Mount Gretna",PA,17064-0190,,planning,
"Brewery in Planning - Phila",,,Phila,PA,19129,"(215) 219-8787",planning,
"Brewery in Planning - Philadelphia",,,Philadelphia,PA,19123,"(412) 335-6059",planning,
"Brewery in Planning - Philadelphia",,,Philadelphia,PA,19148,,planning,http://www.cartesianbrewing.com
"Brewery in Planning - Philadelphia",,,Philadelphia,PA,19125,,planning,http://www.dekoconsulting.com
"Brewery In Planning - Philadelphia",,,Philadelphia,PA,19143-3431,,planning,
"Brewery In Planning - Pittsburgh",,"Pittsburgh, PA",,,,,planning,
"Brewery In Planning - Pittsburgh",,,Pittsburgh,PA,15215,,planning,
"Brewery In Planning - Royersford",,,Royersford,PA,19468-1509,,planning,
"Brewery In Planning - Springfield",,,Springfield,PA,19064-3701,"(609) 638-3890",planning,
"Brewery in Planning - Warrington",,,Warrington,PA,18976,"(215) 530-3501",planning,
"Brewery in Planning - West Mifflin",,,"West Mifflin",PA,15122,,planning,
"Brewery In Planning - Wilkes Barre",,,"Wilkes Barre",PA,18702,,planning,
"Brewery in Planning - Wyncote",,,Wyncote,PA,19095,"(267) 307-6131",planning,
"Brewery In Planning- Camp Hill, PA.",,,"Camp Hill",PA,17011,"(717) 579-1121",planning,
"Brewery In Planning- Claysburg, PA.",,"Claysburg, PA",,,,,planning,
"Brewtus Brewing Co","22 Chestnut Avenue",,Sharon,PA,16146-2713,"(724) 308-6293",micro,http://www.brewtusbrewing.com/
"Brixton Brewing","165 Brighton Ave",,Rochester,PA,15074-2203,,brewpub,http://www.brixtonbrewing.com
"Broken Chair Brewery",,,Wernersville,PA,19565,,planning,
"Broken Goblet Brewing","1500 Grundy Ln Bldg 1",,Bristol,PA,19007-1521,,brewpub,
"Bubes Brewery","102 N Market St",,"Mount Joy",PA,17552-1306,"(717) 653-2056",brewpub,http://www.bubesbrewery.com
"Bucks County Brewery","31 Appletree Ln",,Pipersville,PA,18947-1083,"(609) 439-2468",micro,http://www.buckscountybrewery.com
"Bullfrog Brewery","229 W 4th St",,Williamsport,PA,17701-6112,"(570) 326-4700",brewpub,http://www.bullfrogbrewery.com
"CERPASA Cervejaria Paraense Sa","Rodovia Arthur Berenardes 7699 Caiza Postal 744","Belem, Brazil",,,,"(091) 231-6811",regional,
"Chatty Monks Brewing Company",,,Phoenixville,PA,19460,"(484) 818-0176",planning,http://www.chattymonks.com
"Chatty Monks Brewing Company","610 Penn Ave",,Reading,PA,19611-1004,"(484) 818-0176",micro,http://www.chattymonks.com
"Church Brew Works/Lawrenceville Brewery Inc.","3525 Liberty Ave",,Pittsburgh,PA,15201-1324,"(412) 688-8200",brewpub,http://www.churchbrew.com
"Clarion River Brewing Company",,,Clarion,PA,16214-1108,"(814) 297-8399",planning,http://www.clarionriverbrew.com
"Columbia Kettle Works","40 N 3rd St",,Columbia,PA,17512-1104,"(717) 342-2374",brewpub,http://www.columbiakettleworks.com
"Conshohocken Brewing Co.","739 E Elm St Ste B",,Conshohocken,PA,19428-2301,"(610) 897-8962",brewpub,http://www.conshohockenbrewing.com
"Conyngham Brewing Company","PO Box AM 309 Main St",,Conyngham,PA,18219-0910,"(570) 710-5752",micro,http://www.conynghambrewing.com
"Copper Kettle Brewing Co","557 Greenfield Ave",,Pittsburgh,PA,15207-1093,"(412) 906-9400",micro,http://www.copperkettlepgh.com
"CoStar Brewing Inc.","919 N Saint Clair St",,Pittsburgh,PA,15206-2133,"(412) 401-8433",micro,http://www.costarbrewing.com
"Country Roads Brewing Company-Brewery In Planning- Delaware",,,Philadelphia,PA,19107,,planning,
"Crime & Punishment Brewing Company","2711 West Girard Avenue",,Philadelphia,PA,19130-1212,"(215) 235-2739",brewpub,http://www.crimeandpunishmentbrewery.com
"Crooked Eye Brewery","13 E.Montgomery Ave",,Hatboro,PA,19040,"(267) 803-6925",micro,http://crookedeyebrewery.com
"Crooked Tongue Brewing","2516 Benjamin Franklin Hwy",,Edinburg,PA,16116-4302,"(724) 856-3765",micro,http://www.crookedtonguebrewing.com
"Crowded Castle Brewing Co. Inc.","221 Warren Ct",,Exton,PA,19341-3063,,micro,
"Crystal Ball Brewing","1612 W King St",,York,PA,17404-5618,,micro,http://www.crystalballbrewing.com
"D. G. Yuengling and Son Inc","500 Mahantongo St",,Pottsville,PA,17901,"(570) 622-4141",regional,http://www.yuengling.com
"D. G. Yuengling and Son Inc","310 Mill Creek Ave",,Pottsville,PA,17901-8692,"(215) 631-9461",regional,http://www.yuengling.com
"Dabbler Brewing Company",,,Philadelphia,PA,19116,,planning,
"Dancing Gnome Beer",,,Pittsburgh,PA,15215-2301,,planning,
"Daugherty Brewing Company",,,Erie,PA,16510-3680,,planning,http://www.daughertybrewingcompany.com
"Desperate Times Brewing Co",,,Carlisle,PA,17013,,planning,
"Divine Swine BBQ","2684 Lebanon Rd",,Manheim,PA,17545-9524,"(717) 879-9494",brewpub,http://www.divine-swine-bbq.com
"Do Good Brewing","3245 Amber St",,Philadelphia,PA,19134-3235,"(267) 752-3548",micro,http://www.dogoodbrewing.com
"Doc G's Brewing Company",,,"Du Bois",PA,15801-2106,,planning,http://www.docgsbrewing.com
"Dock Street Brewery","701 S 50th St Fl 1",,Philadelphia,PA,19143-1689,"(215) 726-2337",brewpub,http://www.dockstreetbeer.com
"Doylestown Brewing Co","22 South Main Street",,Doylestown,PA,18901-4668,"(267) 614-1589",brewpub,http://www.doylestownbrewingcompany.com
"Draai Laag Brewing","501 E Ohio Street",,Pittsburgh,PA,15209,,micro,
"Duquesne Brewing of Pittsburgh","932 W North Ave",,Pittsburgh,PA,15233-1606,"(412) 831-2779",contract,
"Earth Bread + Brewery","7136 Germantown Ave",,Philadelphia,PA,19119-1843,"(215) 242-6666",brewpub,http://www.earthbreadbrewery.com
"East End Brewing Co","147 Julius St",,Pittsburgh,PA,15206-4131,,micro,
"Eclipse Craft Brewing",,,Sunbury,PA,17801,,planning,
"Eleventh Hour Brewing Co",,,Pittsburgh,PA,15201,"(412) 716-5107",planning,http://www.eleventhhourbrews.com
"Elk Creek Cafe + Aleworks","PO Box 432",,Millheim,PA,16854-0432,"(814) 349-8850",brewpub,http://www.elkcreekcafe.net
"Emerald Isle Brewery",,,Lansdale,PA,19446,,planning,
"Erie Ale Works","416 W 12th St",,Erie,PA,16501-1506,"(814) 314-9089",micro,http://www.eriealeworks.com
"Erie Brewing Co","1213 Veshecco Dr",,Erie,PA,16501-1570,"(814) 459-7741",micro,http://www.eriebrewingco.com
"Evil Genius Beer Co","284 W Avondale Rd",,"West Grove",PA,19390-9728,,contract,http://www.evilgeniusbeer.com
"Fegley's Brew Works","569 Main St",,Bethlehem,PA,18018-5810,"(610) 882-1300",brewpub,http://www.thebrewworks.com
"Forest & Main Brewery and Pub","61 N Main St",,Ambler,PA,19002-5728,"(215) 542-1776",brewpub,http://www.forestandmain.com
"Four Seasons Brewing Co","745 Lloyd Ave",,Latrobe,PA,15650-2648,"(724) 261-9664",micro,http://www.fsbrewing.com
"Free Will Brewing Company","410 E Walnut St Ste 10",,Perkasie,PA,18944-1683,"(267) 354-0813",micro,http://www.freewillbrewing.com
"Full Pint Brewing Co","1963 Lincoln Hwy",,"North Versailles",PA,15137-2749,"(724) 396-9796",micro,http://www.fullpintbrewing.com
"Fun Guys Brewery",,,Pittsburgh,PA,15203,,planning,
