name,address1,address2,city,state,zip,phone,type,url
"Brewery In Planning - East Greenwich",,,"East Greenwich",RI,02818-2925,,planning,
"Brewery in Planning - Jamestown",,,Jamestown,RI,02835-2200,"(203) 814-6866",planning,
"Brewery In Planning - Warwick",,,Warwick,RI,02888,,planning,
"Brutopia Brewery and Kitchen","505 Atwood Ave",,Cranston,RI,02920,"(401) 464-8877",brewpub,http://www.brutopiabrewery.com
"Coddington Brewing Co","210 Coddington Hwy",,Middletown,RI,02842-4884,,brewpub,
"Crooked Current Brewery","560 Mineral Spring Ave Ste 2-112",,Pawtucket,RI,02860-8612,"(401) 473-8312",micro,http://www.crookedcurrentbrewery.com
"Foolproof Brewing Company","241 Grotto Ave",,Pawtucket,RI,02860-3403,"(401) 721-5970",micro,http://www.foolproofbrewing.com
"Grey Sail Brewing Co. LLC","63 Canal St",,Westerly,RI,02891-1552,"(410) 212-7592",micro,http://www.greysailbrewing.com
"Long Live Beerworks","425 W Fountain St Unit 104",,Providence,RI,02903-3530,,micro,http://www.longlivebeerworks.com
"Mohegan Cafe and Brewery","213 Water St",,"Block Island",RI,02807,"(401) 466-5911",brewpub,
"Narragansett Brewing Co","461 Main St",,Pawtucket,RI,02860-2913,"(401) 437-8970",proprietor,http://www.narragansettbeer.net
"Newport Storm Brewery / Coastal Extreme Brewing Company","293 JT Connell Hwy",,Newport,RI,02840,"(401) 849-5232",micro,http://www.newportstorm.com
"Proclamation Ale Company","141 Fairgrounds Rd",,"West Kingston",RI,02892-1512,"(401) 787-6450",micro,http://www.proclamationaleco.com
"Providence Brewing Company",,,Providence,RI,02904-3742,"(401) 413-0894",planning,http://www.pvdbc.com
"Ravenous Brewing Company","840 Cumberland Hill Rd",,Woonsocket,RI,02895-5657,"(401) 216-5331",micro,http://www.ravenousbrew.com
"Revival Brewing","505 Atwood Ave",,Cranston,RI,02920-5327,"(401) 372-7009",proprietor,http://www.revivalbrewing.com
"The Brew Studio",,,Johnston,RI,02919,"(401) 578-3766",planning,
"The Bucket Brewery","545 Pawtucket Ave",,Pawtucket,RI,02860-6046,,micro,http://www.bucketbrewery.com
"Tilted Barn Brewery","1 Helmsley Pl",,Exeter,RI,02822-3740,"(401) 829-6088",micro,http://www.tiltedbarnbrewery.com
"Trinity Brewhouse","186 Fountain St",,Providence,RI,02903-1813,"(401) 453-2337",brewpub,http://www.trinitybrewhouse.com
"Union Station Brewery","36 Exchange Ter Ste 2",,Providence,RI,02903-1798,"(401) 274-2739",brewpub,http://www.johnharvards.com
"Whaler\'s Brewing Company","1174 Kingstown Rd",,Wakefield,RI,02879-8316,"(401) 552-0002",micro,http://www.whalersbrewing.com
