name,address,city,state,zip,phone,type,url
"13 Stripes Brewery LLC",,Taylors,SC,29687,"(321) 795-0032",planning,http://www.facebook.com/13stripesbrewery
"Aiken Brewing Co","140 Laurens St SW",Aiken,SC,29801-3848,"(803) 502-0707",brewpub,http://www.aikenbrewingcompany.com
"Benford Brewing Co.","2271 Boxcar Rd",Lancaster,SC,29720-9443,,micro,
"Birds Fly South Ale Project",,Greer,SC,29650-3040,,contract,
"Blue Ridge Brewing Co/Foothills Brewing","308 Trade St",Greer,SC,29651,"(864) 232-4677",brewpub,http://www.blueridgebrewing.com
"Brewery 85","6 Whitlee Ct",Greenville,SC,29607-3791,,micro,http://www.brewery85.com
"Brewery In Planning - Abbeville",,Abbeville,SC,29620,,planning,
"Brewery In Planning - Aiken",,Aiken,SC,29801,,planning,
"Brewery in Planning - Charleston",,Charleston,SC,29492,"(843) 971-5025",planning,
"Brewery In Planning - Columbia",,Columbia,SC,29223,,planning,
"Brewery in Planning - Fort Mill",,"Fort Mill",SC,29715,,planning,
"Brewery In Planning - Hilton Head",,"Hilton Head Island",SC,29928,,planning,
"Brewery in Planning - Sumter",,Sumter,SC,29150,"(803) 468-2007",planning,
"Brewery In Planning- Conway, SC",,,,,,planning,
"Brewery Labs",,Lexington,SC,29072,,planning,
"Brio Brewing Company",,"Mount Pleasant",SC,29464,,planning,
Celis,"421 Wando Park Blvd, Ste 200","Mount Pleasant",SC,29464,,contract,
"Cervejaria Eisenbahn","Rua Bahia, 5181-Salto Weissbach",,,,"(47) 330-7371",,http://www.eisenbahn.com.br
"Cia. Sulina De Bebidas","Rua De Novembro 1383/1445 Caixa Postal 68",,,,"(047) 422-3166",regional,
"Ciclops Cyderi and Brewery",,Spartanburg,SC,29306-5121,,planning,
"COAST Brewing Co","1250 N 2nd St","North Charleston",SC,29405-1804,"(843) 343-4727",micro,http://www.coastbrewing.com
"Commonhouse Aleworks",,"Daniel Island",SC,29492,,planning,http://www.commonhousealeworks.com
"Conquest Brewing Co.","947 S Stadium Rd",Columbia,SC,29201-4724,"(803) 712-3063",micro,http://www.conquestbrewing.com
"Cooper River Brewing Company","2201-B Mechanic Street",Charleston,SC,29405,,micro,http://www.cooperriverbrewing.com
"Edmund’s Oast","1081 Morrison Dr",Charleston,SC,29403-3117,"(864) 350-5277",brewpub,http://www.edmundsoast.com
"Freehouse Brewery","2895 Pringle St Ste B",Charleston,SC,29405-7506,,micro,http://www.freehousebeer.com
"Frothy Beard Brewing Co","7358 Peppermill Pkwy Ste B",Charleston,SC,29418-7428,"(843) 793-2970",micro,http://www.frothybeard.com
"Full Spectrum Brewing Co","2168 Carolina Place Dr","Fort Mill",SC,29708-6998,"(803) 792-4556",micro,http://www.fullspectrumbrewingco.com
"Good Times Brewing","237 Maxwell Ave",Greenwood,SC,29646-2616,"(864) 993-7302",brewpub,
"Gordon Biersch Brewery Restaurant - Myrtle Beach","3060 Howard Ave","Myrtle Beach",SC,29577-1643,"(843) 839-0249",brewpub,http://www.craftworksrestaurants.com
"Hilton Head Brewing Co","1 Cardinal Ct Ste 13","Hilton Head Island",SC,29926,"(843) 715-3251",micro,
"Holy City Brewing","4155 Dorchester Rd Ste C",Charleston,SC,29405-7486,"(843) 225-6089",micro,http://www.holycitybrewing.com
"Hunter Gatherer Brewery and Alehouse","900 Main St",Columbia,SC,29201-3964,"(803) 748-0540",brewpub,http://www.huntergathererbrewery.com
"Legal Remedy Brewing","129 Oakland Ave","Rock Hill",SC,29730-4019,"(803) 324-2337",brewpub,http://www.legalremedybrewing.com
"Liberty Steakhouse and Brewery","1321 Celebrity Cir","Myrtle Beach",SC,29577-7445,"(843) 626-4677",brewpub,http://www.libertybreweryandgrill.com/home
"Lo-Fi Brewing",,"N. Charleston",SC,29405,"(828) 582-2175",planning,http://lofibrewing.com
"Low Tide Brewing","2863 Maybank Highway","Johns Island",SC,29455,,micro,
"New South Brewing Co","1109 Campbell St","Myrtle Beach",SC,29577-3527,"(843) 916-2337",micro,http://www.newsouthbrewing.com
"Oak Road Brewery","108 E 3rd North St Ste C",Summerville,SC,29483-6810,,micro,
"Old Mill Brewpub",,Lexington,SC,29072-3670,,brewpub,
"Open Roads Brewery",,greer,SC,29651,"(864) 430-8234",planning,
"Palmetto Brewing Co","289 Huger St Bldg B",Charleston,SC,29403-4560,"(843) 937-0903",micro,http://www.palmettobrewingco.com
"Quest Brewing Company","55 Airview Dr",Greenville,SC,29607-2632,,micro,http://www.questbrewing.com
"Quigley's Pint and Plate","257 Willbrook Blvd","Pawleys Island",SC,29585-7789,"(843) 237-7010",brewpub,
