name,address1,address2,city,state,zip,phone,type,url
"13 Stripes Brewery LLC",,,Taylors,SC,29687,"(321) 795-0032",planning,http://www.facebook.com/13stripesbrewery
"Aiken Brewing Co","140 Laurens St SW",,Aiken,SC,29801-3848,"(803) 502-0707",brewpub,http://www.aikenbrewingcompany.com
"Benford Brewing Co.","2271 Boxcar Rd",,Lancaster,SC,29720-9443,,micro,
"Birds Fly South Ale Project","1320 Hampton Ave Ext",,Greenville,SC,29601,"(864) 412-8825",micro,http://www.bfsbeer.com
"Blue Lotus Brewing Company",,,"Fort Mill",SC,29715,"(803) 280-0572",planning,http://www.bluelotusbrewingcompany.com
"Blue Ridge Brewing Co/Foothills Brewing","308 Trade St",,Greer,SC,29651,"(864) 232-4677",brewpub,http://www.blueridgebrewing.com
"Brewery 85","6 Whitlee Ct",,Greenville,SC,29607-3791,,micro,http://www.brewery85.com
"Brewery In Planning - Abbeville",,,Abbeville,SC,29620,,planning,
"Brewery In Planning - Aiken",,,Aiken,SC,29801,,planning,
"Brewery in Planning - Charleston",,,Charleston,SC,29492,"(843) 971-5025",planning,
"Brewery in Planning - Columbia",,,Columbia,SC,29205-2114,,planning,
"Brewery in Planning - Columbia",,,Columbia,SC,29205-2114,"(803) 237-4070",planning,
"Brewery in Planning - Fort Mill",,,"Fort Mill",SC,29715,,planning,
"Brewery in Planning - Fort Mill",,,"Fort Mill",SC,29708,"(803) 415-5425",planning,http://tbd.com
"Brewery in Planning - Hartsville",,,"Hartsville ",SC,29550,"(843) 601-5675",planning,
"Brewery In Planning - Hilton Head",,,"Hilton Head Island",SC,29928,,planning,
"Brewery in Planning - Hollywood",,,Hollywood,SC,29470,"(720) 219-6151",planning,http://n/a
"Brewery in Planning - N. Charleston",,,"N. Charleston",SC,29405,"(843) 478-3769",planning,
"Brewery in Planning - Sumter",,,Sumter,SC,29150,"(803) 468-2007",planning,
"Brewery In Planning- Conway, SC",,"Conway, SC",,,,,planning,
"Brio Brewing Company",,,"Mount Pleasant",SC,29464,,planning,
"Carolina Bauernhaus Ales","115 W. Federal St",,Anderson,SC,29625,"(864) 401-8167",brewpub,http://carolinabauernhaus.com
Celis,"421 Wando Park Blvd, Ste 200",,"Mount Pleasant",SC,29464,,contract,
"Cervejaria Eisenbahn","Rua Bahia, 5181-Salto Weissbach","Blumenau, Brazil",,,,"(47) 330-7371",,http://www.eisenbahn.com.br
"Cia. Sulina De Bebidas","Rua De Novembro 1383/1445 Caixa Postal 68","Joinville, Brazil",,,,"(047) 422-3166",regional,
"COAST Brewing Co","1250 N 2nd St",,"North Charleston",SC,29405-1804,"(843) 343-4727",micro,http://www.coastbrewing.com
"Columbia Craft Brewing Company",,,Columbia,SC,29202,"(803) 238-4134",planning,http://www.columbiacraft.com
"Commonhouse Aleworks",,,"Daniel Island",SC,29492,,planning,http://www.commonhousealeworks.com
"Conquest Brewing Co.","947 S Stadium Rd",,Columbia,SC,29201-4724,"(803) 712-3063",micro,http://www.conquestbrewing.com
"Cooper River Brewing Company","2201-B Mechanic Street",,Charleston,SC,29405-9310,"(843) 405-7979",micro,http://www.cooperriverbrewing.com
"Cotton Town Brew Lab",,,Lexington,SC,29072-2218,,planning,
"Dammed River Brewing, LLC",,,"Rock Hill",SC,29730,"(434) 265-6582",planning,http://www.dammedriverbrewing.com
"Edmund’s Oast","1081 Morrison Dr",,Charleston,SC,29403-3117,"(864) 350-5277",brewpub,http://www.edmundsoast.com
"Fatty's Beer Works","1442 Meeting Street Rd",,"North Charleston",SC,29405,"(706) 506-3234",proprietor,
"Fireforge Crafted Beer",,"Greenville, SC",,,,,planning,
"Freehouse Brewery","2895 Pringle St Ste B",,Charleston,SC,29405-7506,,micro,
"Frothy Beard Brewing Co","7358 Peppermill Pkwy Ste B",,Charleston,SC,29418-7428,"(843) 793-2970",micro,http://www.frothybeard.com
"Full Spectrum Brewing Co","2168 Carolina Place Dr",,"Fort Mill",SC,29708-6998,"(803) 792-4556",micro,http://www.fullspectrumbrewingco.com
"Ghost Monkey Brewery","522 Wando Ln",,"Mount Pleasant",SC,29464-8211,"(843) 352-3462",micro,http://www.ghostmonkeybrewery.com
"Good Neighbor Brewing Company",,,"Fort Mill",SC,29715,,planning,
"Good Times Brewing","237 Maxwell Ave",,Greenwood,SC,29646-2616,"(864) 993-7302",brewpub,
"Gordon Biersch Brewery Restaurant - Myrtle Beach","3060 Howard Ave",,"Myrtle Beach",SC,29577-1643,"(843) 839-0249",brewpub,http://www.craftworksrestaurants.com
