name,address1,address2,city,state,zip,phone,type,url
"Bitter Esters Brewhouse","607 Mount Rushmore Rd",,Custer,SD,57730-1631,"(605) 673-3433",brewpub,
"Brewery In Planning - Piedmont",,,Piedmont,SD,57769-7145,,planning,
"Brewery in Planning - Spearfish",,,Spearfish,SD,57783,,planning,
"Brewery in Planning - Spearfish",,,Spearfish,SD,57783,,planning,
"Crow Peak Brewing Co","125 W Highway 14",,Spearfish,SD,57783-1150,"(605) 717-0006",micro,http://www.crowpeakbrewing.com
"Dakota Shivers Brewing","717 W Main St",,Lead,SD,57754-1539,"(605) 415-5352",micro,http://www.dakotashiversbrewing.com
"Dakota Territory Brewing",,,Aberdeen,SD,57401,"(605) 216-6650",planning,
"Dempseys Brewery, Pub & Restaurant","127 N Broadway",,Watertown,SD,57201-3525,"(605) 882-9760",brewpub,http://www.dempseybrewpub.com
"Fernson Brewing Company","1400 E Robur Dr",,"Sioux Falls",SD,57104,"(605) 789-3822",micro,http://fernson.com
"Firehouse Brewing Co","610 Main St",,"Rapid City",SD,57701-2736,"(605) 348-1915",brewpub,http://www.firehousebrewing.com
"Gandy Dancer Brew Works","420 E 8th St",,"Sioux Falls",SD,57103-7025,"(605) 351-9268",brewpub,http://www.monkshouseofalerepute.com
"Granite City Food & Brewery (#2)","2620 S Louise Ave",,"Sioux Falls",SD,57106-4329,"(605) 362-0000",brewpub,http://www.gcfb.net
"Hay Camp Brewing Company","201 Main St Ste 109",,"Rapid City",SD,57701-2840,"(970) 412-5286",micro,http://www.haycampbrewing.com
"Lean Horse Productions","600 Meier Ave",,Spearfish,SD,57783-1991,"(605) 641-3534",contract,
"Lost Cabin Beer Co.","1401 W. Omaha St #3",,"Rapid City",SD,57701,"(605) 718-5678",micro,http://www.lostcabin.beer
"Miner Brewing Co","23845 Highway 385",,"Hill City",SD,57745-6517,"(605) 574-3898",brewpub,http://www.minerbrewing.com
"Mt. Rushmore Brewing Company",,,Custer,SD,57730-1829,,planning,http://www.mtrushmorebrewing.com
"Sick N Twisted Brewing Co","23851 Highway 385 Ste A",,"Hill City",SD,57745-6544,"(605) 574-2454",brewpub,
"Six Degrees Brewing Co",,,Keystone,SD,57751-6649,"(605) 381-3707",planning,
"The Knuckle Brewing Company","918 2nd St",,Sturgis,SD,57785-1509,"(605) 561-9846",brewpub,
"Wooden Legs Brewing Co","309 5th St Ste 100",,Brookings,SD,57006-1963,"(605) 549-5624",micro,http://www.woodenlegsbrewing.com
"Woodgrain Brewing Co","101 S Phillips Ave",,"Sioux Falls",SD,57104-6735,"(605) 310-5316",micro,http://www.woodgrainbrew.com
"WoodGrain Brewing Company","101 S. Phillips Ave. Suite 100",,"Sioux Falls",SD,57104,"(605) 310-5316",micro,http://www.woodgrainbrew.com
