name,address,city,state,zip,phone,type,url
"Alliance Brewing Company","1130 Sevier Ave",Knoxville,TN,37920-1867,,micro,http://www.alliancebrewingco.com
"Asgard Brewing Company",,Columbia,TN,38401-3352,,planning,
"Balter Beerworks",,Knoxville,TN,37902,"(423) 364-4640",planning,http://www.balterbeerworks.com
"Bearded Iris Brewing","101 Van Buren St",Nashville,TN,37208-1719,,micro,http://www.beardedirisbrewing.com
"Big River Grille & Brewing Works - Chattanooga","222 Broad St",Chattanooga,TN,37402-1009,"(423) 267-2739",brewpub,http://www.craftworksrestaurants.com
"Black Abbey Brewing Co, The","2952 Sidco Ave",Nashville,TN,37220,"(615) 755-0070",micro,http://www.blackabbeybrewing.com
"Blackberry Farm Brewery","1471 W Millers Cove Rd",Walland,TN,37886-2649,"(865) 379-8555",micro,http://www.blackberryfarm.com
"Blackhorse Pub and Brewery","132 Franklin St",Clarksville,TN,37040-3438,"(931) 552-3726",brewpub,http://www.theblackhorsepub.net
"Blackhorse Pub and Brewery - Knoxville","4429 Kingston Pike",Knoxville,TN,37919-5252,"(865) 249-8511",brewpub,http://www.theblackhorsepub.net
"Blackstone Brewery - Production","2312 Clifton Ave",Nashville,TN,37209-4115,"(615) 320-9002",micro,http://blackstonebrewery.com
"Blackstone Brewing Co","2312 Clifton Ave",Nashville,TN,37209,,micro,
"Blues City Brewing Co","5151 E Raines Rd",Memphis,TN,38118-7026,"(608) 785-4200",regional,http://www.citybrewing.com
"Bluetick Brewery","1509 E Broadway Ave",Maryville,TN,37804-3201,"(865) 314-0397",micro,http://www.bluetickbrewery.com
"Boscos Brewing Co. / Ghost River Brewing","827 S Main St",Memphis,TN,38106-2063,"(901) 278-0087",micro,http://www.ghostriverbrewing.com
"Boscos Squared","2120 Madison Ave",Memphis,TN,38104-6502,"(901) 432-2222",brewpub,http://www.boscosbeer.com
"Brewery in Planning - Chattanooga",,"Chattanooga ",TN,37408,,planning,
"Brewery in Planning - Chattanooga",,Chattanooga,TN,37403,,planning,
"Brewery In Planning - Fairview",,Fairview,TN,37062,,planning,
"Brewery in Planning - Johnson City",,"Johnson City",TN,37604,"(233) 333-3333",planning,http://www.somesite.com
"Brewery in Planning - Kingsport",,Kingsport,TN,37664,"(253) 389-8277",planning,
"Brewery in Planning - Knoxville",,Knoxville,TN,37932,"(865) 919-3042",planning,
"Brewery In Planning - Knoxville",,Knoxville,TN,37917-5566,,planning,
"Brewery In Planning - Knoxville",,Knoxville,TN,37921,,planning,
"Brewery In Planning - Knoxville",,Knoxville,TN,37923-2025,,planning,
"Brewery in Planning - Mt Juliet",,"Mt Juliet",TN,37122,,planning,
"Brewery in Planning - Murfreesboro",,Murfreesboro,TN,37128,"(615) 714-3154",planning,
"Brewery in Planning - Murfreesboro",,Murfreesboro,TN,37128,"(615) 419-8814",planning,
"Brewery In Planning - Nashville",,Nashville,TN,37206-1825,"(615) 554-3819",planning,
"Brewery In Planning- Nashville, TN",,Nashville,TN,37210-4919,"(615) 294-5589",planning,
"Calfkiller Brewing Co","1839 Blue Springs Rd",Sparta,TN,38583-2714,"(931) 739-2337",micro,http://www.calfkillerbeer.com
"Chattanooga Brewing Co","1804 Chestnut St.",Chattanooga,TN,37408-1027,"(423) 702-9958",micro,http://www.chattabrew.com
"Cool Springs Brewery","600A Frazier Dr Ste 135",Franklin,TN,37067-4677,"(615) 503-9626",brewpub,http://www.coolspringsbrewery.com
"Corsair Artisan LLC","1200 Clinton Street #110",Nashville,TN,37203-2894,"(931) 215-3775",brewpub,http://www.corsairartisan.com
"Crosstown Brewing Company",,Memphis,TN,38117,,planning,http://www.crosstownbeer.com
"Czann's Brewing","4028 Nebraska Ave",Nashville,TN,37209-4913,,micro,
"Depot Street Brewing Co","904 Depot St",Jonesborough,TN,37659-5662,"(423) 753-7628",micro,http://www.depotstreetbrewing.com
"Downtown Grill & Brewery / Woodruff Brewing","424 S Gay St",Knoxville,TN,37902-1103,"(865) 633-8111",brewpub,http://www.downtownbrewery.com
"East Nashville Beer Works",,Nashville,TN,37207,"(615) 289-0454",planning,http://www.eastnashbeerworks.com
"Fanatic Brewing Company","7113 Hickory Hills Dr",Knoxville,TN,37919,"(865) 548-2337",micro,http://www.fanaticbrewing.com
"Fat Bottom Brewing","900 Main Street",Nashville,TN,37206,"(615) 293-5783",micro,http://www.fatbottombrewing.com
"Granite City Food & Brewery","1864 W McEwen Dr",Franklin,TN,37067-1782,,brewpub,
"Half Batch Brewing",,Hendersonville,TN,37075,,planning,
"Harding House Brewing Company",,Nashville,TN,37215,,planning,http://www.hardinghousebrew.com
"High Cotton Brewing","598 Monroe Ave",Memphis,TN,38103-3214,"(901) 543-4444",micro,http://www.highcottonbrewing.com
"Holston River Brewing Company","2623 Volunteer Parkway",Bristol,TN,37620-1570,"(423) 797-1403",micro,http://www.hrbrewing.com
"Honky Tonk Brewing Co","240 Cumberland Bnd",Nashville,TN,37228-1804,"(615) 556-8967",micro,
"Hutton & Smith Brewing Company","431 E Martin Luther King Blvd # 120",Chattanooga,TN,37403,,micro,
"Jackalope Brewing Company, LLC","701 8th Ave S",Nashville,TN,37203-4104,"(615) 887-0807",micro,http://www.jackalopebrew.com
"Johnson City Brewing Co","300 E Main St Ste 104","Johnson City",TN,37601-5714,"(423) 930-4186",micro,http://www.johnsoncitybrewing.com
"JRH Brewing",,"Piney Flats",TN,37686,,planning,
"Jubilee Craft Beer Co","3430 Hampton Ave",Nashville,TN,37215-1408,"(615) 686-9397",contract,http://www.jubileebeer.com
"Little Harpeth Brewing Co","30 Oldham St",Nashville,TN,37213-1107,,micro,http://www.littleharpethbrewing.com
"Mashwerx Brewing Company",,Nashville,TN,37206-2203,,planning,
"Mayday Brewery","521 Old Salem Rd Ste C",Murfreesboro,TN,37129-5305,"(615) 479-9722",micro,http://www.maydaybrewery.com
"McHale's Brewhouse","724 Ashland Ter",Chattanooga,TN,37415-3536,"(423) 877-2124",brewpub,http://www.mchalesbrewhouse.com
"Memphis Made Brewing Company","768 S Cooper St",Memphis,TN,38104-5406,"(901) 207-5343",micro,http://www.memphismadebrewing.com
"Mill Creek Brewing Co.","2008 B Johnson Industrial Blvd.",Nolensville,TN,37135-5021,"(615) 509-8255",micro,http://millcreekbrewingco.com
"Moccasin Bend Brewing Co","3210 Broad St. #B",Chattanooga,TN,37408-3059,"(423) 821-6392",micro,http://www.bendbrewingbeer.com
"New Heights Brewing Co","928 5th Ave S",Nashville,TN,37203-4612,"(205) 936-0554",micro,
"Nonesuch Brewing Company",,Nashville,TN,37215,"(615) 734-9383",planning,
"Ole Shed Brewing Company","516 E Carroll St",Tullahoma,TN,37388-3983,"(931) 212-4277",micro,
"O'Possum's Pub","2341 Memorial Blvd",Murfreesboro,TN,37129-5108,"(615) 417-5998",brewpub,http://www.opossumspub.com
"Panther Creek Brews",,Christiana,TN,37037,,planning,
"Red Silo Brewing Co",,Cookeville,TN,38506,,planning,
"Rock Bottom Brewery - Nashville","111 Broadway",Nashville,TN,37201-2117,"(615) 251-4677",brewpub,http://www.bigrivergrille.com
"Saw Works Brewing Co","708 E Depot Ave",Knoxville,TN,37917-7611,"(865) 247-5952",micro,http://www.sawworksbrewing.com
"Schulz Brau Brewing Company",,Knoxville,TN,37917-7116,"(800) 245-9764",planning,http://www.schulzbraubrewing.com
"Sleepy Owl Brewery","151 E Main St #1",Kingsport,TN,37660,,micro,http://sleepyowlbrewery.com/
"Smith & Lentz Brewing","903 Main St",Nashville,TN,37206-3609,,micro,http://www.smithandlentz.com
"Smoky Mountain Brewery (#1)","6515 Kingston Pike",Knoxville,TN,37919-4826,"(865) 673-3377",brewpub,http://www.smoky-mtn-brewery.com
"Smoky Mountain Brewery (#2) - Gatlinburg","1004 Parkway Ste 501",Gatlinburg,TN,37738-3172,"(865) 436-4200",brewpub,http://www.smoky-mtn-brewery.com
"Smoky Mountain Brewery (#3) - Pigeon Forge","2530 Parkway Ste 15","Pigeon Forge",TN,37863-7006,,brewpub,http://www.smoky-mtn-brewery.com
"Smoky Mountain Brewery (#4) - Turkey Creek","11308 Parkside Dr",Knoxville,TN,37934-1971,"(865) 288-5500",brewpub,http://www.smoky-mtn-brewery.com
"Southern Grist Brewing Company",,Nashville,TN,37206-1733,"(615) 727-1201",planning,http://www.southerngristbrewing.com
"Studio Brew","5074 Lake Forest Dr",Kingsport,TN,37663-3714,"(423) 360-2966",micro,http://www.studiobrew.beer
"Tailgate Beer, LLC","7300 Charlotte Pike",Nashville,TN,37209-5012,"(615) 457-1424",brewpub,http://www.tailgatebeer.com
"Team Lombardi",,Hendersonville,TN,37075,"(920) 412-6794",planning,http://www.lombardibrewing.com
"Tennessee Brew Works","809 Ewing Ave",Nashville,TN,37203-4631,"(615) 536-0050",micro,http://www.tnbrew.com
"Terminal Brewhouse, The","6 W 14th St",Chattanooga,TN,37408,"(423) 752-8090",brewpub,http://www.terminalbrewhouse.com
"Trace Brewing",,,,,,planning,
"Triple B Brewing","1069 Oak Drive Cir",Kingsport,TN,37665-1948,"(423) 963-3609",micro,http://triple-b-brewery.com
"Turtle Anarchy Brewing Co","5901 California Ave Ste 105",Nashville,TN,37209-1443,"(615) 595-8855",micro,http://www.turtleanarchy.com
"WanderLinger Brewing Co",,Chattanooga,TN,37405,"(615) 653-5407",planning,http://wanderlinger.com
"Wiseacre Brewing Co","2783 Broad Ave",Memphis,TN,38112-2834,"(901) 888-7000",micro,http://www.wiseacrebrew.com
