name,address1,address2,city,state,zip,phone,type,url
"Abridged Beer Company","100 Lockett Rd.",,Knoxville,TN,37919,,brewpub,http://www.abridgedbeer.com
"Alliance Brewing Company","1130 Sevier Ave",,Knoxville,TN,37920,"(865) 247-5355",micro,http://www.alliancebrewing.com
"Asgard Brewing Company","104 E 5th St",,Columbia,TN,38401-3351,"(615) 828-2218",contract,http://www.asgardbrewery.com
"Bad Idea Brewing",,,"Spring Hill",TN,37174-2895,,planning,http://www.badideabrewing.com
"Balter Beerworks","100 S Broadway St",,Knoxville,TN,37902-1901,"(865) 999-5015",brewpub,http://www.balterbeerworks.com
"Beale St. Brewing Co.",,,Memphis,TN,38103-3736,"(901) 491-7197",planning,http://www.bealestbrewing.com
"Bearded Iris Brewing","101 Van Buren St",,Nashville,TN,37208-1719,"(615) 928-7988",contract,http://www.beardedirisbrewing.com
"Big Frog Brewing Company","2122 Dayton Blvd",,"Red Bank",TN,37415-6414,"(423) 803-9046",micro,http://www.bigfrogbrewery.com
"Big River Grille & Brewing Works - Chattanooga","222 Broad St",,Chattanooga,TN,37402-1009,"(423) 267-2739",brewpub,http://www.craftworksrestaurants.com
"Black Abbey Brewing Co, The","2952 Sidco Dr",,Nashville,TN,37204-3710,"(615) 755-0070",micro,http://www.blackabbeybrewing.com
"Blackberry Farm Brewery","1471 W Millers Cove Rd",,Walland,TN,37886-2649,"(865) 984-8166",micro,http://www.blackberryfarm.com
"Blackhorse Pub and Brewery","132 Franklin St",,Clarksville,TN,37040-3438,"(931) 552-3726",brewpub,http://www.blackhorsebrews.com
"Blackhorse Pub and Brewery - Knoxville","4429 Kingston Pike",,Knoxville,TN,37919-5252,"(865) 249-8511",brewpub,http://www.theblackhorsepub.net
"Blackstone Brewing Co","2312 Clifton Ave",,Nashville,TN,37209-4115,"(615) 320-9002",micro,http://blackstonebrewery.com
"Blues City Brewing Co","5151 E Raines Rd",,Memphis,TN,38118-7026,"(608) 785-4200",regional,http://www.citybrewing.com
"Boscos Squared","2120 Madison Ave",,Memphis,TN,38104-6502,"(901) 432-2222",brewpub,http://www.boscosbeer.com
"Brewery In Planning - Knoxville",,,Knoxville,TN,37921-5188,"(865) 806-4612",planning,http://elst.beer
