name,address,city,state,zip,phone,type,url
"(512) Brewing Co","407 Radam Ln Ste F200",Austin,TX,78745-1197,,micro,http://www.512brewing.com
"11 Below Brewing Company",,Houston,TX,77069-1908,,planning,http://www.11belowbrewing.com
"4th Tap Brewing Cooperative",,Austin,TX,78705,,planning,
"5 Stones Artisan Brewery","850 Schneider",Cibolo,TX,78108-3296,"(210) 578-4373",micro,http://www.5stonesbrewing.com
"8th Wonder Brewing Co","2202 Dallas St",Houston,TX,77003-3519,"(713) 397-0072",micro,http://www.8thwonderbrew.com
"903 Brewers","1720 S Elm St",Sherman,TX,75090-8725,"(214) 243-8090",micro,http://www.903brewers.com
"Adelbert's Brewery LLC","2314 Rutland Dr Ste 100",Austin,TX,78758-5273,,micro,http://www.adelbertsbeer.com
"Alamo Beer Co","415 Burnet Street","San Antonio",TX,78202,"(210) 872-5589",contract,http://www.alamobeer.com
"Allens Landing Brewing Company",,Houston,TX,77018,,planning,
"Anheuser-Busch InBev – Houston","775 Gellhorn Dr",Houston,TX,77029-1496,"(713) 675-2311",large,
"Armadillo Ale Works","100 W Oak St Ste G107",Denton,TX,76201-4152,"(940) 580-4446",contract,http://www.armadilloaleworks.com
"Audacity Brew House","1012 Shady Oaks Dr",Denton,TX,76205-7937,"(940) 218-1987",micro,
"Austin Beerworks","3009 Industrial Ter Ste 150",Austin,TX,78758-7602,"(512) 821-2494",micro,http://www.austinbeerworks.com
"B & J's Pizza Restaurant","6662 S Staples St","Corpus Christi",TX,78413-5403,"(361) 992-6671",brewpub,http://www.bandjspizza.com
"B-52 Brewing",,Conroe,TX,77304-5160,"(936) 447-4677",planning,http://www.b52brewing.com
"Baa Baa Brewhouse",,Brookshire,TX,77423,,planning,
"BAKFISH Brewing Company",,Seabrook,TX,77586-2560,,planning,
"Beerfoot Beach Bar","2816 Avenue R 1/2",Galveston,TX,77550-7742,"(409) 762-2337",micro,http://www.yagaspresents.com/beerfoot/index.html
"Big Bend Brewing Co","3401 W Highway 90",Alpine,TX,79830-4127,"(432) 837-3700",micro,http://www.bigbendbrewing.com
"Big Texan Brewery","7701 E Interstate 40",Amarillo,TX,79118-6915,"(806) 372-6000",brewpub,http://www.bigtexan.com
"Bindlestick Brewing Co",,Leander,TX,78641-2692,"(512) 259-9339",planning,http://www.bindlestickbeer.com
"Bitter Sisters Brewing Company",,"The Colony",TX,75056-5787,,planning,
"Black and Red Brewing",,,,,,planning,http://www.blackandredbrewing.com
