name,address1,address2,city,state,zip,phone,type,url
"2 Row Brewing","6856 S 300 W",,Midvale,UT,84047-1083,"(801) 987-8663",micro,http://www.2rowbrewing.com
"Apex Brewing",,,"South Salt Lake",UT,84106-1137,"(603) 770-4508",planning,http://www.apexbrewing.beer
"Auric Brewing",,,"Salt Lake City",UT,84116,"(385) 445-1463",planning,
"Black Calf Brewery",,,"Spanish Fork",UT,84660-6300,,planning,
"Bohemian Brewery and Grill","94 East 7200 South Fort Union Blvd",,Midvale,UT,84047-1532,"(801) 566-5474",micro,http://www.bohemianbrewery.com
"Bonneville Brewery","1641 N Main St",,Tooele,UT,84074-8023,"(435) 248-0652",micro,
"Branagan's Microberwery LLC",,,Sandy,UT,84092-3902,"(801) 808-6491",planning,http://www.branagansbrewery.com
"Brewery In Planning - Draper",,,Midvale,UT,84047-2875,"(801) 557-8075",planning,
"Brewery In Planning - Park City",,,"Park City",UT,84098-5155,"(801) 971-5006",planning,http://www.rohabrewing.com
"Desert Edge Brewery","273 Trolley Sq",,"Salt Lake City",UT,84102,"(801) 521-8917",brewpub,http://www.desertedgebrewery.com
"Eddie McStiffs Brewing Co c/o Eddie Snyder","57 S Main St",,Moab,UT,84532-2502,"(435) 259-2337",contract,http://www.eddiemcstiffs.com
"Epic Brewing Co., LLC","825 S State St",,"Salt Lake City",UT,84111-4207,"(801) 906-0123",regional,http://www.epicbrewing.com
"Epic Brewing Co., LLC","1048 E 2100 S Ste 110",,"Salt Lake City",UT,84106-,"(801) 742-5490",brewpub,http://www.epicbrewing.com
"Fall Line Brewing",,,"Park City",UT,84098-7508,,planning,
"Fisher Brewing Company","320 W 800 S",,"Salt Lake City",UT,84101-2610,"(801) 487-2337",micro,http://www.fisherbeer.com
"Hop N' Keg Brewery / The Quarry Steakhouse and Brewpub","29 S Vernal Ave",,Vernal,UT,84078-2627,"(435) 789-2337",brewpub,
"Hoppers Grill and Brewing Co","890 E Fort Union Blvd",,Midvale,UT,84047-1745,"(801) 566-0424",brewpub,http://www.hoppersbrewpub.com
"Mine Shaft Brewing",,,"Park City",UT,84098-6724,,planning,http://www.mineshaftbrewingpc.com
"Moab Brewery","686 S Main St",,Moab,UT,84532-2901,"(435) 259-6333",micro,http://www.themoabbrewery.com
"Mountain Point Brewing",,,Lehi,UT,84043-8004,,planning,
"Park City Brewery","2720 Rasmussen Rd Ste A1",,"Park City",UT,84098-5751,"(502) 330-4985",micro,
"Pinnacle Brewing Co/Groggs","1653 Carbonville Rd",,Helper,UT,84526-2504,"(435) 637-2924",contract,
"Pivot Brewery LLC","1901 Wellington Cr",,"Salt Lake",UT,84117,,micro,
"Poplar Street Pub",,,"Salt Lake City",UT,84121-2001,,planning,
"Proper Brewing Co","376 E 8th Ave",,"Salt Lake City",UT,84103-2813,"(385) 227-8628",brewpub,http://www.avenuesproper.com
"Proper Brewing Co","857 S Main St",,"Salt Lake City",UT,84111-4106,"(385) 227-8628",brewpub,
"Red Rock Brewing Co","254 S 200 W",,"Salt Lake City",UT,84101-1801,"(801) 521-7446",brewpub,http://www.redrockbrewing.com
"Red Rock Brewing Co - Production","443 N 400 W",,"Salt Lake City",UT,84103-1230,"(801) 521-7446",micro,
"Roosters Brewing Co (#1)","253 Historic 25th St",,Ogden,UT,84401-2301,"(801) 627-6171",micro,
"Roosters Brewing Co (#2)","748 Heritage Park Blvd Ste 101",,Layton,UT,84041-5724,"(801) 774-9330",micro,http://www.roostersbrewingco.com
"RPM Brewery",,,Draper,UT,84020-9095,,planning,http://thegaragegrill.com
"Ruby River Steak House and Brewery","4286 Riverdale Rd",,Ogden,UT,84405-3512,"(801) 622-2320",brewpub,http://www.sizzlingplatter.com
"Salt Lake Brewing Co/ Squatters Pub Brewery","147 W Broadway",,"Salt Lake City",UT,84101-1914,"(801) 363-2739",micro,http://www.squatters.com
"Shades of Pale Brewery","154 W Utopia Ave",,"Salt Lake City",UT,84115-,"(435) 200-3009",micro,http://www.shadesofpale.com
"Strap Tank Brewing Co.","569 S 1750 W",,Springville,UT,84663-3088,,brewpub,
"Talisman Brewing Company","1258 Gibson Ave",,Ogden,UT,84404-5541,"(801) 791-3322",micro,http://www.talismanbrewingco.com
"Uinta Brewing Co","1722 S Fremont Dr",,"Salt Lake City",UT,84104-4215,"(801) 467-0909",regional,http://www.uintabrewing.com
"Utah Brewers Cooperative","1735 S 300 W",,"Salt Lake City",UT,84115-1802,"(801) 466-8855",regional,http://www.wasatchbeers.com
"Vernal Brewing Company","510 E Main St",,Vernal,UT,84078-2700,"(435) 781-2337",micro,http://www.vernalbrewingcompany.com
"Wasatch Brew Pub - Park City","250 Main St",,"Park City",UT,84060-5113,"(435) 649-0900",micro,http://www.wasatchbeers.com
"Wasatch Brew Pub - Sugarhouse","2110 S Highland Dr",,"Salt Lake City",UT,84106-2807,"(801) 783-1127",brewpub,http://www.wasatchbeers.com
"Zion Canyon Brewing Co","2400 Zion Park Blvd",,Springdale,UT,84767-0420,"(435) 772-0404",micro,http://www.zioncanyonbrewingco.com
