name,address1,address2,city,state,zip,phone,type,url
"14th Star Brewing","133 N Main St Ste 7",,"Saint Albans",VT,05478-1735,"(802) 528-5988",,http://www.14thstarbrewing.com
"1st Republic Brewing Co","39 River Rd Ste 6",,"Essex Junction",VT,05452-3879,"(802) 857-5318",,http://www.1strepublic-homebrew.com
"Alchemist Cannery","35 Crossroad",,Waterbury,VT,05676-9003,"(802) 244-7744",,http://www.alchemistbeer.com
"Backacre Beermakers",,,Weston,VT,05161,,,http://www.backacrebeermakers.com
"Beer Naked Brewery","7678 VT-RTE 9",,Marlboro,VT,05344,"(802) 464-7702",,http://www.beernakedbrewery.com
"Bent Hill Brewery","1972 Bent Hill Rd",,Randolph,VT,05060-8833,"(802) 249-1125",,http://www.benthilbrewery.com
"Bobcat Brewery & Cafe","5 Main St",,Bristol,VT,05443-1317,"(802) 453-3311",,http://www.bobcatcafe.com
"Brewery In Planning - Waterbury",,,Waterbury,VT,05676-9537,,,
"Brewery in Planning - Wayland",,,"Waterbury Center",VT,05677,"(802) 498-7767",,
"Brewster River Pub & Brewery","4087 Vt Route 108 S",,Jeffersonville,VT,05464-9509,"(802) 644-6366",,http://www.brewsterriverpubnbrewery.com
"Brocklebank Craft Brewing","357 Dickerman Hill Rd",,Chelsea,VT,05038-9098,"(802) 685-4838",,http://www.brocklebankvt.com
"Burlington Beer Company","25 Omega Dr Ste 150",,Williston,VT,05495-7334,"(802) 863-2337",,http://www.burlingtonbeercompany.com
"Drop In Brewing","610 Route 7 S",,Middlebury,VT,05753-8987,"(802) 989-7414",,http://www.dropinbeer.com
"Farm Road Brewery",,,Arlington,VT,05250-8766,,,
"Farnham Ale & Lager","80 Ethan Allen Dr",,"South Burlington",VT,05403-5971,"(802) 735-1288",,http://www.farnham-alelager.com
"Fiddlehead Brewing","6305 Shelburne Rd",,Shelburne,VT,05482-4437,"(802) 399-2994",,http://www.fiddleheadbrewing.com
"Foam Brewers","112 Lake St",,Burlington,VT,05401-5284,"(802) 399-2511",,http://www.foambrewers.com
"Foley Brothers Brewing Co.","79 Stone Mill Dam Rd",,Brandon,VT,05733-8945,"(802) 465-8413",,
"Four Quarters Brewing Co","150 W Canal St",,Winooski,VT,05404-2171,"(802) 324-3327",,http://www.4qbc.com
"Foy Enterprises LLC DBA Dog River Brewery","1400 US Route 302 Ste 4",,Barre,VT,05641-2320,"(802) 505-4053",,
"Frost Beer Works","171 Commerce St",,Hinesburg,VT,05461-4482,"(949) 945-4064",,http://www.frostbeerworks.com
"Good Measure Brewing Co","17 East St",,Northfield,VT,05663-6719,,,http://www.goodmeasurebrewing.com
"GoodWater Brewery","740 Marshall Ave",,Williston,VT,05495-8978,"(802) 999-7396",,http://www.goodwaterbreweryvt.com
"Halyard Brewing Company","80 Ethan Allen Dr Ste 2",,"South Burlington",VT,05403-5971,"(904) 874-2734",,http://www.halyardbrewing.us
"Harpoon Brewery - Vermont","336 Ruth Carney Dr",,Windsor,VT,05089-9419,"(802) 674-5491",,http://www.harpoonbrewery.com
"Hermit Thrush Brewery, LLC","29 High St Apt 101C",,Brattleboro,VT,05301-3041,"(802) 257-2337",,http://www.hermitthrushbrewery.com
"Hill Farmstead Brewery","403 Hill Rd",,"Greensboro Bend",VT,05842-8813,"(802) 533-7450",,http://www.hillfarmstead.com
"Hogback Mountain Brewery","51 North St",,Bristol,VT,05443-1026,"(802) 349-8195",,http://hogbackbrew.com
"Hop'n Moose Brewing Company","41 Center St",,Rutland,VT,05701-4016,"(802) 775-7063",,http://www.hopnmoose.com
"Idletyme Brewing Company","1859 Mountain Rd",,Stowe,VT,05672-4890,"(802) 253-4765",,http://www.idletymebrewing.com
"J'ville Brewery","201 Vt Route 112",,Jacksonville,VT,05342-9634,"(802) 368-2233",,http://www.jvillebrewery.com
"Kickback Brewery","934 Osgood Hill Rd",,Westford,VT,05494-9740,"(802) 999-4997",,http://www.kickbackbrewery.com
"Kingdom Brewing","1876 Vt Route 105",,Newport,VT,05855-9915,"(802) 334-7096",,http://www.kingdombrewingvt.com
"Lawson's Finest Liquids",,,Warren,VT,05674,"(802) 496-4677",,http://www.lawsonsfinest.com
"LegenDairy Maple",,,Williamstown,VT,05679-9321,"(802) 371-8545",,
"Long Trail Brewing Co","PO Box 168",,"Bridgewater Corners",VT,05035-0168,"(802) 672-5011",,http://www.longtrail.com
"Lost Nation Brewing","87 Old Creamery Rd",,Morrisville,VT,05661-6152,,,http://www.lostnationbrewing.com
"Madison Brewing Co, Pub and Restaurant","428 Main St",,Bennington,VT,05201-2109,"(802) 442-7397",,http://www.madisonbrewingco.com
"Magic Hat Brewing Co/ North American Breweries","5 Bartlett Bay Rd",,"South Burlington",VT,05403-7727,"(802) 658-2739",,
"McNeills Brewery","90 Elliot St",,Brattleboro,VT,05301-3269,"(802) 254-2553",,
"Mill River Brewing BBQ & Smokehouse","10 Beauregard Dr",,"Saint Albans City",VT,05478,"(802) 582-4182",,http://www.millriverbrewing.com
"Next Trick Brewing LLC","2370 US Route 5",,"West Burke",VT,05871-,"(802) 328-1364",,http://www.nexttrickbrewing.com
"Northshire Brewery, Inc","108 County St",,Bennington,VT,05201-1807,"(802) 681-0201",,http://www.northshirebrewery.com
"Otter Creek Brewing Co","793 Exchange St",,Middlebury,VT,05753-1193,"(802) 388-0727",,http://www.ottercreekbrewing.com
"Outer Limits Brewing, LLC",,,Proctorsville,VT,05153-9518,"(207) 205-7076",,
"Prohibition Pig","23 S Main St Ste 1",,Waterbury,VT,05676-1863,"(802) 244-4120",,http://www.prohibitionpig.com
"Queen City Brewery, LLC","703 Pine St",,Burlington,VT,05401-4921,"(802) 540-0280",,http://www.queencitybrewery.com
"Red Barn Brewing","2170 Oneida Rd",,Danville,VT,05828-,"(802) 684-9749",,http://www.redbarnbrewingvt.com
"River Roost Brewery","230 S Main St",,"White River Junction",VT,05001-7204,,,http://www.riverroostbrewery.com
"Rock Art Brewery","632 Laporte Rd",,Morrisville,VT,05661-8322,"(802) 888-9400",,http://www.rockartbrewery.com
"Saint J Brewery","2002 Memorial Dr",,"Saint Johnsbury",VT,05819-8991,"(802) 424-1700",,http://www.saintjbrewery.com
"Simple Roots Brewing Co","1127 North Ave Ste 8",,Burlington,VT,05408-2756,,,
"Stone Corral Brewery","83 Huntington Rd Unit 1",,Richmond,VT,05477-9839,"(802) 434-5787",,http://stonecorral.com
"Switchback Brewing Co","160 Flynn Ave",,Burlington,VT,05401-5400,"(802) 651-4114",,http://www.switchbackvt.com
"Ten Bends Beer","590 E Main St",,"Hyde Park",VT,05655-9267,"(802) 521-7139",,http://wwwtenbendsbeer.com
"The Norwich Inn - Jasper Murdock's Alehouse","325 Main St PO Box 908",,Norwich,VT,05055-9453,"(802) 649-1143",,http://www.norwichinn.com
"Vermont Pub and Brewery","144 College St",,Burlington,VT,05401-8416,"(802) 865-0500",,http://www.vermontbrewery.com
"Von Trapp Brewing","700 Trapp Hill Rd",,Stowe,VT,05672-5074,"(802) 253-5709",,http://www.trappfamily.com
"Whetstone Craft Beers @ Whetstone Station","36 Bridge St",,Brattleboro,VT,05301-3301,"(802) 490-2354",,http://www.whetstonestation.com
