name,address,city,state,zip,phone,type,url
"1781 Brewing Company","11109 Plank Rd.",Spotsylvania,VA,22553-4258,,micro,
"2 Witches Winery and Brewing Company","209 Trade St",Danville,VA,24541-3545,"(434) 549-2739",micro,http://www.2witcheswinebrew.com
"6 Bears",,Fredericksburg,VA,22406,"540-356-9056 Ext. 2",planning,http://www.6bgbrewingco.com
"7 Hills Brewing Co","115 S 15th St",Richmond,VA,23219-4252,"(804) 716-8307",micro,http://www.7hillsrva.com
"Adroit Theory Brewing Company","404 Browning Ct Unit C",Purcellville,VA,20132-6171,"(703) 434-0553",micro,http://www.adroit-theory.com
"Adventure Brewing Co","33 Perchwood Dr Ste 101",Fredericksburg,VA,22405-4552,"(540) 242-8876",micro,http://www.adventure-brewing.com
"Adventure South","3321 Dill Smith Dr Bowman Center",Fredericksburg,VA,22408-7319,"(540) 371-7799",brewpub,http://www.adventurebrewing.com
"Alesatian Brewing Co.",,Winchester,VA,22601,"(540) 550-1606",planning,http://alesatianbrewing.com
"Alewerks Brewing Company","189B Ewell Rd",Williamsburg,VA,23188-2185,"(757) 220-3670",micro,http://www.williamsburgalewerks.com
"Ammo Brewing",,Petersburg,VA,23803-3207,"(804) 722-1667",planning,
"Angry Road Dog Brewery",,"Broad Run",VA,20137,"(703) 499-3591",planning,
"Anheuser-Busch Inc – Williamsburg","7801 Pocahontas Trl",Williamsburg,VA,23185-6302,"(757) 253-3600",large,http://www.anheuser-busch.com
"Apocalypse Ale Works","1257 Burnbridge Rd",Forest,VA,24551-3803,"(434) 258-8761",micro,http://www.apocalypsebrewworks.com
"Ardent Craft Ales","3200 W Leigh St",Richmond,VA,23230-4410,,micro,http://www.ardentcraftales.com
"Aslin Beer Company","1104 Artic Quill Rd",Herndon,VA,20170-3601,,micro,
"Back Bay Brewing Company","614 Norfolk Ave","Virginia Beach",VA,23451-4419,,micro,
"Backroom Brewery","150 Ridgemont Rd.",Middletown,VA,22645-3817,"(540) 869-8482",brewpub,http://www.backroombreweryva.com
"BadWolf Brewing Company","8420 Kao Circle",Manassas,VA,20110-1728,"(703) 479-2305",micro,http://www.badwolfbrewingcompany.com
"BadWolf Brewing Company","9776 Center St",Manassas,VA,20110-4128,"(571) 358-9774",micro,http://www.badwolfbrewingcompany.com
"Bald Guy Brewery",,Leesburg,VA,20176,,planning,http://www.baldguybrewery.com
"Barnhouse Brewery","43271 Spinks Ferry Rd.",Leesburg,VA,20176-5629,"(703) 675-8480",micro,http://www.barnhousebrewery.com
"Battlefield Brewing Co","4187 Plank Rd",Fredericksburg,VA,22407-4896,"(540) 785-2164",brewpub,
"Beer Hound Brewery","201 Waters Pl, Apt 102",Culpeper,VA,22701-3102,,contract,
"Belly Love Brewing Company","725 E Main St.",Purcellville,VA,20132-3178,"(540) 441-3159",brewpub,http://www.bellylovebrewing.com
"Beltway Brewing Company","22620 Davis Dr Ste 110",Sterling,VA,20164-4470,"(571) 989-2739",micro,http://www.beltwaybrewco.com
"Big Lick Brewing Company","135 Salem Ave SW Ste 100",Roanoke,VA,24011,"(540) 562-8383",micro,http://www.biglickbrewingco.com
"Big Ugly Brewing Co","1296 Battlefield Blvd S",Chesapeake,VA,23322-4378,"(757) 609-2739",micro,http://www.biguglybrewing.com
"Bird Brain Brewing Brewing Company","PO BOX 100039",Arlington,VA,22210,,contract,
"Black Narrows Brewing Company",,Chincoteague,VA,23336,"(786) 999-4877",planning,http://www.blacknarrowsbrewing.com
"Blackbeard's Point Brewing Company, LLC",,Yorktown,VA,23692,"(757) 871-7264",planning,
"Blue Lab Brewing Co","123 S Randolph St",Lexington,VA,24450-2065,"(540) 458-0146",micro,http://www.bluelabbrewing.com
"Blue Mountain Barrel House and Organic Brewery","495 Cooperative Way",Arrington,VA,22922,"(434) 263-4002",micro,http://www.bluemountainbarrel.com
"Blue Mountain Brewery","9519 Critzers Shop Rd",Afton,VA,22920,"(540) 456-8020",brewpub,http://www.bluemountainbrewery.com
"Brass Cannon Brewing","8105 Richmond Rd Ste #105",Toano,VA,23168-9260,,micro,
"Brewery In Planning - Annandale",,,,,,planning,
"Brewery In Planning - Arlington",,,,,,planning,
"Brewery in Planning - Ashburn",,Ashburn,VA,20148,,planning,
"Brewery in Planning - burke",,burke,VA,22015,"(910) 224-2027",planning,
"Brewery in Planning - Charlottesville",,Charlottesville,VA,22903,,planning,
"Brewery In Planning - Colonial Beach",,"Colonial Beach",VA,22443,,planning,
"Brewery In Planning - Crozet VA",,Crozet,VA,22932-1933,,planning,
"Brewery in Planning - Danville",,Danville,VA,24541,"(804) 925-0109",planning,
"Brewery in Planning - dulles",,dulles,VA,20189,15043242167,planning,
"Brewery In Planning - Fairfax",,Fairfax,VA,22030,,planning,
"Brewery in Planning - fredericksburg",,fredericksburg,VA,22407,"(703) 881-8100",planning,
"Brewery in Planning - gloucester",,gloucester,VA,23061,,planning,
"Brewery In Planning - Harrisonburg VA",,,,,,planning,
"Brewery In Planning - Heathsville",,Heathsville,VA,22473,,planning,
"Brewery in Planning - Herndon",,Herndon,VA,20170,"(401) 575-1042",planning,http://www.dukeofdrones.com
"Brewery in Planning - Herndon",,Herndon,VA,20171,"(321) 243-0920",planning,
"Brewery In Planning - Herndon",,Herndon,VA,20171,,planning,
"Brewery In Planning - Leesburg",,Leesburg,VA,20176-1654,,planning,
"Brewery In Planning - Leesburg VA",,Leesburg,VA,20176-2052,,planning,
"Brewery in Planning - Lynchburg",,Lynchburg,VA,24503,,planning,
"Brewery In Planning - Midlothian",,Midlothian,VA,23113,,planning,
"Brewery In Planning - Midlothian",,Midlothian,VA,23113,,planning,
"Brewery In Planning - Natural Bridge",,"Natural Bridge",VA,24578,,planning,
"Brewery in Planning - Norfolk",,Norfolk,VA,23517,"(757) 640-8100",planning,http://vanguard757.com
"Brewery in Planning - petersburg",,petersburg,VA,23803,"(804) 861-6111",planning,
"Brewery In Planning - Poquoson",,Poquoson,VA,23662,,planning,
"Brewery in Planning - Salem",,Salem,VA,24153,"(540) 397-0018",planning,
"Brewery in Planning - Springfield",,Springfield,VA,22153,,planning,
"Brewery in Planning - Star Tannery",,"Star Tannery",VA,22654,,planning,
"Brewery in Planning - Suffolk",,Suffolk,VA,23435,"(419) 566-0608",planning,
"Brewery In Planning - Suffolk",,Suffolk,VA,23435-2214,,planning,
"Brewery In Planning - Vienna",,Vienna,VA,22181,,planning,
"Brewery In Planning - Virginia Beach",,"Virginia Beach",VA,23451-4391,,planning,
"Brewery In Planning - Virginia Beach",,"Virginia Beach",VA,23456-3563,,planning,
"Brewery In Planning- Berryville, VA.",,,,,,planning,
"Brewery In Planning- McLean, VA.",,,,,,planning,
Brick,,Suffolk,VA,23438,"(717) 829-5126",planning,
"Bristol Brewery","41 Piedmont Ave",Bristol,VA,24201-4160,"(276) 608-1220",micro,http://www.bristolbrew.com
"Brothers Craft Brewing","800 N Main St",Harrisonburg,VA,22802-4625,,micro,http://www.brotherscraftbrewing.com
"Buffalo Mountain Brewery",,Floyd,VA,24091,,planning,
"Bull & Bones Brewhaus & Grill","1470 S Main St Ste 120",Blacksburg,VA,24060-5571,"(540) 953-2855",brewpub,http://www.bullandbones.com
"Busted Still Brewery","185 Homeplace Dr.","Gate City",VA,24251,,micro,
"Caboose Brewing Co.","520 Mill St NE",Vienna,VA,22180-4526,"(703) 473-4870",micro,http://www.caboosebrewing.com
"Callaway Brewing Company","21 Woodwinds Rd",Callaway,VA,24067,"(540) 267-6733",micro,http://www.callwaybrewingco.com
"Capitol City Brewing Co - Arlington","4001 Campbell Ave",Arlington,VA,22206-3425,"(703) 578-3888",micro,http://www.capcitybrew.com
"Castleburg Brewery",,Richmond,VA,23220-1317,,planning,http://www.castleburgbrewery.com
"Center of the Universe Brewing Co","11293 Air Park Rd",Ashland,VA,23005-3436,"(804) 368-0299",micro,http://www.cotubrewing.com
"Champion Brewing Company","324 6th St SE",Charlottesville,VA,22902-5655,"(434) 295-2739",micro,http://www.championbrewingcompany.com
"Chaos Mountain Brewing, LLC","3135 Dillons Mill Rd",Callaway,VA,24067-2615,,micro,
"Coelacanth Brewing","760 A West 22nd Street",Norfolk,VA,23517-1925,757.59.UGLY.1,micro,http://www.coelacanth.com
"Corcoran Brewing","205 Hirst Rd Ste 105",Purcellville,VA,20132-6199,"(540) 882-9073",micro,http://www.corcoranbrewing.com
