name,address1,address2,city,state,zip,phone,type,url
"1781 Brewing Company","11109 Plank Rd",,Spotsylvania,VA,22553-4258,"(540) 841-2598",,
"2 Silos Brewing Company","9925 Discovery Blvd",,Manassas,VA,20109,"(703) 420-2257",,http://www.2silosbrewing.com
"2 Witches Winery and Brewing Company","209 Trade St",,Danville,VA,24541-3545,"(434) 549-2739",,http://www.2witcheswinebrew.com
"6 Bears & A Goat Brewing Company, LLC","1140 International Pkwy",,Fredericksburg,VA,22406-1126,"540-356-9056 Ext. 2",,http://www.6bgbrewingco.com
"Adroit Theory Brewing Company","404 Browning Ct Unit C",,Purcellville,VA,20132-6171,"(703) 434-0553",,http://www.adroit-theory.com
"Adventure Brewing Co","33 Perchwood Dr Ste 101",,Fredericksburg,VA,22405-4552,"(540) 242-8876",,http://www.adventurebrewing.com
"Adventure South","3300 Dill Smith Dr",,Fredericksburg,VA,22408-7319,"(540) 371-7799",,http://www.adventurebrewing.com
"Alesatian Brewing Co.","23 N Loudoun St",,Winchester,VA,22601-4715,"(540) 667-2743",,http://www.alesatianbrewing.com
"Alewerks Brewing Company","189B Ewell Rd",,Williamsburg,VA,23188-2185,"(757) 220-3670",,http://www.alewerks.com
"Ammo Brewing","235 N Market St",,Petersburg,VA,23803-3207,"(804) 722-1667",,http://www.ammobrewing.com
"Anheuser-Busch Inc – Williamsburg","7801 Pocahontas Trl",,Williamsburg,VA,23185-6302,"(757) 253-3600",,http://www.anheuser-busch.com
"Apocalypse Ale Works","1257 Burnbridge Rd",,Forest,VA,24551-3803,"(434) 258-8761",,http://www.apocalypsebrewworks.com
"Ardent Craft Ales","3200 W Leigh St",,Richmond,VA,23230-4410,"(804) 359-1605",,http://www.ardentcraftales.com
"Aslin Beer Company","1104 Artic Quill Rd",,Herndon,VA,20170-3601,"(703) 787-5766",,http://www.aslinbeer.com
"B Chord Brewing Company","34266 Williams Gap Rd",,"Round Hill",VA,20141-2100,"(703) 623-4542",,http://www.bchordbrewing.com
"Back Bay Brewing Company","614 Norfolk Ave",,"Virginia Beach",VA,23451-4419,"(757) 531-7750",,http://www.backbaybrewingco.com
"Backroom Brewery","150 Ridgemont Rd",,Middletown,VA,22645-3817,"(540) 869-8482",,http://www.backroombreweryva.com
"BadWolf Brewing Company","8420 Kao Cir",,Manassas,VA,20110-1728,"(703) 479-2305",,http://www.badwolfbrewingcompany.com
"BadWolf Brewing Company","9776 Center St",,Manassas,VA,20110-4128,"(571) 358-9774",,http://www.badwolfbrewingcompany.com
"BadWolf Public House",,,Manassas,VA,20110-5431,"(571) 292-1427",,http://www.badwolfpublichouse.com
"Bald Top Brewing Company","1830 Thrift Rd",,Madison,VA,22727-2843,"(540) 999-1830",,http://www.baldtopbrewing.com
"Ballad Brewing","600 Craghead St",,Danville,VA,24541-1504,"(804) 925-0109",,http://www.balladbrewing.com
"Ballast Point Brewing Company","555 International Pkwy",,Daleville,VA,24083-3028,"(540) 591-3059",,
"Barley Naked Brewing Company",,,Stafford,VA,22554,"(540) 623-4475",,http://www.barleynaked.com
"Barnhouse Brewery","43271 Spinks Ferry Rd",,Leesburg,VA,20176-5629,"(703) 675-8480",,http://www.barnhousebrewery.com
"Barrel Oak Farm Taphouse","3623 Grove Ln",,Delaplane,VA,20144-2226,"(540) 364-6402",,http://www.barreloak.com
"Basic City Beer Co.","1010 E Main St",,Waynesboro,VA,22980-5855,"(816) 271-3211",,http://www.basiccitybeer.com
"Battlefield Brewing Co","4187 Plank Rd",,Fredericksburg,VA,22407-4896,"(540) 785-2164",,
Beale's,"510 Grove St",,Bedford,VA,24523,,,http://www.bealesbeer.com
"Bear Chase Brewing Company",,,Bluemont,VA,20135,,,
"Bedlam Brewing LLC","2303 N Augusta St",,Staunton,VA,24401-2597,"(540) 221-1305",,http://www.facebook.com/bedlam-brewing-536957559822021
"Beer Hound Brewery","201 Waters Pl Apt 102",,Culpeper,VA,22701-3102,"(540) 317-5327",,
"Belly Love Brewing Company","725 E Main St",,Purcellville,VA,20132-3178,"(540) 441-3159",,http://www.bellylovebrewing.com
"Beltway Brewing Company","22620 Davis Dr Ste 110",,Sterling,VA,20164-4470,"(571) 989-2739",,http://www.beltwaybrewco.com
"Benchtop Brewing Company","1129 Boissevain Ave",,Norfolk,VA,23507-1401,"(757) 321-9482",,http://www.benchtopbrewing.com
"Big Data Brewing Company LLC",,,Sterling,VA,20165-7227,"(571) 308-8293",,http://www.bigdatabrewco.com/
"Big Lick Brewing Company","409 Salem Ave SW",,Roanoke,VA,24016,"(540) 562-8383",,http://www.biglickbrewingco.com
"Big Ugly Brewing Co","1296 Battlefield Blvd S",,Chesapeake,VA,23322-4378,"(757) 609-2739",,http://www.biguglybrewing.com
"Bike TrAle Brewing","101 Loudoun St SE",,Leesburg,VA,20175-3106,"(571) 293-0050",,http://www.biketralebrewing.com
"Billsburg Brewery","2054 Jamestown Rd",,Williamsburg,VA,23185-7911,,,http://www.billsburg.com
"Bingo Beer Company",,,Richmond,VA,23230,"(804) 397-5226",,
"Bird Brain Brewing Company","435 Nikki Ter SE",,Leesburg,VA,20175-8962,,,
"Black Hoof Brewing","11 S King St",,Leesburg,VA,20175-2903,"(571) 707-8014",,
"Black Narrows Brewing Company","4522 Chicken City Rd",,Chincoteague,VA,23336-2303,"(786) 999-4877",,http://www.blacknarrowsbrewing.com
"Black Walnut Brewery","210 S King St",,Leesburg,VA,20175-3010,"(703) 771-9474",,
"Blue Mountain Barrel House and Organic Brewery","495 Cooperative Way",,Arrington,VA,22922-3305,"(434) 263-4002",,http://www.bluemountainbarrel.com
"Blue Mountain Brewery","9519 Critzers Shop Rd",,Afton,VA,22920-2415,"(540) 456-8020",,http://www.bluemountainbrewery.com
"Box Office Brewery",,,Strasburg,VA,22657-2238,"(540) 233-3353",,http://info@boxofficebrewery.com
"Brass Cannon Brewing","5476 Mooretown Rd",,Williamsburg,VA,23188-2108,"(757) 566-0001",,http://www.brasscannonbrewing.com
"Brew Republic Bierwerks","15201 Potomac Town Pl Ste 120 Stonebridge @ Potomac Town Center",,Woodbridge,VA,22191-6592,"(703) 594-7950",,http://brewrepublic.beer
"Brewery In Planning - Arlington",,,"Mc Lean",VA,22101-5337,,,
"Brewery In Planning - Colonial Beach",,,"King George",VA,22485-8503,"(602) 463-8590",,http://www.fifthhumourbrewing.com
"Brewery In Planning - Fairfax",,,Fairfax,VA,22030,,,
"Brewery In Planning - Marion",,,Marion,VA,24354-2210,,,
"Brewery In Planning - Richmond",,,Richmond,VA,23220-3905,,,
"Brewery in Planning - Richmond",,,Richmond,VA,23226-3821,"(276) 920-1796",,
"Brewery in Planning - Virginia Beach",,,"Virginia Beach",VA,23454-3552,"(757) 817-4246",,
"Brewery in Planning - Virginia Beach",,,"Virginia Beach",VA,23456-2436,,,
"Brewery In Planning - Virginia Beach",,,"Virginia Beach",VA,23456-3563,,,
"Brewery in Planning - woodbridge",,,Woodbridge,VA,22193-3260,"(571) 408-3509",,
"Brick & Mortar Brewing Company","212 E Washington St",,Suffolk,VA,23434-4514,"(757) 533-1173",,
"Bristol Station Brews & Taproom","41 Piedmont Ave",,Bristol,VA,24201-4160,"(276) 608-1220",,http://www.bristolbrew.com
"Brothers Craft Brewing","800 N Main St",,Harrisonburg,VA,22802-4625,"(540) 421-6599",,http://www.brotherscraftbrewing.com
"Buffalo Mountain Brewery","183 Commerce Center Dr NE",,Floyd,VA,24091,,,
"Bull & Bones Brewhaus & Grill","1470 S Main St Ste 120",,Blacksburg,VA,24060-5571,"(540) 953-2855",,http://www.bullandbones.com
"Bull Island Brewing Company","758 Settlers Landing Rd",,Hampton,VA,23669-4035,"(757) 788-9489",,http://www.bullislandbrewing.com
"Caboose Brewing Co.","520 Mill St NE",,Vienna,VA,22180-4526,"(703) 473-4870",,http://caboosebrewing.com
"Cape Charles Brewing Company",,,"Cape Charles",VA,23310-2706,"(757) 449-4839",,http://www.capecharlesbrewing.com
"Capstan Bar Brewing Company","2036 Exploration Way",,Hampton,VA,23666-6260,"(757) 788-7276",,http://www.capstanbarbrewing.com
"Castleburg Brewery","1626 Ownby Ln",,Richmond,VA,23220-1317,"(804) 353-1256",,http://www.castleburgbrewery.com
"Cedar Run Brewery",,,Nokesville,VA,20181-2506,"(703) 203-2641",,
"Center of the Universe Brewing Co","11293 Air Park Rd",,Ashland,VA,23005-3436,"(804) 368-0299",,http://www.cotubrewing.com
"Champion Brewing Company","324 6th St SE",,Charlottesville,VA,22902-5655,"(434) 295-2739",,http://www.championbrewingcompany.com
"Chaos Mountain Brewing, LLC","3135 Dillons Mill Rd",,Callaway,VA,24067-2615,"(540) 334-1600",,http://www.chaosmountainbrewing.com
"Chubby Squirrel Brewing Company",,,Fairfax,VA,22030-2508,"(540) 558-8040",,http://www.chubbysquirrelbrewing.com
"Coelacanth Brewing","760A W 22nd St",,Norfolk,VA,23517-1925,"(757) 383-6438",,http://www.coelacanth.com
