name,address1,address2,city,state,zip,phone,type,url
"1840 Brewing Company","342 E Ward St",,Milwaukee,WI,53207-1348,"(414) 236-4056",micro,http://www.1840brewing.com
"3 Sheeps Brewing Co","1837 North Ave",,Sheboygan,WI,53083-4620,"(920) 946-9715",micro,http://www.3sheepsbrewing.com
"608 Brewing Company","83 Copeland Ave",,"La Crosse",WI,54603,,micro,http://www.608brewingcompany.com
"841 Brewhouse","841 E Milwaukee St",,Whitewater,WI,53190-2126,"(262) 473-8000",brewpub,
"Agonic Brewing Company LLC",,,"Rice Lake",WI,54868-8786,"(715) 308-9283",planning,http://www.agonicbrewing.com
"Ahnapee Brewery","N9153 Cherry Tree Rd Apt 4",,Algoma,WI,54201-9501,"(920) 217-8527",micro,http://www.ahnapeebrewery.com
"Al. Ringling Brewing Co.",,,Baraboo,WI,53913,"(414) 552-4747",planning,
"Ale Asylum","2002 Pankratz St",,Madison,WI,53704-4024,"(608) 663-3926",regional,http://www.aleasylum.com
"ALT Brew / Greenview Brewing LLC","1808 Wright St",,Madison,WI,53704-2522,"(608) 352-3373",micro,http://www.altbrew.com
"Amery Ale Works","588 115th St",,Amery,WI,54001-4041,"(715) 268-5226",brewpub,http://www.ameryaleworks.com
"Angry Minnow, The","10440 Florida Ave",,Hayward,WI,54843-7112,"(715) 934-3055",brewpub,http://www.angryminnow.com
"Appleton Beer Factory","603 W College Ave",,Appleton,WI,54911-5803,"(920) 364-9931",brewpub,http://www.appletonbeerfactory.com
"Badger State Brewing Company","990 Tony Canadeo Run",,"Green Bay",WI,54304-3762,"(920) 543-5320",micro,http://www.badgerstatebrewing.com
"Bare Bones Brewery","4362 County Rd S",,Oshkosh,WI,54904-9575,"(920) 744-8045",brewpub,http://www.barebonesbrewery.us
"Barley Johns Brewpub","1280 Madison Ave",,"New Richmond",WI,54017-2236,"(715) 246-4677",brewpub,http://www.barleyjohnsbrewery.com
"Barrel 41 Brewing Co","1132 S Commercial St",,Neenah,WI,54956,,micro,http://www.barrel41.com
"Bavarian Bierhaus","700 W Lexington Blvd",,Glendale,WI,53217-4912,"(414) 236-7000",brewpub,http://www.thebavarianbierhaus.com
"Big Head Brewing Co.","6204 W State St",,Milwaukee,WI,53213-2906,"(608) 235-9636",micro,http://www.bigheadbrewingco.com
"Biloba Brewing","2970 N BROOKFIELD RD",,Brookfield,WI,53045-3027,"(262) 309-5820",micro,http://www.bilobabrewing.com
"Black Husky Brewing LLC","909 E Locust St",,Milwaukee,WI,53212,"(414) 509-8855",micro,http://www.blackhuskybrewing.com
"Bloomer Brewing Co","1526 Martin Rd Ste A",,Bloomer,WI,54724-1764,"(715) 271-3967",micro,
"Blue Heron Brew Pub","108 W 9th St",,Marshfield,WI,54449-4111,"(715) 389-1868",brewpub,http://www.blueheronbrewpub.com
"Bobtown Brewhouse & Grill","220 W Main St",,Roberts,WI,54023,"(715) 338-1046",brewpub,http://www.bobtownbrewhouse.com
"Brewery Creek Inn, Restaurant and Brewery","23 Commerce St",,"Mineral Point",WI,53565-1368,"(608) 987-3298",brewpub,http://www.brewerycreek.com
"Brewery In Planning - Delavan",,"Delavan, WI",,,,,planning,
"Brewery In Planning - Lomira, WI",,"Lomira, WI",,,,"(920) 948-1061",planning,
"Brewery In Planning - Milwaukee",,,Milwaukee,WI,53221,"(262) 993-5568",planning,
"Brewery in Planning - Wausau, WI",,,Wausau,WI,54403,"(512) 826-7012",planning,
"Brewery Nonic","621 4th St W",,Menomonie,WI,54751,"(715) 578-9078",micro,http://www.brewerynonic.com
"Brewery Resolute",,,"Stevens Point",WI,54481-1843,"(715) 321-4617",planning,
"Brewfinity Brewing Co","N58 W39800 Industrial Rd Ste D",,Oconomowoc,WI,53066,"(262) 456-2843",brewpub,http://www.brewfinitybrewing.com
"BrewPlan, Inc.",,,Onalaska,WI,54650,"(608) 386-9430",planning,http://www.brewplan.com
"Brewster Bros Brewing Co","402 W River St",,"Chippewa Falls",WI,54729-2355,"(715) 861-5100",micro,http://www.chippewariverdistillery.com/beer/
"Brickfield Brewing","130 West Olson Drive",,Grantsburg,WI,54840,"(715) 463-1900",micro,http://www.brickfieldbrewing.com
"Bridge Up Brewing Company","129 North Madison Ave",,"Sturgeon Bay",WI,54235,,brewpub,http://www.bridgeupbrewing.com
"Broken Bat Brewing Company, LLC","231 E Buffalo St Lowr UNIT",,Milwaukee,WI,53202-5727,"(414) 316-9197",micro,http://www.brokenbatbrewery.com
"Buffalo Water Beer Co","309 N Water St, #315",,Milwaukee,WI,53202-5710,"(414) 273-4680",contract,http://www.buffalowaterbeer.com
"Bull Falls Brewery LLC","901 E Thomas St",,Wausau,WI,54403-6450,715-842-BEER,micro,http://www.bullfallsbrewery.com
"Bullquarian Brewhouse, LLC","1128 17th Ave",,Monroe,WI,53566-2007,"(608) 426-6720",brewpub,
"Capital Brewery Co Inc","7734 Terrace Ave",,Middleton,WI,53562-3163,"(608) 836-7100",regional,http://www.capitalbrewery.com
"Central Waters Brewing Co","351 Allen St",,Amherst,WI,54406-8954,"(715) 824-2739",regional,http://www.centralwaters.com
"Cercis Brewing Company","106 N Dickason Blvd",,Columbus,WI,53925-,"(920) 350-0500",micro,
"City Brewing Co","925 3rd St S",,"La Crosse",WI,54601-4411,"(608) 785-4200",regional,http://www.citybrewery.com
"City Lights Brewing Co.","2200 W Mount Vernon Ave",,Milwaukee,WI,53233-2672,"(414) 520-9692",micro,http://www.citylightsbrewing.com
"City Service Brewing","404 Main St",,Darlington,WI,53530-1428,,micro,http://www.cityservicebrewing.wixsite.com
"Company Brewing Co","735 E Center St",,Milwaukee,WI,53212-2944,"(414) 930-0909",brewpub,
"Component Brewing Co","2018 S 1st St Ste 207",,Milwaukee,WI,53207,"(414) 979-1088",micro,http://www.componentbrewing.com
"Copper State Brewing Co","313 Dousman St",,"Green Bay",WI,54303-2713,"(920) 489-8575",brewpub,http://www.copperstate.beer
"Corner Pub","100 E Main St Lowr",,Reedsburg,WI,53959-1967,"(608) 524-8989",brewpub,
"Corvale, LLC",,,"Iron River",WI,54847,,planning,
"Courthouse Pub","1001 S 8th St",,Manitowoc,WI,54220-5307,"(920) 686-1166",brewpub,http://www.courthousepub.com
"Cross Plains Brewery Inc.","2109 Hickory St",,"Cross Plains",WI,53528-9700,"(608) 798-3911",contract,http://www.essersbest.com
"Dave's Brew Farm","2470 Wilson St",,Wilson,WI,54027-3950,"(612) 432-8130",micro,http://www.brewfarm.com
"Dead Bird Brewing Company","4539 Helgesen Dr",,Madison,WI,53718-6747,,contract,http://www.deadbirdbrewing.com
"Delafield Brewhaus","3832 Hillside Dr",,Delafield,WI,53018-2174,"(262) 646-7821",brewpub,http://www.delafield-brewhaus.com
"Delta Beer Lab","167 E Badger Rd",,Madison,WI,53713,"(608) 640-4500",micro,http://www.delta.beer
"Door County Brewing Co./ Hacienda Beer Co","8099 State Highway 57 PO Box 201",,"Baileys Harbor",WI,54202-0201,"(920) 493-1517",micro,http://doorcountybrewingco.com
"Driftless Brewing Co","102 Sunbeam Blvd W",,"Soldiers Grove",WI,54655-1001,6608-624-5577,micro,http://www.driftlessbrewing.com
"Eagle Park Brewing Company","823 E Hamilton St",,Milwaukee,WI,53202,"(414) 585-0123",brewpub,http://www.eagleparkbrewing.com
"Earth Rider Brewing Co","1617 N 3rd St",,Superior,WI,54880-1016,"(715) 394-7391",micro,http://www.earthrider.beer
"East Troy Brewery","2905 Main St",,"East Troy",WI,53120-1245,"(262) 470-3026",brewpub,http://www.etbrew.com
"Emprize Brew Mill","200 Main St",,Menasha,WI,54952-3153,"(203) 428-5159",brewpub,
"Enlightened Brewing Company","2018 S 1st St Ste 170",,Milwaukee,WI,53207-1102,"(414) 364-6225",micro,http://www.enlightenedbeer.com
"Fat Boy Brewing Co","2851 S Stratton Dr",,Milwaukee,WI,53219-2759,"(414) 761-6366",contract,http://www.fatboybeer.com
"Ffats Brewing Co - Production Only","36447 Main St",,Whitehall,WI,54773-9108,"(715) 538-3162",micro,http://www.ffatsbrewing.com
"Fifth Ward Brewing Company","1009 S Main St",,Oshkosh,WI,54902-6019,"(920) 479-1876",micro,http://www.fifthwardbrewing.com
"Flix Brewhouse - Madison","85 East Towne Mall",,Madison,WI,53704,"(512) 244-2739",brewpub,
"Fountain City Brewing Co / Monarch Public House","19 N Main St",,"Fountain City",WI,54629-,"(608) 687-4231",contract,http://www.monarchtavern.com
